場所名,位置情報
ヘブンスそのはら（阿智村）,"35.4389,137.6975"
銀河もみじキャンプ場,"35.3958,137.6744"
浪合パーク,"35.4011,137.6683"
美ヶ原高原展望台,"36.2281,138.1075"
王ヶ頭,"36.2269,138.0772"
霧ヶ峰高原（富士見台）,"36.1039,138.1694"
車山高原（車山山頂）,"36.1025,138.1822"
野辺山宇宙電波観測所,"35.9419,138.4728"
八ヶ岳ふれあい公園,"35.9525,138.4778"
しらびそ高原,"35.4297,138.0308"
千畳敷カール,"35.7761,137.8131"
しらびそ山荘周辺,"35.4289,138.0300"
栂池自然園,"36.7583,137.8486"
八方池,"36.7028,137.8089"
乗鞍畳平（乗鞍岳）,"36.1206,137.5539"
上高地（河童橋）,"36.2489,137.6375"
開田高原,"35.9272,137.5889"
高ボッチ高原,"36.1308,138.0417"
陣馬形山キャンプ場,"35.6517,137.8925"
志賀高原（渋峠）,"36.6608,138.5283"
戦場ヶ原（展望台）,"36.7722,139.4528"
奥日光・湯ノ湖,"36.8042,139.4217"
日光白根山ロープウェイ山頂駅,"36.8083,139.3789"
八方ヶ原（大間々駐車場）,"36.9367,139.8083"
那須高原（駒止の滝展望台）,"37.1264,139.9678"
中禅寺湖（歌ヶ浜駐車場）,"36.7267,139.4892"
赤城山（鳥居峠）,"36.5492,139.1836"
県立ぐんま天文台,"36.5986,138.9839"
野反湖,"36.6975,138.6472"
吹割の滝駐車場,"36.7019,139.2069"
榛名山（榛名湖畔）,"36.4744,138.8708"
みかわ（道の駅おおた周辺）,"36.2817,139.3139"
堂平山天文台（堂平つくし村）,"35.9983,139.1953"
秩父・美の山公園,"36.0350,139.1028"
三峰神社周辺,"35.9317,138.9306"
城峰公園,"36.1231,139.0569"
奥多摩湖（水と緑のふれあい館前）,"35.7900,139.0519"
奥多摩周遊道路（月夜見第一駐車場）,"35.7483,139.0200"
檜原都民の森,"35.7333,139.0117"
城ヶ島（馬の背洞門）,"35.1325,139.6178"
ヤビツ峠（菜の花台展望台）,"35.4211,139.2008"
長井海手公園 ソレイユの丘,"35.1950,139.6381"
箱根・大観山展望台,"35.1844,139.0494"
東浪見海岸（鳥居周辺）,"35.3678,140.3861"
犬吠埼灯台,"35.7061,140.8647"
野島埼灯台,"34.9011,139.8767"
鋸南ほしふるキャンプ場,"35.1275,139.8456"
九十九里浜（片貝海岸）,"35.5369,140.4589"
勝浦・八幡岬公園,"35.1389,140.3122"
富士山五合目（富士スバルライン）,"35.3606,138.7306"
新屋山神社 奥宮周辺,"35.4331,138.8183"
本栖湖（浩庵キャンプ場付近）,"35.4742,138.5725"
精進湖（他々戸浜）,"35.4883,138.6083"
山中湖（パノラマ台）,"35.4144,138.9056"
西湖（根場浜）,"35.5050,138.6653"
乙女峠,"35.2811,138.9861"
八ヶ岳南麓天文台,"35.8858,138.3758"
清里高原（美し森）,"35.9300,138.4319"
甘利山,"35.6883,138.3756"
大菩薩峠,"35.7458,138.8475"
笹ヶ峰高原,"36.8669,138.0833"
妙高高原（イモリ池）,"36.8719,138.1633"
弥彦山山頂展望台,"37.7056,138.8250"
星の峠の棚田,"37.1325,138.5283"
枝折峠,"37.1986,139.0839"
美人林,"37.0942,138.6408"
福島潟,"37.9150,139.2458"
津南町・マウンテンパーク津南,"36.9539,138.6475"
佐渡島・白木峰展望台,"37.8286,138.2861"
奥只見ダム,"37.1514,139.1867"
田貫湖,"35.3342,138.5619"
朝霧高原（道の駅朝霧高原）,"35.4097,138.5839"
西伊豆・黄金崎,"34.8322,138.7561"
あいあい岬（石廊崎）,"34.6017,138.8389"
水窪ダム,"35.1764,137.9250"
天城高原,"34.8517,139.0117"
細江奥山高原,"34.8361,137.6669"
西伊豆スカイライン（仁科峠）,"34.8589,138.8389"
寸又峡,"35.1706,138.1203"
富士山吉原（雲海スポット）,"35.2289,138.6183"
茶臼山高原,"35.2283,137.6628"
伊良湖岬,"34.6086,137.0286"
段戸裏谷原生林 きららの森,"35.2208,137.4589"
つくで高原,"34.9961,137.4206"
佐久島,"34.7236,137.0422"
面ノ木園地,"35.2047,137.5858"
恵那山ウェルネスキャンプ場,"35.4372,137.5817"
ひるがの高原,"36.0022,136.8986"
伊吹山ドライブウェイ（山頂駐車場）,"35.4178,136.4061"
池田山（展望台）,"35.4389,136.5683"
乗鞍岳スカイライン（平湯峠）,"36.1472,137.5186"
白川郷（荻町城跡展望台）,"36.2592,136.9064"
数河高原,"36.3117,137.2197"
能登半島・白米千枚田,"37.4258,136.9997"
能登・ヤセの断崖,"37.1350,136.6806"
見附島,"37.4008,137.2514"
獅子吼高原,"36.4419,136.6578"
立山室堂,"36.5772,137.5947"
有峰湖,"36.4800,137.4608"
黒部峡谷（欅平）,"36.6922,137.6581"
