# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 阿智村 ヘブンスそのはら付近 (緯度35.456090, 経度137.633603, 観測者標高1600.36m; 2026-09-06 Googleマップ表示位置に合わせ座標修正、約37m移動、地形地平線は未再計算)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.377,2500
1,1.368,2500
2,1.447,2500
3,1.200,2400
4,1.066,2400
5,1.022,2400
6,1.346,2300
7,1.627,2300
8,1.742,2300
9,1.500,2300
10,1.156,2400
11,0.935,2400
12,0.804,2200
13,0.603,2200
14,0.530,2100
15,0.378,2000
16,0.183,41100
17,0.494,41300
18,0.572,39600
19,0.977,40300
20,1.407,40300
21,1.384,39400
22,1.486,39900
23,1.714,37500
24,1.702,39100
25,1.634,40100
26,1.768,35100
27,1.662,34200
28,1.427,33600
29,1.878,33600
30,1.973,31500
31,2.051,31400
32,1.901,30900
33,1.744,28800
34,1.625,23100
35,1.611,23000
36,1.466,22700
37,1.370,26600
38,1.302,27900
39,1.152,28600
40,1.069,26000
41,0.786,25800
42,0.453,25200
43,0.426,24800
44,0.487,24800
45,0.415,24800
46,0.239,24700
47,0.023,24700
48,-0.065,24400
49,-0.294,24500
50,-0.137,49500
51,-0.324,49400
52,-0.382,49100
53,-0.393,39800
54,-0.173,46300
55,-0.172,45300
56,-0.076,44800
57,0.029,48000
58,0.101,47600
59,0.103,47500
60,0.106,47500
61,0.220,47200
62,0.313,47100
63,0.522,47300
64,0.516,47300
65,0.379,47100
66,0.444,46800
67,0.493,46300
68,0.420,46000
69,0.379,46100
70,0.457,46400
71,0.567,47200
72,0.726,47100
73,0.819,47700
74,0.852,49800
75,0.976,48600
76,0.965,48000
77,1.126,48400
78,1.172,48700
79,1.236,48000
80,1.012,47400
81,0.993,46700
82,0.965,47000
83,0.990,50000
84,1.462,50000
85,1.504,48400
86,1.174,47800
87,1.178,48400
88,1.494,47900
89,1.580,47600
90,1.451,47400
91,1.382,44200
92,1.256,44400
93,1.244,44500
94,1.468,46600
95,1.239,46100
96,0.914,46100
97,1.045,47800
98,1.090,47600
99,1.141,47600
100,0.913,47100
101,0.930,47100
102,0.920,46800
103,0.952,46100
104,0.835,46200
105,0.637,43600
106,0.882,43800
107,1.023,43500
108,1.044,43300
109,0.953,43400
110,0.694,39400
111,0.844,39600
112,0.659,39500
113,0.688,38900
114,0.649,39300
115,0.681,39200
116,0.735,38900
117,0.832,39300
118,0.712,39100
119,0.578,39500
120,0.509,40100
121,0.489,39900
122,0.506,39800
123,0.486,44300
124,0.382,44400
125,0.286,44600
126,0.313,45100
127,0.237,45600
128,0.231,45700
129,0.190,45900
130,0.218,45700
131,0.253,45900
132,0.134,46000
133,0.099,46400
134,0.031,46400
135,-0.116,47100
136,-0.185,48200
137,-0.285,47400
138,-0.428,47100
139,-0.512,43700
140,-0.473,44100
141,-0.573,42200
142,-0.427,41900
143,-0.412,49900
144,-0.393,48000
145,-0.658,48300
146,-0.606,44100
147,-0.569,44200
148,-0.687,43800
149,-0.680,47200
150,-0.680,47400
151,-0.654,48000
152,-0.517,48500
153,-0.585,49800
154,-0.383,5000
155,-0.284,5000
156,-0.327,5000
157,-0.127,13900
158,0.073,13500
159,0.144,13500
160,0.026,13500
161,0.316,5400
162,0.402,5400
163,0.576,5800
164,0.899,5500
165,1.133,5800
166,1.464,5800
167,1.632,5800
168,1.678,5800
169,1.717,5800
170,1.856,5800
171,1.760,5800
172,1.995,5800
173,1.950,7300
174,2.034,7200
175,2.253,5900
176,2.235,7000
177,2.373,6000
178,2.704,6100
179,3.040,6200
180,2.881,6400
181,2.598,6400
182,2.259,5000
183,1.905,5200
184,1.876,5000
185,1.954,5100
186,1.846,5100
187,1.539,5100
188,1.545,5100
189,1.073,5100
190,1.257,5000
191,1.381,5100
192,1.506,5000
193,1.822,4800
194,2.078,4800
195,2.194,4700
196,1.829,4800
197,1.596,4900
198,1.433,4900
199,1.273,5000
200,0.922,4100
201,1.613,4100
202,1.726,4100
203,2.133,2600
204,2.578,2600
205,3.089,2900
206,3.585,3000
207,4.023,2800
208,4.571,2800
209,5.042,2900
210,5.292,2900
211,5.384,2900
212,5.254,3000
213,5.419,3000
214,5.903,3100
215,6.262,3200
216,6.437,3200
217,6.667,3200
218,6.585,3100
219,6.903,3100
220,6.836,3100
221,6.815,3100
222,6.685,3100
223,6.621,3100
224,6.572,3100
225,6.659,3100
226,6.857,3100
227,7.374,3000
228,7.916,3000
229,8.342,3000
230,8.575,3100
231,8.753,3100
232,8.756,3100
233,8.656,3200
234,8.657,3200
235,8.651,3300
236,9.030,3400
237,9.294,3400
238,9.377,3400
239,9.582,3400
240,9.406,3400
241,9.327,3500
242,9.270,3500
243,9.220,3500
244,9.217,3500
245,9.425,3500
246,9.326,3500
247,9.144,3600
248,9.014,3600
249,8.994,3600
250,8.874,3600
251,8.756,3700
252,8.758,3700
253,8.616,3700
254,8.602,3700
255,8.515,3800
256,8.013,3800
257,7.546,3900
258,7.158,4100
259,7.041,4100
260,6.760,4100
261,6.606,4100
262,6.280,4100
263,5.779,4100
264,5.224,4100
265,4.580,2800
266,4.047,3900
267,4.206,2700
268,4.470,2700
269,3.963,2700
270,3.507,2700
271,2.772,2700
272,1.984,2700
273,1.545,2400
274,1.325,2400
275,1.296,2400
276,1.157,2300
277,1.113,2200
278,1.531,2100
279,2.069,2100
280,2.370,2100
281,2.495,2100
282,2.447,2100
283,2.160,2100
284,1.263,2100
285,0.967,200
286,0.927,200
287,0.927,200
288,0.927,200
289,0.635,200
290,1.423,200
291,1.159,200
292,1.159,200
293,0.902,200
294,0.902,200
295,0.902,200
296,1.480,200
297,1.480,200
298,1.036,200
299,1.036,200
300,2.041,200
301,1.520,200
302,1.520,200
303,0.924,200
304,0.924,200
305,1.786,200
306,1.091,200
307,1.091,200
308,1.855,200
309,1.053,200
310,1.053,200
311,1.053,200
312,0.904,200
313,0.904,200
314,0.904,200
315,0.652,200
316,0.652,200
317,0.652,200
318,0.495,200
319,0.495,200
320,0.495,200
321,0.326,800
