# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 神磯の鳥居・大洗海岸 (緯度36.314963, 経度140.589524, 観測者標高1.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.578,200
1,3.430,200
2,3.430,200
3,3.313,200
4,3.313,200
5,3.313,200
6,3.193,200
7,3.193,200
8,3.059,200
9,3.059,200
10,2.890,200
11,2.890,200
12,2.704,200
13,2.704,200
14,2.604,200
15,2.318,200
16,2.318,200
17,1.866,200
18,1.866,200
19,1.271,200
20,1.271,200
21,0.947,200
22,0.787,200
23,0.787,200
24,0.672,200
25,0.672,200
26,0.549,200
27,0.463,200
28,0.463,200
29,0.317,200
30,0.317,200
31,0.045,200
32,0.045,200
33,0.101,800
34,0.084,800
35,-0.040,5100
36,-0.030,400
37,-0.030,400
38,-0.040,5100
39,-0.040,5100
40,-0.040,5100
41,-0.040,5100
42,-0.040,5100
43,-0.040,5100
44,-0.040,5100
45,-0.040,5100
46,-0.040,5100
47,-0.040,5100
48,-0.040,5100
49,-0.040,5100
50,-0.040,5100
51,-0.040,5100
52,-0.040,5100
53,-0.040,5100
54,-0.040,5100
55,-0.040,5100
56,-0.040,5100
57,-0.040,5100
58,-0.040,5100
59,-0.040,5100
60,-0.040,5100
61,-0.040,5100
62,-0.040,5100
63,-0.040,5100
64,-0.040,5100
65,-0.040,5100
66,-0.040,5100
67,-0.040,5100
68,-0.040,5100
69,-0.040,5100
70,-0.040,5100
71,-0.040,5100
72,-0.040,5100
73,-0.040,5100
74,-0.040,5100
75,-0.040,5100
76,-0.040,5100
77,-0.040,5100
78,-0.040,5100
79,-0.040,5100
80,-0.040,5100
81,-0.040,5100
82,-0.040,5100
83,-0.040,5100
84,-0.040,5100
85,-0.040,5100
86,-0.040,5100
87,-0.040,5100
88,-0.040,5100
89,-0.040,5100
90,-0.040,5100
91,-0.040,5100
92,-0.040,5100
93,-0.040,5100
94,-0.040,5100
95,-0.040,5100
96,-0.040,5100
97,-0.040,5100
98,-0.040,5100
99,-0.040,5100
100,-0.040,5100
101,-0.040,5100
102,-0.040,5100
103,-0.040,5100
104,-0.040,5100
105,-0.040,5100
106,-0.040,5100
107,-0.040,5100
108,-0.040,5100
109,-0.040,5100
110,-0.040,5100
111,-0.040,5100
112,-0.040,5100
113,-0.040,5100
114,-0.040,5100
115,-0.040,5100
116,-0.040,5100
117,-0.040,5100
118,-0.040,5100
119,-0.040,5100
120,-0.040,5100
121,-0.040,5100
122,-0.040,5100
123,-0.040,5100
124,-0.040,5100
125,-0.040,5100
126,-0.040,5100
127,-0.040,5100
128,-0.040,5100
129,-0.040,5100
130,-0.040,5100
131,-0.040,5100
132,-0.040,5100
133,-0.040,5100
134,-0.040,5100
135,-0.040,5100
136,-0.040,5100
137,-0.040,5100
138,-0.040,5100
139,-0.040,5100
140,-0.040,5100
141,-0.040,5100
142,-0.040,5100
143,-0.040,5100
144,-0.040,5100
145,-0.040,5100
146,-0.040,5100
147,-0.040,5100
148,-0.040,5100
149,-0.040,5100
150,-0.040,5100
151,-0.040,5100
152,-0.040,5100
153,-0.040,5100
154,-0.040,5100
155,-0.040,5100
156,-0.040,5100
157,-0.040,5100
158,-0.040,5100
159,-0.040,5100
160,-0.040,5100
161,-0.040,5100
162,-0.040,5100
163,-0.040,5100
164,-0.040,5100
165,-0.040,5100
166,-0.040,5100
167,-0.040,5100
168,-0.040,5100
169,-0.040,5100
170,-0.040,5100
171,-0.040,5100
172,-0.040,5100
173,-0.040,5100
174,-0.040,5100
175,-0.040,5100
176,-0.040,5100
177,-0.034,29800
178,-0.021,25200
179,-0.004,22600
180,0.014,21900
181,0.018,21200
182,0.035,19100
183,0.034,18000
184,0.063,17100
185,0.079,16900
186,0.085,15500
187,0.087,15000
188,0.492,100
189,0.492,100
190,0.492,100
191,0.492,100
