# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 鵜の岬海岸 (緯度36.662972, 経度140.713083, 観測者標高16.0m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.701,48500
1,0.670,47300
2,0.692,46800
3,0.650,44700
4,0.760,44900
5,0.715,43200
6,0.716,43400
7,0.662,41900
8,0.550,42800
9,0.558,50000
10,0.599,41200
11,0.523,40700
12,0.140,17200
13,0.150,23700
14,0.106,23800
15,0.067,23800
16,0.053,35100
17,-0.011,30100
18,-0.024,41900
19,-0.005,21500
20,-0.011,20100
21,-0.005,20500
22,-0.013,19800
23,-0.052,20200
24,-0.054,36300
25,-0.074,46000
26,-0.066,39600
27,-0.040,40000
28,-0.029,42500
29,-0.038,39000
30,-0.044,40100
31,-0.044,40700
32,-0.056,40000
33,-0.107,40800
34,-0.120,15300
35,-0.120,15300
36,-0.120,15300
37,-0.120,15300
38,-0.120,15300
39,-0.120,15300
40,-0.120,15300
41,-0.120,15300
42,-0.120,15300
43,-0.120,15300
44,-0.120,15300
45,-0.120,15300
46,-0.120,15300
47,-0.120,15300
48,-0.120,15300
49,-0.120,15300
50,-0.120,15300
51,-0.120,15300
52,-0.120,15300
53,-0.120,15300
54,-0.120,15300
55,-0.120,15300
56,-0.120,15300
57,-0.120,15300
58,-0.120,15300
59,-0.120,15300
60,-0.120,15300
61,-0.120,15300
62,-0.120,15300
63,-0.120,15300
64,-0.120,15300
65,-0.120,15300
66,-0.120,15300
67,-0.120,15300
68,-0.120,15300
69,-0.120,15300
70,-0.120,15300
71,-0.120,15300
72,-0.120,15300
73,-0.120,15300
74,-0.120,15300
75,-0.120,15300
76,-0.120,15300
77,-0.120,15300
78,-0.120,15300
79,-0.120,15300
80,-0.120,15300
81,-0.120,15300
82,-0.120,15300
83,-0.120,15300
84,-0.120,15300
85,-0.120,15300
86,-0.120,15300
87,-0.120,15300
88,0.002,200
89,0.002,200
90,0.260,200
91,0.260,200
92,0.260,200
93,0.529,200
94,0.529,200
95,0.755,200
96,0.755,200
97,0.904,200
98,0.904,200
99,0.907,200
100,0.907,200
101,1.214,200
102,1.214,200
103,1.214,200
104,1.073,200
105,1.073,200
106,0.962,200
107,0.962,200
108,0.882,200
109,0.882,200
110,1.231,200
111,1.954,300
112,1.954,300
113,2.451,300
114,2.680,300
115,2.896,300
116,2.781,300
117,2.781,300
118,2.152,300
119,1.655,200
120,2.244,200
121,2.244,200
122,2.244,200
