# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 戦場ヶ原 (緯度36.778887, 経度139.442674, 観測者標高1392.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,7.792,1900
1,7.998,3700
2,8.085,3600
3,8.055,1900
4,8.064,1900
5,7.985,1900
6,7.819,1900
7,7.733,3600
8,7.418,3600
9,6.696,3600
10,6.145,1600
11,6.147,1600
12,6.099,1600
13,6.081,1600
14,5.995,1600
15,5.907,1600
16,5.788,1600
17,6.320,4600
18,6.968,4600
19,7.403,4600
20,7.585,4700
21,7.856,4600
22,8.080,4700
23,8.198,4700
24,7.881,4700
25,7.565,4600
26,7.257,4700
27,6.985,4800
28,6.391,4800
29,6.149,4900
30,6.722,5000
31,7.249,5000
32,7.492,5000
33,7.984,5000
34,8.347,5000
35,8.545,5000
36,8.754,5000
37,9.232,5000
38,9.690,5000
39,10.066,5100
40,9.871,5100
41,9.613,5400
42,9.372,5400
43,9.359,5400
44,8.941,5500
45,8.274,5300
46,7.466,5300
47,6.807,5300
48,6.332,5400
49,5.810,5400
50,5.583,5300
51,5.238,5300
52,4.987,5300
53,4.902,5400
54,5.051,6600
55,5.305,6400
56,5.743,6300
57,5.516,6300
58,5.359,6500
59,5.662,6600
60,6.394,6700
61,6.996,6700
62,7.329,6800
63,7.663,6800
64,7.172,6800
65,6.656,8700
66,6.541,9000
67,6.963,5900
68,7.760,5900
69,8.259,5900
70,8.422,6000
71,8.567,6000
72,9.092,6000
73,8.913,6000
74,8.425,6000
75,8.387,6000
76,7.911,6000
77,7.685,5900
78,7.431,5900
79,6.996,5900
80,6.383,6000
81,6.497,3600
82,6.792,3600
83,6.910,3600
84,6.892,3600
85,7.149,3500
86,7.571,3500
87,8.086,3500
88,8.543,3500
89,8.942,3500
90,9.343,3500
91,9.718,3600
92,10.258,3600
93,10.639,3600
94,10.810,3600
95,10.990,3600
96,11.195,3800
97,11.440,3800
98,11.631,4100
99,11.915,3900
100,12.247,4000
101,12.379,4000
102,12.405,4000
103,12.580,3600
104,13.220,3600
105,13.405,3600
106,14.100,3700
107,14.401,3800
108,14.341,3900
109,14.228,3900
110,14.166,4000
111,13.640,4100
112,13.171,4500
113,12.783,4500
114,12.408,4500
115,12.062,4500
116,11.597,4500
117,11.164,4600
118,10.783,4600
119,10.356,4600
120,9.752,4600
121,9.329,4600
122,8.785,4600
123,8.133,4600
124,7.481,4600
125,6.846,4600
126,6.230,4600
127,5.603,4600
128,4.953,4500
129,4.444,4400
130,3.838,4400
131,3.493,3600
