# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 那須高原 (緯度37.074705, 経度140.005252, 観測者標高641.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.458,2500
1,5.440,2400
2,5.297,2400
3,5.242,2400
4,5.175,2400
5,5.069,2400
6,5.016,2700
7,4.952,2700
8,4.864,2700
9,4.791,2600
10,4.687,2600
11,4.594,2400
12,4.532,2500
13,4.478,2500
14,4.399,2300
15,4.303,2300
16,4.214,2200
17,4.155,2200
18,4.043,2200
19,3.970,2100
20,3.915,1800
21,3.873,1800
22,3.786,1800
23,3.740,1900
24,3.675,1900
25,3.599,1900
26,3.490,1900
27,3.344,1900
28,3.281,800
29,3.212,400
30,3.163,500
31,3.109,400
32,3.011,400
33,3.011,400
34,2.918,400
35,2.913,300
36,2.909,300
37,2.950,200
38,2.850,200
39,2.850,200
40,2.910,200
41,2.782,200
42,2.782,200
43,2.747,200
44,2.747,200
45,2.624,200
46,2.564,200
47,2.564,200
48,2.441,200
49,2.367,200
50,2.367,200
51,2.244,200
52,2.153,200
53,2.030,200
54,2.030,200
55,2.030,200
56,1.798,200
57,1.798,200
58,1.798,200
59,1.675,200
60,1.580,200
61,1.457,200
62,1.457,200
63,1.457,200
64,1.334,200
65,1.245,200
66,1.122,200
67,1.122,200
68,1.005,200
69,1.005,200
70,0.910,200
71,0.787,200
72,0.787,200
73,0.678,200
74,0.678,200
75,0.564,200
76,0.564,200
77,0.564,200
78,0.352,200
79,0.352,200
80,0.231,200
81,0.231,200
82,0.108,200
83,0.108,200
84,-0.012,200
85,-0.012,200
86,-0.127,200
87,-0.127,200
88,-0.127,200
89,-0.176,21600
90,-0.217,47900
91,-0.195,47300
92,-0.128,48100
93,-0.142,48300
94,-0.175,49300
95,-0.204,49200
96,-0.192,22200
97,-0.151,22100
98,-0.079,22000
99,-0.074,21900
100,-0.055,22000
101,-0.101,48100
102,-0.056,26200
103,0.034,26500
104,0.044,26000
105,0.014,25400
106,-0.024,24800
107,0.000,24600
108,0.072,24200
109,0.162,24600
110,0.123,24900
111,-0.002,28400
112,0.085,22600
113,0.110,26400
114,0.003,26000
115,0.209,33000
116,0.264,28200
117,0.283,28600
118,0.366,29300
119,0.407,29100
120,0.334,29200
121,0.378,29200
122,0.454,29200
123,0.492,29000
124,0.610,28700
125,0.414,28600
126,0.287,28800
127,0.193,29400
128,-0.033,30400
129,-0.077,24700
130,-0.074,28400
131,0.100,29000
132,0.019,29600
133,-0.065,29700
134,-0.047,32200
135,-0.142,25500
136,-0.140,31700
137,-0.212,32700
138,-0.241,32900
139,-0.339,33100
140,-0.350,30800
141,-0.290,27500
142,-0.361,28600
143,-0.357,27600
144,-0.374,27500
145,-0.412,48100
146,-0.405,45000
147,-0.386,46400
148,-0.424,47300
149,-0.447,47700
150,-0.429,34500
151,-0.417,29000
152,-0.435,45800
153,-0.436,47000
154,-0.442,46700
155,-0.508,46500
156,-0.537,49900
157,-0.589,48400
158,-0.598,49400
159,-0.599,46700
160,-0.644,46700
161,-0.692,49500
162,-0.738,49400
163,-0.803,43000
164,-0.793,44600
165,-0.747,46900
166,-0.767,40300
167,-0.744,47800
168,-0.769,46300
169,-0.758,44100
170,-0.748,49100
171,-0.749,48200
172,-0.730,48400
173,-0.740,47700
174,-0.736,47600
175,-0.737,46700
176,-0.752,44900
177,-0.761,42300
178,-0.769,42200
179,-0.781,50000
180,-0.777,50000
181,-0.774,50000
182,-0.754,50000
183,-0.754,49500
184,-0.766,46800
185,-0.771,46100
186,-0.770,49800
187,-0.751,49100
188,-0.761,49600
189,-0.760,49900
190,-0.759,50000
191,-0.733,49700
192,-0.716,47300
193,-0.707,47900
194,-0.612,42900
195,-0.497,42300
196,-0.577,46600
197,-0.399,46400
198,-0.545,46000
199,-0.442,45000
200,-0.334,45600
201,-0.461,50000
202,-0.575,39800
203,-0.454,38300
204,-0.517,38400
