# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 湯ノ湖 (緯度36.800583, 経度139.423694, 観測者標高1479.3m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,10.433,3800
1,10.480,3800
2,10.320,3800
3,9.899,3800
4,9.288,4100
5,8.864,4200
6,8.980,4400
7,8.716,4400
8,8.420,3500
9,8.234,3500
10,7.686,2100
11,7.806,2000
12,8.045,2000
13,8.201,2000
14,8.304,2000
15,8.371,2000
16,8.600,1200
17,8.697,1200
18,8.825,1200
19,9.111,1700
20,9.367,1700
21,9.662,1700
22,9.794,1700
23,9.995,1700
24,10.500,1800
25,11.017,1800
26,11.223,1800
27,11.498,1800
28,11.817,1800
29,12.086,1800
30,12.394,1800
31,12.576,1800
32,12.659,1800
33,12.619,1800
34,12.588,1800
35,12.437,1800
36,12.498,1900
37,12.653,1800
38,12.929,1800
39,13.183,1800
40,13.250,1800
41,13.273,1800
42,13.203,1700
43,13.341,1700
44,13.486,1700
45,13.606,1700
46,13.740,1700
47,13.809,1800
48,14.009,1800
49,14.180,1800
50,13.991,1800
51,13.641,1900
52,13.509,1900
53,13.258,1900
54,12.555,1900
55,11.927,1900
56,11.952,1200
57,12.337,1200
58,12.412,1200
59,12.432,1200
60,12.327,1200
61,12.057,1100
62,12.339,1100
63,12.802,1100
64,12.978,1100
65,13.117,1100
66,13.327,1100
67,13.401,1100
68,13.400,1100
69,13.396,1100
70,13.248,1100
71,13.104,1100
72,12.952,1100
73,12.598,1100
74,12.591,900
75,12.845,900
76,13.116,800
77,13.240,900
78,13.359,800
79,13.682,800
80,13.626,800
81,13.677,900
82,13.729,900
83,13.782,900
84,13.797,900
85,13.794,900
86,13.691,900
87,13.665,900
88,13.603,900
89,13.519,900
90,13.428,900
91,13.325,900
92,13.227,900
93,13.093,900
94,12.830,900
95,12.570,900
96,12.308,900
97,12.084,900
98,11.812,900
99,11.245,900
100,10.876,900
101,10.496,900
102,10.054,900
103,9.627,900
104,9.096,900
105,8.575,900
106,8.107,900
107,7.808,1100
108,7.622,1200
109,7.499,1200
110,7.317,1200
111,7.162,1200
112,6.848,1200
113,6.447,1200
114,6.068,1200
115,6.128,6700
116,6.212,6400
117,6.581,6600
118,7.183,7000
119,7.500,7200
120,7.671,7200
121,7.689,7200
122,7.836,7200
123,7.836,7200
124,7.997,7000
125,7.658,6600
126,7.191,7200
127,6.792,7200
128,6.309,7300
129,5.874,7300
130,5.314,7400
131,4.709,7400
132,4.078,7400
133,3.348,7300
134,2.745,7300
135,2.198,7300
136,1.591,7300
137,1.236,6500
138,0.900,6500
139,0.635,10700
140,0.664,10700
141,0.674,10700
142,0.682,10700
143,0.445,10900
144,0.511,600
145,0.580,600
146,0.711,600
147,0.833,600
148,0.963,600
149,1.090,600
150,1.535,600
151,1.702,600
152,1.626,600
153,1.680,600
154,1.254,600
155,1.374,11000
156,1.149,10900
157,0.856,10400
158,0.732,10400
159,0.513,10500
160,0.336,500
161,0.618,4800
162,0.770,4800
163,1.238,500
164,1.365,500
165,1.478,500
166,1.851,500
167,1.951,500
168,2.089,9200
169,2.110,500
170,2.078,500
171,2.188,500
172,2.372,500
173,2.434,500
174,2.484,500
175,2.487,500
176,2.495,500
177,2.199,400
178,2.789,400
179,3.394,400
180,3.978,400
181,4.550,400
182,4.550,400
183,5.117,400
184,5.682,400
185,6.223,400
186,6.768,400
187,7.326,400
188,7.851,400
189,8.304,400
190,8.722,400
191,9.118,400
192,9.807,400
193,9.988,1300
194,10.208,400
195,10.602,400
196,11.368,400
197,11.854,400
198,12.353,400
199,12.821,400
200,13.414,400
201,13.414,400
202,13.808,400
203,14.397,400
204,14.864,400
205,15.310,400
206,15.762,400
207,15.762,400
208,16.148,400
209,16.586,400
210,16.809,400
211,17.303,400
212,17.303,400
213,17.155,400
214,17.470,400
215,17.162,400
216,16.837,500
217,17.197,500
218,17.308,500
219,17.658,500
220,18.011,500
221,18.011,500
222,18.377,500
223,18.746,500
224,18.904,500
225,19.012,500
226,19.240,500
227,19.172,500
228,19.347,500
229,19.583,500
230,19.949,500
231,19.856,500
232,20.190,500
233,20.620,500
234,20.512,500
235,20.822,500
236,21.153,500
237,21.061,500
238,21.388,600
239,22.004,600
240,22.909,600
241,23.112,600
242,23.611,600
243,23.874,600
244,24.497,600
245,24.935,600
246,24.925,600
247,25.280,600
248,25.311,700
249,25.873,700
250,26.079,700
251,25.899,700
252,25.444,700
253,25.389,800
254,25.452,900
255,25.584,900
256,25.513,900
257,25.659,1000
258,25.600,1000
259,25.265,1000
260,24.764,1000
261,24.364,1000
262,24.014,1000
263,23.760,1000
264,23.535,1000
265,22.860,1000
266,22.325,1000
267,21.927,1000
268,21.579,1000
269,21.014,1000
270,20.547,1000
271,20.066,1000
272,19.155,1000
273,18.696,900
274,18.409,900
275,18.224,900
276,18.073,900
277,17.666,900
278,17.506,900
279,17.148,900
280,16.515,900
281,16.094,900
282,15.536,900
283,14.889,3100
284,14.749,3100
285,14.872,3000
286,15.189,3000
287,15.185,3000
288,15.054,2900
289,14.907,2900
290,14.556,2800
291,14.415,2800
292,14.095,2900
293,13.540,2900
294,12.845,2100
295,12.101,1900
296,11.992,3300
297,12.659,3300
298,12.946,3300
299,12.564,3300
300,12.164,3300
301,11.101,3300
302,10.384,3300
303,9.762,3300
304,9.555,3300
305,9.569,3300
306,9.641,3300
307,9.485,3300
308,9.290,3300
309,9.208,3200
310,9.558,3200
311,9.540,3200
312,10.087,3200
313,10.497,3200
314,10.853,2500
315,11.472,2900
316,12.232,2700
317,12.932,2700
318,13.616,2700
319,14.371,2700
320,14.738,2800
321,15.075,2700
322,15.246,2600
323,15.446,2500
324,15.361,2500
325,15.350,2400
326,15.379,2300
327,15.028,2300
328,14.932,2100
329,15.074,2000
330,15.256,2000
331,15.449,1900
332,15.746,1900
333,15.739,1900
334,15.755,1900
335,15.521,1900
336,14.981,1800
337,14.662,1800
338,14.688,2100
339,14.684,2100
340,14.737,2100
341,14.742,2100
342,14.406,2100
343,14.336,2100
344,14.690,2100
345,14.472,2100
346,13.889,2100
347,13.408,2100
348,13.519,2000
349,13.683,2000
350,13.355,2000
351,13.039,2000
352,12.983,3100
353,12.977,3100
354,12.646,3100
355,12.080,3100
356,11.575,3000
357,11.016,3100
358,10.235,3100
359,10.145,3700
