# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 中禅寺湖・千手ケ浜 (緯度36.736861, 経度139.476861, 観測者標高1269.0m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,11.872,3300
1,12.400,3300
2,13.016,3300
3,13.646,3300
4,14.052,3300
5,14.594,3400
6,15.268,3400
7,15.782,3400
8,16.334,3400
9,16.789,3400
10,17.501,3500
11,17.822,3400
12,18.522,3400
13,18.545,3300
14,18.845,3300
15,18.949,3300
16,19.025,3300
17,19.198,3300
18,19.529,3300
19,19.904,3300
20,20.110,3300
21,20.329,2900
22,20.491,2900
23,20.506,2700
24,20.596,2600
25,20.694,2600
26,20.616,2600
27,20.360,2600
28,19.949,2600
29,19.398,2600
30,18.896,2500
31,18.344,2500
32,17.816,2500
33,17.450,2500
34,16.884,2500
35,16.177,2500
36,15.512,2400
37,15.091,2400
38,14.623,2400
39,14.039,2400
40,13.554,2400
41,12.827,2400
42,12.314,2400
43,11.839,2400
44,11.214,2400
45,10.729,2300
46,10.305,2100
47,9.906,2100
48,9.495,2100
49,8.782,2100
50,8.380,2000
51,8.139,2000
52,7.745,2000
53,7.388,2000
54,6.952,2000
55,6.442,2000
56,6.063,2000
57,5.760,2000
58,5.373,2000
59,5.073,2000
60,4.751,2000
61,4.383,1900
62,4.051,2000
63,3.817,2000
64,3.603,1900
65,3.351,2000
66,3.098,1900
67,2.853,1900
68,2.639,1900
69,2.454,1900
70,2.410,5000
71,2.128,5000
72,1.892,1900
73,1.648,1900
74,1.402,1900
75,1.231,1900
76,1.067,5700
77,0.931,4900
78,1.065,2700
79,1.143,2700
80,0.862,2700
81,0.480,2100
82,0.392,2100
83,0.332,2100
84,0.321,2100
85,0.302,2100
86,0.350,1900
87,0.561,1900
88,1.085,1900
89,1.546,1900
90,1.787,3300
91,1.827,1900
92,1.962,1900
93,2.001,1900
94,2.332,3200
95,2.740,2700
96,3.099,2700
97,3.344,2700
