# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 野反湖 (緯度36.706853, 経度138.645761, 観測者標高1505.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.438,4400
1,3.728,1500
2,3.922,1500
3,4.259,3900
4,4.674,3900
5,5.101,3900
6,5.528,3900
7,5.990,3900
8,6.341,3900
9,6.646,3900
10,6.811,4000
11,6.863,4100
12,6.999,4100
13,7.123,4100
14,6.967,4200
15,6.796,4300
16,6.941,4300
17,7.027,4300
18,6.970,4400
19,6.620,2400
20,6.815,2400
21,6.962,2400
22,6.732,2400
23,6.470,2400
24,6.367,4300
25,6.297,3600
26,6.559,3700
27,6.806,3700
28,7.003,3900
29,7.278,3900
30,7.429,3900
31,7.446,4100
32,7.739,4100
33,7.979,4200
34,8.018,4100
35,7.809,4000
36,7.617,3900
37,7.801,3900
38,7.712,3900
39,7.521,3900
40,7.183,3900
41,7.361,3500
42,7.390,3600
43,7.751,3700
44,7.875,3700
45,8.015,3800
46,8.006,3800
47,7.843,3700
48,7.551,3700
49,7.583,3600
50,7.344,3600
51,7.318,2600
52,7.355,2600
53,7.286,3400
54,7.371,3300
55,7.663,3200
56,7.824,3000
57,7.679,3000
58,7.612,1100
59,7.796,1100
60,8.199,1000
61,8.394,1000
62,8.546,1000
63,8.706,1000
64,8.932,1000
65,9.062,1100
66,9.451,1100
67,9.754,1100
68,10.028,1100
69,10.078,1100
70,9.988,1100
71,9.625,1100
72,9.431,1300
73,9.572,1400
74,9.722,1400
75,9.568,1400
76,9.447,1500
77,9.615,1500
78,9.635,2200
79,9.801,2200
80,9.967,2200
81,10.256,2300
82,10.235,1700
83,10.316,1700
84,10.496,1700
85,10.497,2200
86,10.580,2200
87,10.527,2100
88,10.642,2100
89,11.139,2000
90,11.265,2000
91,11.668,1900
92,12.261,1900
93,12.571,1900
94,12.627,1900
95,12.736,1800
96,13.339,1500
97,13.886,1500
98,14.110,1500
99,14.020,1500
100,13.690,1500
101,13.586,1400
102,13.550,1400
103,13.420,1400
104,13.240,1400
105,12.955,1400
106,12.753,1300
107,12.524,1300
108,12.022,1300
109,11.441,1200
110,11.310,1200
111,11.047,1200
112,10.681,1700
113,10.490,1700
114,10.073,1700
115,9.700,1600
116,9.760,1600
117,9.879,1600
118,9.875,1600
119,9.626,1600
120,9.300,1600
121,9.183,1600
122,9.047,1600
123,8.955,1600
124,8.920,1600
125,8.850,1600
126,8.723,1600
127,8.548,1600
128,8.256,1600
129,7.950,1600
130,7.417,1600
131,7.079,1600
132,6.876,1700
133,6.674,1700
134,6.257,1800
135,5.963,1800
136,5.561,1800
137,5.226,1800
138,4.809,1800
139,4.459,1800
140,4.213,1800
141,3.930,1800
142,3.858,1800
143,3.647,1800
144,3.363,1800
145,3.038,1800
146,2.660,1800
147,2.400,1800
148,2.113,1800
149,1.992,1800
150,1.915,1800
151,1.852,1800
152,1.791,1800
153,1.886,1800
154,1.920,1800
155,1.932,1800
156,1.975,1800
157,2.026,1800
158,2.103,1800
159,2.291,1800
160,2.473,1800
161,2.595,1800
162,2.708,1800
163,2.771,1800
164,2.803,1800
165,2.809,1800
166,2.972,1800
167,3.029,1700
168,3.339,1700
169,3.716,1700
170,4.010,1700
171,4.367,1700
172,4.659,1700
173,4.824,1700
174,4.413,1700
175,4.051,1600
176,4.153,1600
177,4.421,1600
178,4.266,1600
179,4.182,1400
180,4.324,1400
181,4.620,1500
182,4.886,1500
183,5.184,1500
184,5.323,1500
185,5.491,1500
186,5.527,1500
187,5.523,1200
188,5.997,1200
189,6.046,1200
190,5.937,1200
191,5.557,1200
192,5.340,1100
193,4.973,1100
194,4.736,1100
195,4.383,1100
196,4.141,1200
197,4.179,1200
198,4.287,1200
199,4.259,1200
200,4.024,1200
201,3.812,1200
202,3.479,1200
203,3.205,1200
204,2.895,1200
205,2.733,1100
206,2.610,1100
207,2.441,1100
208,2.283,1100
209,2.133,1100
210,1.978,1100
211,1.927,1300
212,1.882,1300
213,1.885,1300
214,1.871,1300
215,1.870,1300
216,1.831,1300
217,1.788,1300
218,1.703,1300
219,1.570,1300
220,1.591,1500
221,1.643,1700
222,2.130,1700
223,2.385,1700
224,2.574,1700
225,2.746,1700
226,2.773,1700
227,2.830,1400
228,3.120,1400
229,3.360,1400
230,3.713,1400
231,4.087,1400
232,4.400,1400
233,4.852,1400
234,5.262,1400
235,5.590,1400
236,5.832,1400
237,5.955,1500
238,5.949,1500
239,5.777,1500
240,5.646,1600
241,5.624,1600
242,5.749,1600
243,5.815,1600
244,6.158,1000
245,6.499,1100
246,6.981,1100
247,7.633,1100
248,8.062,1100
249,8.433,1100
250,8.876,1100
251,9.152,1100
252,9.397,1100
253,9.505,1100
254,9.796,1100
255,10.137,1100
256,10.664,1200
257,11.259,1200
258,11.434,1200
259,11.272,1200
260,11.494,1100
261,11.560,1100
262,11.598,1100
263,11.646,1100
264,11.546,1100
265,11.417,1100
266,11.164,1100
267,11.003,1100
268,10.633,1100
269,10.358,1100
270,10.118,1100
271,10.027,1100
272,9.833,1100
273,9.726,1100
274,9.650,1100
275,9.542,1100
276,9.230,1100
277,9.089,1100
278,9.003,1100
279,8.833,1100
280,8.566,1100
281,8.274,1100
282,7.906,2600
283,8.155,2600
284,8.377,2600
285,8.632,2600
286,8.714,2700
287,8.842,2700
288,8.853,2700
289,8.777,2700
290,8.703,2600
291,8.744,2600
292,8.831,2500
293,9.361,2500
294,9.711,2500
295,9.845,2500
296,9.866,2500
297,10.028,2500
298,10.069,2500
299,10.053,2500
300,10.035,2500
301,10.149,2600
302,10.115,2600
303,9.988,2600
304,9.921,2600
305,9.813,2500
306,9.825,2500
307,9.802,2500
308,9.734,2500
309,9.595,2500
310,9.514,2500
311,9.299,2500
312,8.944,2500
313,8.613,2500
314,8.373,2500
315,8.084,2500
316,7.785,2500
317,7.373,2500
318,7.061,2300
319,6.974,2900
320,7.070,3000
321,7.436,3000
322,7.859,3000
323,7.840,3000
324,7.723,3100
325,7.338,3100
326,7.312,3200
327,7.170,3200
328,6.816,3200
329,6.579,3200
330,6.268,3400
331,5.946,3000
332,5.965,3000
333,5.864,3000
334,5.594,3000
335,5.124,3000
336,5.171,3100
337,5.094,3100
338,4.817,3100
339,4.488,3100
340,3.929,3100
341,3.858,3200
342,3.289,3200
343,2.602,2500
344,2.379,2600
345,1.798,2400
346,1.546,2400
347,1.159,2400
348,0.592,2800
349,0.391,4800
350,0.913,4800
351,1.246,4800
352,1.472,4700
353,1.888,4600
354,2.406,4700
355,2.795,4700
356,2.876,4600
357,3.075,4600
358,3.473,4500
359,3.347,4400
