# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 倉渕水沼公園・くらぶちこども天文台 (緯度36.416452, 経度138.778379, 観測者標高540.5m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正、約11m移動)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.436,5400
1,1.421,36500
2,1.390,35900
3,1.358,34300
4,1.519,45100
5,1.671,44700
6,1.611,44800
7,1.709,44900
8,1.624,5600
9,1.604,5500
10,1.692,5800
11,1.851,5800
12,1.910,5900
13,2.000,5900
14,2.031,6000
15,2.051,6000
16,2.149,9600
17,2.477,9600
18,2.337,9600
19,2.358,5600
20,2.429,5700
21,2.387,5800
22,2.527,6700
23,2.556,6700
24,2.741,6700
25,2.715,6700
26,2.730,6500
27,2.924,6500
28,2.933,6600
29,3.006,7800
30,3.213,8300
31,3.586,8800
32,3.985,8800
33,4.396,8700
34,4.430,10100
35,4.254,10000
36,4.316,7800
37,4.590,8300
38,4.815,8400
39,4.933,8400
40,5.397,8300
41,5.277,8400
42,5.374,8800
43,5.576,8900
44,5.559,7800
45,5.464,7300
46,5.992,7200
47,5.801,7100
48,5.519,7000
49,5.040,7000
50,4.649,7000
51,4.526,7200
52,4.354,7100
53,4.383,7000
54,4.153,6900
55,3.933,9700
56,4.212,9800
57,4.079,9700
58,3.866,9100
59,4.317,9100
60,4.521,9000
61,4.378,8900
62,4.264,8900
63,4.646,8200
64,4.636,8200
65,4.499,8300
66,4.526,8300
67,4.519,8300
68,4.264,8400
69,4.252,8000
70,4.503,8000
71,4.293,8100
72,3.897,8300
73,3.380,8200
74,3.455,7300
75,3.416,7100
76,3.027,7100
77,2.816,8100
78,2.593,8100
79,2.131,8100
80,2.026,7800
81,2.207,8400
82,2.426,8500
83,2.116,8600
84,2.031,8600
85,1.643,6300
86,1.506,8900
87,1.069,8900
88,0.808,9400
89,0.603,6400
90,0.402,6400
91,0.246,6500
92,0.032,6400
93,0.028,100
94,0.028,100
95,0.028,100
96,0.028,100
97,0.028,100
98,0.492,100
99,0.492,100
100,0.492,100
101,0.492,100
102,0.951,100
103,0.951,100
104,0.951,100
105,0.951,100
106,0.951,100
107,1.409,100
108,1.409,100
109,1.409,100
110,1.409,100
111,1.701,100
112,1.701,100
113,1.701,100
114,1.701,100
115,1.701,100
116,1.632,100
117,1.632,100
118,1.632,100
119,1.632,100
120,1.632,100
121,1.437,100
122,1.437,100
123,1.437,100
124,1.437,100
125,1.437,100
126,1.088,100
127,1.088,100
128,1.088,100
129,1.374,100
130,1.521,1600
131,1.796,1600
132,1.988,1600
133,1.857,1600
134,1.725,1500
135,1.708,1500
136,2.014,1500
137,2.164,1500
138,2.058,1500
139,1.974,1500
140,1.987,1500
141,2.045,1500
142,2.130,1500
143,2.241,1600
144,2.362,1500
145,2.576,1500
146,2.762,1500
147,3.014,1500
148,3.358,1500
149,3.536,1500
150,3.449,1500
151,3.189,1500
152,3.092,1500
153,2.992,1500
154,3.155,1600
155,3.131,1600
156,3.271,1800
157,3.520,1800
158,3.563,1800
159,3.562,1800
160,3.522,1800
161,3.469,1800
162,3.347,1800
163,3.259,1800
164,3.243,1800
165,3.261,1800
166,3.272,1800
167,3.294,1800
168,3.450,1800
169,3.599,1800
170,3.728,1800
171,3.801,1800
172,3.994,1800
173,4.123,1800
174,4.072,1800
175,4.169,100
176,4.245,1900
177,4.265,2400
178,4.511,2400
179,4.379,2500
180,4.881,100
181,4.881,100
182,4.881,100
183,4.881,100
184,5.381,100
185,5.381,100
