# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 赤城大沼 (緯度36.552714, 経度139.178721, 観測者標高1345.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,6.670,1000
1,6.876,800
2,7.250,800
3,7.521,800
4,7.462,800
5,7.359,800
6,7.252,800
7,7.106,800
8,6.930,800
9,6.583,800
10,6.522,800
11,6.295,800
12,5.974,900
13,6.044,900
14,6.175,900
15,6.482,800
16,7.167,800
17,7.429,800
18,7.659,800
19,7.755,800
20,7.461,800
21,7.475,800
22,7.121,800
23,7.080,800
24,7.261,800
25,7.059,800
26,7.352,2200
27,7.376,2200
28,6.714,2200
29,6.922,2100
30,7.642,1900
31,8.263,1800
32,8.647,1800
33,8.326,1800
34,8.341,1700
35,8.479,1700
36,8.419,1700
37,8.575,1700
38,9.052,1700
39,9.345,1700
40,9.756,1700
41,9.936,1700
42,10.177,1700
43,10.403,1700
44,10.972,1600
45,11.474,1600
46,12.070,1600
47,12.474,1600
48,12.996,1600
49,13.709,1400
50,14.070,1400
51,14.403,1700
52,14.917,1700
53,15.379,1600
54,16.004,1600
55,16.458,1600
56,16.539,1500
57,16.884,1500
58,17.118,1500
59,17.202,1500
60,17.440,1500
61,17.429,1500
62,17.303,1500
63,17.104,1500
64,16.824,1500
65,16.452,1500
66,16.061,1500
67,15.621,1500
68,15.065,1500
69,14.226,1500
70,13.619,1500
71,13.039,1500
72,12.955,1400
73,12.608,1400
74,11.947,1400
75,11.653,1300
76,12.060,1300
77,12.476,1300
78,12.707,1300
79,12.686,1300
80,12.568,1300
81,12.167,1300
82,12.392,1200
83,12.648,1200
84,13.027,1200
85,13.351,1200
86,13.214,1200
87,12.935,1200
88,12.754,1200
89,12.498,1300
90,12.702,1300
91,12.586,1300
92,12.532,1300
93,12.517,1300
94,13.132,1400
95,13.456,1400
96,13.234,1400
97,12.762,1400
98,12.448,1300
99,12.592,1300
100,12.757,1300
101,12.678,1300
102,12.861,1300
103,13.035,1300
104,13.324,1300
105,13.393,1300
106,13.118,1300
107,12.826,1300
108,12.637,1300
109,12.454,1300
110,12.106,1300
111,11.478,1300
112,10.999,1300
113,10.697,1300
114,10.521,1300
115,10.041,1300
116,9.652,1300
117,9.014,1300
118,8.208,1300
119,7.641,1300
120,6.988,1300
121,6.484,1300
122,5.653,1300
123,5.062,1300
124,4.370,1300
125,3.921,1300
126,3.142,1300
127,2.685,1800
128,2.509,1800
129,2.279,1800
130,2.263,1800
131,2.081,1800
132,2.018,1900
133,1.374,1800
134,1.313,1800
135,1.430,1800
136,1.474,1800
137,1.641,1800
138,2.129,1800
139,2.705,1900
140,3.179,1900
141,3.752,1900
142,4.348,1900
143,4.816,1900
144,5.487,1900
145,5.961,1900
146,6.537,1900
147,6.736,1900
148,6.765,1900
149,6.703,1900
150,6.399,1900
151,6.027,1900
152,5.603,1900
153,5.191,1800
154,5.268,2300
155,4.948,2300
156,5.372,2400
157,5.247,2400
158,4.946,2400
159,4.694,2400
160,4.681,1700
161,5.168,1100
162,5.820,1100
163,6.199,1100
164,6.612,1100
165,7.218,1100
166,7.636,1100
167,8.203,1100
168,8.637,1100
169,9.091,1100
170,9.328,1100
171,9.646,1100
172,9.894,1100
173,10.209,1100
174,10.621,800
175,11.063,800
176,11.495,800
177,11.771,800
178,12.327,800
179,12.718,800
180,13.018,800
181,13.099,800
182,13.157,1300
183,13.532,1300
184,13.927,900
185,14.309,900
186,14.665,900
187,15.034,1000
188,14.953,1000
189,14.929,900
190,14.816,900
191,14.261,900
192,13.923,900
193,13.544,900
194,12.795,900
195,12.369,900
196,11.786,900
197,11.276,1200
198,11.147,1200
199,10.980,1200
200,10.799,1200
201,10.586,1200
202,10.320,1200
203,9.926,1200
204,9.723,1100
205,9.679,1100
206,9.500,1100
207,9.259,1000
208,9.201,1000
209,8.914,1000
210,8.533,1000
211,8.181,1000
212,7.587,1000
213,7.328,1100
214,7.151,1100
215,7.022,1100
216,6.891,1000
217,7.035,1000
218,7.105,1000
219,6.870,1000
220,6.681,1000
221,6.520,1000
222,6.223,1000
223,5.969,1000
224,5.866,1000
225,5.866,900
226,5.962,900
227,6.093,900
228,6.249,900
229,6.294,900
230,6.107,900
231,5.683,900
232,5.146,900
233,5.113,800
234,4.963,800
235,4.823,800
236,4.971,1000
237,5.295,1000
238,5.508,1000
239,5.683,1000
240,5.809,1000
241,5.906,1000
242,6.177,900
243,6.364,900
244,6.412,900
245,6.422,900
246,6.227,900
247,6.073,900
248,5.918,900
249,5.892,900
250,5.861,900
251,6.207,1600
252,6.529,1600
253,6.360,1600
254,5.842,1600
255,5.932,1600
256,6.245,1600
257,6.364,1600
258,6.388,1700
259,6.862,1700
260,6.636,1700
261,6.580,1700
262,6.251,1700
263,5.446,1700
264,5.332,900
265,5.379,800
266,5.546,800
267,5.704,800
268,5.773,800
269,5.883,800
270,5.944,800
271,5.990,800
272,6.004,800
273,5.956,800
274,5.895,800
275,5.692,800
276,5.244,800
277,4.847,800
278,4.607,900
279,4.437,800
280,4.187,900
281,3.944,900
282,3.620,900
283,3.230,900
284,2.878,800
285,2.277,800
286,2.406,1400
287,2.815,1400
288,3.258,1400
289,3.746,1400
290,4.193,1400
291,4.629,1400
292,4.642,1400
293,4.413,1400
294,4.539,1400
295,4.636,1400
296,4.505,1400
297,4.621,1400
298,4.623,1400
299,4.572,1400
300,4.329,1400
301,4.790,1300
302,4.964,1300
303,5.170,1300
304,5.014,1300
305,5.121,1200
306,4.948,1200
307,5.091,1300
308,4.898,1300
309,4.766,1200
310,4.907,1200
311,4.921,1200
