# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 新坂平駐車場 (緯度36.54164, 経度139.167629, 観測者標高1425.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.148,100
1,3.148,100
2,3.148,100
3,4.009,100
4,4.009,100
5,4.009,100
6,4.009,100
7,4.152,100
8,5.000,100
9,5.000,100
10,5.000,100
11,5.000,100
12,5.761,100
13,5.761,100
14,5.761,100
15,5.761,100
16,5.761,100
17,6.322,100
18,6.322,100
19,6.322,100
20,6.322,100
21,6.628,100
22,6.628,100
23,6.628,100
24,5.585,100
25,5.585,100
26,5.585,100
27,5.585,100
28,5.585,100
29,5.585,100
30,5.585,100
31,5.284,100
32,5.284,100
33,4.952,200
34,4.952,200
35,5.236,200
36,5.236,200
37,5.659,200
38,5.659,200
39,5.659,200
40,5.922,200
41,6.073,200
42,6.073,200
43,6.350,200
44,6.497,200
45,6.497,200
46,6.766,200
47,7.006,3200
48,7.292,3100
49,7.206,3000
50,7.247,3000
51,7.136,200
52,7.136,200
53,7.324,200
54,7.359,400
55,7.841,600
56,8.143,600
57,8.266,600
58,8.472,600
59,8.650,600
60,8.790,600
61,8.952,600
62,9.172,500
63,9.735,500
64,9.913,500
65,10.350,500
66,10.561,500
67,11.067,500
68,11.246,500
69,11.695,500
70,11.822,500
71,11.913,500
72,12.285,500
73,12.345,500
74,12.392,500
75,12.842,500
76,12.948,600
77,13.139,600
78,13.331,600
79,13.717,600
80,13.959,600
81,14.215,600
82,14.507,600
83,14.550,600
84,14.779,600
85,14.910,600
86,14.983,600
87,15.058,600
88,15.282,600
89,15.440,600
90,15.579,700
91,16.103,700
92,16.626,700
93,16.882,700
94,17.388,700
95,17.588,700
96,17.678,700
97,17.802,700
98,17.833,700
99,17.853,700
100,17.852,700
101,17.689,700
102,17.779,700
103,17.844,700
104,17.770,700
105,17.776,700
106,17.512,700
107,17.435,700
108,17.272,700
109,16.978,700
110,16.602,700
111,16.550,700
112,16.158,700
113,16.060,700
114,15.695,800
115,15.633,800
116,15.801,700
117,15.802,700
118,15.785,700
119,16.084,700
120,16.010,700
121,16.008,700
122,15.838,700
123,15.615,700
124,15.336,700
125,15.208,700
126,14.841,700
127,14.044,700
128,13.381,700
129,12.905,600
130,12.852,600
131,12.804,600
132,12.607,600
133,11.996,600
134,11.257,600
135,10.486,600
136,9.655,600
137,8.692,600
138,7.777,600
139,6.809,600
140,5.708,600
141,5.247,600
142,4.564,600
143,3.805,600
144,2.949,600
145,2.030,600
146,1.626,600
147,0.784,500
148,0.413,1000
149,0.407,1000
150,0.428,1000
151,0.210,1000
152,0.197,2100
153,-0.072,2100
154,-0.149,2000
155,-0.169,2000
156,-0.194,2000
157,-0.443,1900
158,-0.204,1900
159,-0.160,1900
160,-0.241,1900
161,-0.146,1800
162,-0.174,1800
163,-0.458,1800
164,-0.717,1700
165,-0.806,1700
166,-0.569,1600
167,-0.338,900
168,-0.128,1100
169,0.329,1300
170,0.907,1300
171,1.566,1400
172,1.976,1400
173,2.202,1400
174,2.258,1400
175,2.107,1400
176,1.683,1400
177,1.696,1500
178,1.471,1500
179,1.588,1600
180,1.701,1600
181,1.806,2100
182,2.382,2000
183,2.763,1900
184,3.289,1900
185,3.999,1800
186,4.487,1800
187,4.165,1800
188,3.730,1800
189,3.428,1800
190,3.211,1800
191,2.598,1800
192,2.091,1800
193,1.671,1800
194,1.363,1900
195,0.998,1900
196,0.471,2000
197,0.062,2100
198,-0.324,2100
199,-0.733,2100
200,-0.952,47000
201,-0.712,47300
202,-0.460,400
203,-0.460,400
204,-0.086,400
205,0.285,400
206,0.733,400
207,1.025,400
208,1.230,400
209,1.426,400
210,1.595,400
211,1.878,400
212,1.751,400
213,1.954,400
214,1.632,400
215,1.259,300
216,1.719,300
217,2.335,300
218,2.007,300
219,2.619,300
220,2.619,300
221,2.840,300
222,2.840,300
223,3.017,300
224,3.017,300
225,3.215,300
226,3.215,300
227,3.451,300
228,3.451,300
229,3.697,300
230,3.697,300
231,3.217,300
232,3.938,300
233,3.438,300
234,4.132,300
235,3.725,300
236,3.330,300
237,4.068,300
238,3.763,300
239,4.468,300
240,4.199,300
241,4.011,300
242,4.688,300
243,4.539,300
244,4.539,300
245,4.406,300
246,4.833,300
247,4.833,300
248,4.615,300
249,5.077,300
250,4.897,300
251,4.605,300
252,4.605,300
253,4.235,300
254,4.258,300
255,4.258,300
256,3.710,300
257,3.880,400
258,4.102,400
259,4.350,400
260,4.350,400
261,4.571,400
262,4.976,400
263,5.441,400
264,5.990,400
265,6.226,400
266,6.325,400
267,6.310,400
268,6.259,400
269,6.179,400
270,6.046,400
271,6.046,400
272,5.893,400
273,5.723,400
274,5.550,400
275,5.404,400
276,5.380,400
277,5.431,400
278,5.549,400
279,5.581,400
280,5.074,400
281,5.074,400
282,4.975,400
283,4.848,400
284,4.963,500
285,5.102,500
286,5.392,500
287,5.701,500
288,5.850,500
289,6.008,500
290,6.273,500
291,6.378,500
292,6.464,500
293,6.540,500
294,6.640,500
295,6.556,500
296,6.597,500
297,6.299,500
298,6.331,500
299,5.896,500
300,5.498,500
301,5.534,500
302,5.191,500
303,5.232,500
304,4.912,500
305,5.185,600
306,5.472,600
307,5.416,600
308,5.337,600
309,4.995,600
310,4.519,600
311,4.580,800
312,4.965,700
313,5.267,700
314,5.268,700
