# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 秩父ミューズパーク (緯度36.001249, 経度139.064806, 観測者標高286.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.194,1000
1,4.126,1000
2,3.926,1100
3,3.824,1100
4,3.582,1200
5,3.604,1200
6,3.556,1200
7,3.350,1200
8,3.273,1300
9,3.011,1300
10,2.805,100
11,2.805,100
12,2.668,100
13,2.668,100
14,2.668,100
15,2.668,100
16,2.668,100
17,2.325,100
18,2.325,100
19,2.153,100
20,2.153,100
21,1.031,100
22,1.031,100
23,1.031,100
24,1.031,100
25,1.031,100
26,0.578,14600
27,0.841,14500
28,0.902,14200
29,0.960,8400
30,1.247,8300
31,1.398,8200
32,1.782,7900
33,1.914,7900
34,2.024,7700
35,2.144,7600
36,2.073,7500
37,1.962,7500
38,1.783,7600
39,1.537,12400
40,1.640,12400
41,1.450,12300
42,1.680,12200
43,1.540,12000
44,1.656,7100
45,1.757,11600
46,1.866,11500
47,1.775,11500
48,1.832,11300
49,1.783,10900
50,1.615,10900
51,1.605,10900
52,1.636,10700
53,1.624,10600
54,1.680,10500
55,1.601,10000
56,1.688,10000
57,1.742,9900
58,1.857,8800
59,1.590,9700
60,1.532,9400
61,1.667,9300
62,2.020,9300
63,2.319,9200
64,2.599,9200
65,2.550,9100
66,2.928,9000
67,2.847,9000
68,2.635,8900
69,2.796,8700
70,2.768,8400
71,2.539,8500
72,2.619,8400
73,2.385,8300
74,2.188,8400
75,1.997,8500
76,1.978,8500
77,1.976,8600
78,2.118,10900
79,2.444,11200
80,2.606,8800
81,2.461,8900
82,2.659,7000
83,2.968,7100
84,2.948,7200
85,2.902,7200
86,3.015,7200
87,3.287,7300
88,3.548,7200
89,3.843,7200
90,3.908,7300
91,4.176,7300
92,4.208,7300
93,4.476,7300
94,4.382,8000
95,4.261,8100
96,4.230,8200
97,4.347,8300
98,4.120,7900
