# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 堂平天文台 (緯度36.006079, 経度139.190388, 観測者標高870.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.790,50000
1,-0.786,50000
2,-0.777,50000
3,-0.793,50000
4,-0.777,50000
5,-0.765,50000
6,-0.754,50000
7,-0.722,50000
8,-0.797,49800
9,-0.961,49800
10,-0.849,49700
11,-0.766,49700
12,-0.889,49900
13,-0.855,49100
14,-0.867,48100
15,-0.697,48800
16,-0.790,50000
17,-0.967,49300
18,-0.881,49700
19,-0.889,50000
20,-0.759,49300
21,-0.641,49800
22,-0.722,50000
23,-0.657,48300
24,-0.630,48900
25,-0.773,48800
26,-0.960,48800
27,-0.894,49300
28,-0.731,47200
29,-0.863,49400
30,-0.903,49900
31,-0.930,48900
32,-1.031,50000
33,-0.998,49900
34,-1.006,50000
35,-0.906,49900
36,-0.844,49200
37,-0.914,46000
38,-0.928,46800
39,-0.921,46600
40,-1.065,47400
41,-1.142,50000
42,-1.144,50000
43,-1.147,50000
44,-1.149,50000
45,-1.149,49400
46,-1.152,50000
47,-1.159,50000
48,-1.165,50000
49,-1.172,50000
50,-1.170,50000
51,-1.167,50000
52,-1.165,50000
53,-1.166,50000
54,-1.170,50000
55,-1.170,50000
56,-1.168,50000
57,-1.174,50000
58,-1.175,50000
59,-1.175,50000
60,-1.176,50000
61,-1.176,50000
62,-1.176,50000
63,-1.176,50000
64,-1.176,50000
65,-1.176,50000
66,-1.176,50000
67,-1.176,50000
68,-1.176,50000
69,-1.176,50000
70,-1.176,50000
71,-1.176,50000
72,-1.176,50000
73,-1.178,50000
74,-1.179,50000
75,-1.180,50000
76,-1.180,50000
77,-1.181,50000
78,-1.181,50000
79,-1.179,50000
80,-1.182,50000
81,-1.183,50000
82,-1.184,50000
83,-1.185,50000
84,-1.185,50000
85,-1.186,50000
86,-1.187,50000
87,-1.185,50000
88,-1.184,50000
89,-1.185,50000
90,-1.183,50000
91,-1.182,50000
92,-1.184,50000
93,-1.182,50000
94,-1.187,50000
95,-1.186,50000
96,-1.187,50000
97,-1.187,50000
98,-1.187,50000
99,-1.185,50000
100,-1.184,50000
101,-1.184,50000
102,-1.182,50000
103,-1.187,50000
104,-1.184,50000
105,-1.182,50000
106,-1.182,50000
107,-1.187,50000
108,-1.183,50000
109,-1.186,50000
110,-1.189,50000
111,-1.189,50000
112,-1.188,50000
113,-1.188,50000
114,-1.189,50000
115,-1.190,50000
116,-1.190,50000
117,-1.190,50000
118,-1.189,50000
119,-1.188,50000
120,-1.182,50000
121,-1.171,49800
122,-1.159,50000
123,-1.153,50000
124,-1.152,50000
125,-1.154,50000
126,-1.147,50000
127,-1.146,50000
128,-1.142,50000
129,-1.142,50000
130,-1.141,50000
131,-1.141,50000
132,-1.135,50000
133,-1.133,50000
134,-1.137,50000
135,-1.131,50000
136,-1.134,50000
137,-1.136,50000
138,-1.134,50000
139,-1.136,50000
140,-1.149,50000
141,-1.150,50000
142,-1.158,50000
143,-1.160,50000
144,-1.154,50000
145,-1.152,49900
146,-1.063,50000
147,-1.064,48400
148,-1.039,48500
149,-1.042,48400
150,-1.064,49000
