# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 羊山公園 (緯度35.986886, 経度139.089827, 観測者標高264.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.155,300
1,3.038,300
2,2.888,300
3,2.888,300
4,2.598,300
5,2.173,300
6,2.177,400
7,2.190,400
8,2.203,400
9,2.213,400
10,2.226,400
11,2.228,400
12,2.225,400
13,2.206,400
14,2.193,400
15,2.179,400
16,2.176,400
17,2.166,400
18,2.166,400
19,2.100,400
20,2.036,400
21,1.934,400
22,1.760,7200
23,1.518,7300
24,2.508,100
25,2.508,100
26,2.508,100
27,2.508,100
28,4.255,100
29,4.255,100
30,4.255,100
31,6.418,100
32,6.418,100
33,6.418,100
34,8.609,100
35,8.609,100
36,8.609,100
37,8.609,100
38,8.609,100
39,9.419,100
40,9.419,100
41,9.419,100
42,9.419,100
43,9.419,100
44,9.419,100
45,9.815,100
46,9.709,100
47,9.709,100
48,9.709,100
49,9.709,100
50,9.709,100
51,9.709,100
52,10.176,100
53,10.176,100
54,10.176,100
55,10.176,100
56,10.176,100
57,10.159,100
58,10.159,100
59,10.752,100
60,10.752,100
61,10.752,100
62,10.752,100
63,10.752,100
64,10.752,100
65,10.752,100
66,10.752,100
67,10.763,100
68,10.763,100
69,10.763,100
70,11.304,100
71,11.304,100
72,11.475,100
73,11.475,100
74,11.475,100
75,11.475,100
76,11.772,100
77,11.772,100
78,11.772,100
79,11.772,100
80,11.772,100
81,12.057,100
82,12.057,100
83,12.057,100
84,12.057,100
85,12.325,100
86,12.325,100
87,12.325,100
88,12.325,100
89,12.325,100
90,12.549,100
91,12.549,100
92,12.549,100
93,12.549,100
94,12.931,100
95,12.931,100
96,12.931,100
97,12.931,100
98,12.931,100
99,13.382,100
100,13.382,100
101,13.382,100
102,13.382,100
103,13.696,100
104,13.696,100
105,13.696,100
106,13.696,100
107,13.696,100
108,13.923,100
109,13.923,100
110,13.923,100
111,13.452,100
112,13.750,100
113,13.750,100
114,13.750,100
115,13.750,100
116,13.750,100
117,13.815,100
118,13.815,100
119,13.815,100
120,13.815,100
121,13.815,100
122,12.418,100
123,12.418,100
124,12.418,100
125,12.418,100
126,12.418,100
127,12.418,100
128,11.920,100
129,9.720,100
130,9.720,100
131,9.720,100
132,9.720,100
133,9.720,100
134,9.386,100
135,9.386,100
136,7.626,100
137,7.626,100
138,7.626,100
139,7.626,100
140,8.373,100
141,8.373,100
142,7.542,100
143,7.542,100
144,7.542,100
145,7.542,100
146,7.542,100
147,6.955,100
148,7.011,200
149,7.011,200
150,7.082,200
151,7.082,200
152,7.144,200
153,7.144,200
154,7.606,4100
155,8.990,4100
156,10.141,4000
157,10.542,4000
158,11.013,3700
159,11.451,3700
160,11.324,3800
161,11.582,3700
162,11.818,3600
163,11.898,3600
164,12.169,4100
165,12.482,4100
166,12.646,4000
167,13.059,4000
168,13.550,4000
169,14.185,4000
170,14.360,4000
171,14.036,3900
172,13.848,3900
173,13.658,3800
174,13.103,3700
175,13.200,3700
176,13.072,3400
177,12.900,3600
178,12.924,3400
179,12.766,3400
180,12.432,3400
181,12.414,3400
182,12.226,3400
183,11.818,3400
184,11.593,3300
185,10.972,3400
186,10.700,3300
187,10.476,3300
188,9.887,3300
189,9.054,3400
190,8.575,3400
191,8.392,3400
192,7.953,5300
193,7.576,3100
194,7.138,5000
195,7.186,5000
196,6.940,3400
197,6.913,3400
198,6.930,3400
199,6.969,3400
200,6.865,3400
201,6.889,10900
202,6.530,3500
203,6.695,100
204,6.695,100
205,6.584,11800
206,6.492,100
207,6.492,100
208,8.222,100
209,8.222,100
210,8.222,100
211,8.222,100
212,8.222,100
213,8.676,100
214,8.177,100
215,8.177,100
216,8.177,100
217,8.177,100
218,8.127,100
219,8.127,100
220,8.127,100
221,7.339,100
222,7.339,100
223,7.339,100
224,6.905,100
225,6.905,100
226,6.905,100
227,5.960,100
228,5.960,100
229,5.960,100
230,5.960,100
231,5.521,11300
232,5.779,11300
233,5.429,11300
234,5.178,11400
235,5.133,200
236,5.256,200
237,5.256,200
238,5.315,200
239,5.213,200
240,5.213,200
241,5.194,100
242,5.194,100
243,5.194,100
244,5.852,100
245,5.852,100
246,5.852,100
247,5.852,100
248,7.017,100
249,7.756,100
250,7.756,100
251,7.756,100
252,7.756,100
253,8.329,100
254,8.329,100
255,8.329,100
256,8.329,100
257,8.329,100
258,8.738,100
259,8.738,100
260,8.738,100
261,8.738,100
262,8.889,100
263,8.889,100
264,8.889,100
265,8.889,100
266,8.889,100
267,8.978,100
268,8.978,100
269,8.978,100
270,8.978,100
271,9.045,100
272,9.045,100
273,9.045,100
274,9.045,100
275,9.045,100
276,9.023,100
277,9.023,100
278,9.023,100
279,9.023,100
280,8.967,100
281,8.967,100
282,8.967,100
283,8.967,100
284,8.967,100
285,8.889,100
286,8.889,100
287,8.889,100
288,8.889,100
289,8.810,100
290,8.810,100
291,8.810,100
292,8.810,100
293,8.631,100
294,8.480,100
295,8.480,100
296,8.480,100
297,8.480,100
298,8.480,100
299,8.329,100
300,8.329,100
301,8.329,100
302,8.329,100
303,6.967,100
304,6.379,100
305,6.379,100
306,6.379,100
307,6.379,100
308,6.379,100
309,5.886,100
310,4.146,100
311,4.146,100
312,4.146,100
313,4.146,100
314,4.146,100
315,3.907,100
316,3.907,100
317,2.639,100
318,2.639,100
319,2.639,100
320,2.639,100
321,2.639,100
322,2.576,100
323,2.253,22600
324,2.270,14800
325,2.447,13400
326,2.528,13800
327,2.568,14600
328,2.624,14500
329,2.948,14400
330,2.700,14300
331,2.730,14200
332,2.850,13800
333,2.635,14000
334,2.287,14000
335,2.219,13900
336,2.128,13800
337,2.066,13700
338,2.204,13400
339,2.253,13600
340,2.219,13700
341,2.084,13800
342,1.895,200
343,1.838,200
344,1.838,200
345,1.786,13200
346,1.738,200
347,1.686,12800
348,1.564,12700
349,1.562,12400
350,1.362,12800
351,1.104,12800
352,0.742,15000
353,1.502,300
354,1.502,300
355,2.451,300
356,2.995,300
357,2.995,300
358,3.202,300
359,3.155,300
