# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 中間平緑地公園 (緯度36.101522, 経度139.16172, 観測者標高355.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,2.767,200
1,2.310,200
2,2.310,200
3,2.310,200
4,1.823,200
5,1.823,200
6,1.271,200
7,1.271,200
8,0.586,200
9,0.586,200
10,0.360,49600
11,0.350,50000
12,0.181,50000
13,0.016,49500
14,0.099,44800
15,0.117,50000
16,0.180,46500
17,0.269,46900
18,0.277,47900
19,0.398,49300
20,0.492,49400
21,0.616,49000
22,0.555,47500
23,0.494,46300
24,0.404,49400
25,0.284,50000
26,0.125,48200
27,0.065,47900
28,0.124,50000
29,0.167,49700
30,0.229,43000
31,0.098,44500
32,0.129,44500
33,0.035,45000
34,0.088,45800
35,0.027,45900
36,0.028,49600
37,-0.046,45800
38,-0.052,49700
39,-0.060,39300
40,-0.005,49700
41,-0.146,50000
42,-0.166,49200
43,-0.221,48900
44,-0.180,44100
45,-0.182,45000
46,-0.234,48300
47,-0.246,43000
48,-0.305,41700
49,-0.304,40000
50,-0.329,41000
51,-0.257,41000
52,-0.407,39900
53,-0.420,49800
54,-0.285,49400
55,-0.377,49400
56,-0.420,48800
57,-0.526,48600
58,-0.464,48600
59,-0.574,50000
60,-0.416,48600
61,-0.458,47800
62,-0.474,47400
63,-0.574,50000
64,-0.574,50000
65,-0.575,50000
66,-0.573,50000
67,-0.574,50000
68,-0.580,49800
69,-0.584,49800
70,-0.582,49800
71,-0.582,50000
72,-0.582,49600
73,-0.581,49300
74,-0.582,49700
75,-0.583,49500
76,-0.580,49900
77,-0.581,50000
78,-0.582,50000
79,-0.583,50000
80,-0.586,50000
81,-0.584,50000
82,-0.586,50000
83,-0.586,50000
84,-0.588,50000
85,-0.590,50000
86,-0.586,49900
87,-0.592,49500
88,-0.591,50000
89,-0.591,50000
90,-0.592,50000
91,-0.592,50000
92,-0.592,50000
93,-0.593,50000
94,-0.593,50000
95,-0.594,50000
96,-0.594,50000
97,-0.593,49200
98,-0.589,50000
99,-0.592,50000
100,-0.593,50000
101,-0.593,50000
102,-0.592,49700
103,-0.592,49400
104,-0.591,50000
105,-0.586,50000
106,-0.594,50000
107,-0.594,49300
108,-0.591,49900
109,-0.590,50000
110,-0.593,50000
111,-0.590,48500
112,-0.591,49700
113,-0.591,50000
114,-0.592,50000
115,-0.586,50000
116,-0.589,49200
117,-0.596,50000
118,-0.592,50000
119,-0.591,49300
120,-0.588,49700
121,-0.583,12000
122,-0.550,12100
123,-0.495,11800
124,-0.351,11900
125,-0.527,11900
126,-0.449,13500
127,-0.452,13400
128,-0.422,7400
129,-0.254,7400
130,-0.277,7200
131,-0.249,6100
132,0.017,6400
133,0.109,6100
134,0.291,6000
135,0.329,5300
136,0.562,5300
137,0.608,5200
138,0.436,5200
139,0.305,5200
140,0.146,12300
141,0.039,4700
142,0.014,4700
143,-0.085,4700
144,0.048,14500
145,0.147,14400
146,-0.036,3400
147,0.143,11100
148,0.245,11200
149,0.279,8400
150,0.387,11400
151,0.383,11500
152,0.455,10900
153,0.566,11300
154,0.882,11100
155,0.742,11200
156,0.930,8000
157,0.915,7900
158,1.077,1300
159,1.284,1300
160,1.405,1300
161,1.808,9800
162,2.158,10000
163,2.205,9500
164,2.474,9500
165,2.640,9500
166,2.655,1400
167,2.991,1300
168,3.357,1300
169,3.666,1300
170,3.929,1300
171,3.888,1300
172,4.043,1300
173,4.691,1200
174,5.487,1200
175,5.985,1200
176,6.293,1200
177,6.213,1200
178,6.313,1200
179,6.430,1200
180,6.545,1200
181,6.581,1200
182,6.602,1200
183,6.638,1100
184,6.718,1100
185,6.942,1100
186,7.231,1100
187,7.328,1100
188,7.285,1100
189,7.396,1100
190,7.602,1100
191,7.548,1100
192,7.700,1100
193,7.735,2200
194,7.924,2200
195,7.994,1100
196,8.230,1100
197,8.801,1100
198,9.013,1100
199,9.183,1100
200,9.263,1100
201,9.347,1100
202,9.322,1000
203,9.561,1000
204,9.423,1800
205,9.344,1800
206,9.094,1800
207,9.114,1400
208,9.529,1400
209,9.756,1400
210,9.886,1400
211,9.869,1400
212,9.859,1500
213,9.348,1600
214,9.298,400
215,9.138,400
216,9.138,400
217,8.902,400
218,8.130,400
219,7.529,400
220,7.535,300
221,7.652,300
222,8.686,300
223,8.692,300
224,9.530,300
225,9.439,300
226,10.060,300
227,9.790,300
228,9.745,300
229,9.470,300
230,10.225,200
231,10.561,200
232,10.561,200
233,11.834,200
234,11.834,200
235,11.834,200
236,11.939,200
237,12.857,200
238,12.857,200
239,12.813,200
240,12.813,200
241,13.294,200
242,13.294,200
243,13.294,200
244,12.930,200
245,12.930,200
246,12.166,200
247,12.166,200
248,12.166,200
249,11.317,200
250,11.317,200
251,10.494,200
252,10.470,100
253,10.470,100
254,10.331,100
255,10.331,100
256,11.050,100
257,11.050,100
258,11.050,100
259,10.918,100
260,10.918,100
261,10.918,100
262,10.918,100
263,10.874,100
264,10.874,100
265,10.874,100
266,10.874,100
267,10.874,100
268,10.774,100
269,10.774,100
270,10.774,100
271,10.774,100
272,10.326,100
273,10.326,100
274,10.326,100
275,10.326,100
276,9.714,100
277,9.714,100
278,9.714,100
279,9.714,100
280,9.714,100
281,8.989,100
282,8.989,100
283,8.989,100
