# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 栃本広場 (緯度35.94873, 経度138.864324, 観測者標高986.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,11.128,100
1,11.128,100
2,11.321,100
3,11.321,100
4,11.321,100
5,11.321,100
6,11.321,100
7,11.337,100
8,11.337,100
9,11.337,100
10,11.337,100
11,11.265,100
12,11.265,100
13,11.265,100
14,11.265,100
15,11.265,100
16,11.387,100
17,13.852,100
18,13.852,100
19,13.852,100
20,14.332,100
21,14.332,100
22,14.332,100
23,14.332,100
24,14.332,100
25,14.842,100
26,14.842,100
27,14.842,100
28,14.842,100
29,16.967,100
30,17.213,100
31,17.213,100
32,17.213,100
33,17.213,100
34,17.213,100
35,17.160,100
36,17.160,100
37,18.490,100
38,18.490,100
39,18.490,100
40,18.490,100
41,18.366,100
42,18.366,100
43,18.366,100
44,19.014,100
45,19.014,100
46,19.014,100
47,18.916,100
48,18.916,100
49,18.916,100
50,18.911,100
51,18.911,100
52,18.911,100
53,18.911,100
54,18.783,100
55,18.783,100
56,17.999,100
57,17.999,100
58,17.999,100
59,17.999,100
60,17.999,100
61,16.741,100
62,16.636,100
63,16.636,100
64,16.636,100
65,16.636,100
66,15.045,100
67,15.045,100
68,15.045,100
69,15.045,100
70,15.045,100
71,12.620,100
72,12.620,100
73,12.620,100
74,12.882,100
75,10.486,200
76,11.213,200
77,11.213,200
78,10.995,200
79,10.995,200
80,10.832,200
81,10.444,200
82,10.444,200
83,9.775,200
84,9.775,200
85,8.818,200
86,8.818,200
87,7.705,200
88,7.705,200
89,7.705,200
90,6.438,200
91,6.438,200
92,6.727,600
93,6.690,600
94,6.513,600
95,6.238,600
96,6.046,600
97,5.573,600
98,5.083,500
99,4.697,500
100,4.278,500
101,3.843,500
102,3.164,500
103,2.602,700
104,2.035,800
105,1.886,12300
106,1.726,12300
107,1.952,12500
108,1.926,12800
109,1.863,13300
110,1.943,17500
111,2.239,14100
112,2.611,15200
113,2.662,14500
114,2.716,14300
115,2.481,14300
116,2.290,14300
117,2.288,8000
118,2.422,14400
119,2.593,14300
120,2.920,9600
121,2.866,13900
122,3.044,9500
123,3.119,9500
124,3.154,9400
125,3.333,12500
126,3.294,3200
127,3.679,3200
128,4.260,3100
129,5.023,3100
130,5.430,3100
131,6.101,3100
132,6.639,3100
133,6.899,3100
134,6.914,3100
135,7.002,3100
136,7.184,3100
137,7.655,3100
138,8.056,3100
139,8.078,3100
140,8.556,3100
141,8.858,3100
142,9.106,3200
143,9.313,3200
144,9.137,3200
145,8.844,3300
146,9.141,3400
147,9.447,3500
148,9.730,3600
149,9.900,3600
150,10.132,3600
151,9.931,3600
152,9.723,3700
153,9.637,3700
154,9.321,3800
155,8.620,3900
156,8.553,5600
157,8.869,5600
158,8.996,5600
159,9.409,5600
160,9.614,5700
161,9.748,5600
162,10.046,5600
163,10.158,4400
164,9.989,5600
165,10.477,4500
166,10.346,4500
167,10.764,4600
168,11.149,4600
169,11.127,4600
170,11.464,4700
171,11.686,4800
172,11.934,4800
173,11.776,4700
174,12.103,4100
175,12.094,4000
176,12.078,4000
177,11.830,3900
178,11.817,3800
179,11.962,2800
180,12.240,2800
181,12.403,2900
182,12.933,2900
183,13.161,2900
184,12.928,2900
185,12.463,2800
186,12.210,2800
187,11.863,2800
188,11.452,2800
189,10.934,2800
190,10.330,2800
191,10.029,3600
192,10.016,3600
193,9.980,3600
194,9.878,3600
195,9.847,3600
196,9.735,3600
197,9.506,3600
198,9.350,3500
