# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 犬吠埼灯台 (緯度35.707913, 経度140.868526, 観測者標高4.1m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.536,1200
1,0.529,1200
2,0.488,1200
3,0.283,1300
4,0.231,1300
5,0.154,1300
6,0.076,1200
7,0.063,1200
8,0.018,1200
9,-0.007,1200
10,-0.029,1500
11,-0.061,7700
12,-0.061,7700
13,-0.061,7700
14,-0.061,7700
15,-0.061,7700
16,-0.061,7700
17,-0.061,7700
18,-0.061,7700
19,-0.061,7700
20,-0.061,7700
21,-0.061,7700
22,-0.061,7700
23,-0.058,1300
24,-0.061,7700
25,-0.061,7700
26,-0.061,7700
27,-0.061,7700
28,-0.061,7700
29,-0.061,7700
30,-0.061,7700
31,-0.061,7700
32,-0.061,7700
33,-0.061,7700
34,-0.061,7700
35,-0.061,7700
36,-0.061,7700
37,-0.061,7700
38,-0.061,7700
39,-0.061,7700
40,-0.061,7700
41,-0.061,7700
42,-0.061,7700
43,-0.061,7700
44,-0.061,7700
45,-0.061,7700
46,-0.061,7700
47,-0.061,7700
48,-0.061,7700
49,-0.061,7700
50,-0.061,7700
51,-0.061,7700
52,-0.061,7700
53,-0.061,7700
54,-0.061,7700
55,-0.061,7700
56,-0.061,7700
57,-0.061,7700
58,-0.061,7700
59,-0.061,7700
60,-0.061,7700
61,-0.061,7700
62,-0.061,7700
63,-0.061,7700
64,-0.061,7700
65,-0.061,7700
66,-0.061,7700
67,-0.061,7700
68,-0.061,7700
69,-0.061,7700
70,-0.061,7700
71,-0.061,7700
72,-0.061,7700
73,-0.061,7700
74,-0.061,7700
75,-0.061,7700
76,-0.061,7700
77,-0.061,7700
78,-0.061,7700
79,-0.061,7700
80,-0.061,7700
81,-0.061,7700
82,-0.061,7700
83,-0.061,7700
84,-0.061,7700
85,-0.061,7700
86,-0.061,7700
87,-0.061,7700
