# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 九十九里ビーチタワー (緯度35.507509, 経度140.435851, 観測者標高0.2m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正、約16m移動)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.348,500
1,0.348,500
2,0.348,500
3,0.348,500
4,0.348,500
5,0.348,500
6,0.340,600
7,0.340,600
8,0.340,600
9,0.340,600
10,0.340,600
11,0.336,600
12,0.336,600
13,0.336,600
14,0.330,600
15,0.327,600
16,0.320,600
17,0.313,600
18,0.308,600
19,0.295,500
20,0.295,500
21,0.281,500
22,0.266,400
23,0.266,400
24,0.256,400
25,0.256,400
26,0.246,400
27,0.226,400
28,0.210,400
29,0.209,300
30,0.209,300
31,0.196,300
32,0.196,300
33,0.192,300
34,0.180,300
35,0.154,300
36,0.154,300
37,0.121,300
38,0.121,300
39,0.094,300
40,0.094,300
41,0.088,200
42,0.071,200
43,0.071,200
44,0.071,200
45,0.071,200
46,0.054,200
47,0.054,200
48,0.039,200
49,0.031,200
50,0.031,200
51,0.022,200
52,0.008,200
53,0.008,200
54,-0.007,200
55,-0.014,1800
56,-0.014,1800
57,-0.014,1800
58,-0.014,1800
59,-0.014,1800
60,-0.014,1800
61,-0.014,1800
62,-0.014,1800
63,-0.014,1800
64,-0.014,1800
65,-0.014,1800
66,-0.014,1800
67,-0.014,1800
68,-0.014,1800
69,-0.014,1800
70,-0.014,1800
71,-0.014,1800
72,-0.014,1800
73,-0.014,1800
74,-0.014,1800
75,-0.014,1800
76,-0.014,1800
77,-0.014,1800
78,-0.014,1800
79,-0.014,1800
80,-0.014,1800
81,-0.014,1800
82,-0.014,1800
83,-0.014,1800
84,-0.014,1800
85,-0.014,1800
86,-0.014,1800
87,-0.014,1800
88,-0.014,1800
89,-0.014,1800
90,-0.014,1800
91,-0.014,1800
92,-0.014,1800
93,-0.014,1800
94,-0.014,1800
95,-0.014,1800
96,-0.014,1800
97,-0.014,1800
98,-0.014,1800
99,-0.014,1800
100,-0.014,1800
101,-0.014,1800
102,-0.014,1800
103,-0.014,1800
104,-0.014,1800
105,-0.014,1800
106,-0.014,1800
107,-0.014,1800
108,-0.014,1800
109,-0.014,1800
110,-0.014,1800
111,-0.014,1800
112,-0.014,1800
113,-0.014,1800
114,-0.014,1800
115,-0.014,1800
116,-0.014,1800
117,-0.014,1800
118,-0.014,1800
119,-0.014,1800
120,-0.014,1800
121,-0.014,1800
122,-0.014,1800
123,-0.014,1800
124,-0.014,1800
125,-0.014,1800
126,-0.014,1800
127,-0.014,1800
128,-0.014,1800
129,-0.014,1800
130,-0.014,1800
131,-0.014,1800
132,-0.014,1800
133,-0.014,1800
134,-0.014,1800
135,-0.014,1800
136,-0.014,1800
137,-0.014,1800
138,-0.014,1800
139,-0.014,1800
140,-0.014,1800
141,-0.014,1800
142,-0.014,1800
143,-0.014,1800
144,-0.014,1800
145,-0.014,1800
146,-0.014,1800
147,-0.014,1800
148,-0.014,1800
149,-0.014,1800
150,-0.014,1800
151,-0.014,1800
152,-0.014,1800
153,-0.014,1800
154,-0.014,1800
155,-0.014,1800
156,-0.014,1800
157,-0.014,1800
158,-0.014,1800
159,-0.014,1800
160,-0.014,1800
161,-0.014,1800
162,-0.014,1800
163,-0.014,1800
164,-0.014,1800
165,-0.014,1800
166,-0.014,1800
167,-0.014,1800
168,-0.014,1800
169,-0.014,1800
170,-0.014,1800
171,-0.014,1800
172,-0.014,1800
173,-0.014,1800
174,-0.014,1800
175,-0.014,1800
176,-0.014,1800
177,-0.014,1800
178,-0.014,1800
179,-0.014,1800
180,-0.014,1800
181,-0.014,1800
182,-0.014,1800
183,-0.014,1800
184,-0.014,1800
185,0.065,22400
186,0.013,21800
187,0.023,21000
188,0.002,34200
189,-0.005,35400
190,0.024,20300
191,0.051,25900
192,0.048,26400
193,0.058,27200
194,0.060,26900
195,0.056,26800
196,0.095,19100
197,0.114,19100
198,0.102,34200
199,0.124,34100
200,0.117,34800
201,0.168,17800
202,0.171,19000
203,0.185,17900
204,0.179,34900
205,0.155,19800
206,0.181,19000
207,0.145,33700
208,0.167,36600
209,0.185,36200
210,0.194,40400
211,0.219,40600
212,0.224,39200
213,0.278,39000
214,0.276,46200
215,0.231,38500
216,0.245,41700
217,0.261,41000
218,0.260,42200
219,0.265,41600
220,0.214,48100
221,0.263,30300
222,0.294,31700
223,0.239,32300
224,0.233,33600
225,0.206,35300
226,0.179,39900
227,0.194,39200
228,0.155,41300
229,0.153,40300
230,0.126,32700
231,0.129,26600
232,0.280,26500
233,0.231,26200
234,0.253,36400
235,0.192,25700
236,0.168,25100
237,0.175,26800
238,0.168,32900
239,0.154,25000
240,0.176,32800
241,0.152,32700
242,0.139,32900
243,0.146,33000
244,0.129,33000
245,0.104,30800
246,0.141,25300
247,0.242,26500
248,0.222,25100
249,0.188,27100
250,0.154,27000
251,0.280,20900
252,0.345,22000
253,0.271,23000
254,0.293,13500
255,0.270,20100
256,0.331,16700
257,0.319,16500
258,0.281,16500
259,0.330,17500
260,0.299,17600
261,0.331,16700
262,0.333,15900
263,0.342,15800
264,0.336,14600
265,0.332,14700
266,0.350,14400
267,0.345,14500
268,0.334,13900
269,0.327,14100
270,0.344,13700
271,0.311,13900
272,0.279,15200
273,0.351,14000
274,0.345,13900
275,0.352,13900
276,0.343,13800
277,0.347,13800
278,0.330,13500
279,0.351,13500
280,0.330,13600
281,0.336,13400
282,0.316,13900
283,0.294,14000
284,0.319,13800
285,0.314,14000
286,0.326,13600
287,0.324,13200
288,0.327,13200
289,0.328,13000
290,0.312,13000
291,0.304,12900
292,0.275,12900
293,0.287,12800
294,0.326,12400
295,0.283,12800
296,0.297,12800
297,0.327,12200
298,0.290,12400
299,0.288,12600
300,0.297,12200
301,0.309,12200
302,0.279,12400
303,0.267,12600
304,0.226,600
305,0.233,12200
306,0.232,500
307,0.333,10200
308,0.363,9900
309,0.355,9900
310,0.363,10100
311,0.378,9800
312,0.334,9300
313,0.362,9600
314,0.342,9800
315,0.327,10200
316,0.316,9700
317,0.286,500
318,0.287,500
319,0.296,9700
320,0.319,9400
321,0.295,500
322,0.304,500
323,0.306,500
324,0.306,500
325,0.307,500
326,0.313,500
327,0.313,500
328,0.318,500
329,0.318,500
330,0.318,500
331,0.323,500
332,0.327,500
333,0.330,500
334,0.330,500
335,0.337,500
336,0.337,500
337,0.341,500
338,0.341,500
339,0.342,500
340,0.342,500
341,0.342,500
342,0.348,500
343,0.348,500
344,0.348,500
345,0.352,500
346,0.352,500
347,0.352,500
348,0.352,500
349,0.352,500
350,0.351,500
351,0.351,500
352,0.351,500
353,0.351,500
354,0.351,500
355,0.358,500
356,0.358,500
357,0.354,500
358,0.350,500
359,0.348,500
