# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 大山千枚田 (緯度35.130583, 経度139.975109, 観測者標高132.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.869,100
1,5.869,100
2,5.869,100
3,5.869,100
4,5.659,100
5,5.659,100
6,5.659,100
7,5.659,100
8,5.591,100
9,5.591,100
10,5.591,100
11,5.591,100
12,5.591,100
13,5.495,100
14,5.495,100
15,5.495,100
16,5.495,100
17,5.495,100
18,5.605,200
19,5.605,200
20,5.605,200
21,6.412,200
22,6.067,200
23,6.528,200
24,6.528,200
25,6.986,200
26,6.986,200
27,5.605,200
28,5.812,200
29,5.812,200
30,5.990,200
31,5.990,200
32,4.587,200
33,4.599,200
34,4.599,200
35,4.599,200
36,3.296,200
37,3.296,200
38,3.296,200
39,3.316,200
40,2.666,3700
41,2.465,3700
42,2.315,4000
43,2.269,4000
44,2.536,4000
45,2.455,4000
46,2.488,3900
47,2.620,4200
48,2.312,4200
49,2.182,4500
50,2.540,4400
51,2.255,4300
52,2.062,5600
53,2.400,4400
54,2.495,5100
55,2.182,5000
56,1.692,5000
57,1.561,5000
58,1.912,300
59,3.366,300
60,3.366,300
61,3.948,300
62,4.277,300
63,4.383,300
64,4.430,400
65,4.757,400
66,4.450,400
67,3.792,400
68,2.662,400
69,1.871,400
70,1.652,300
71,1.188,6300
72,1.005,6300
73,1.027,6300
74,1.025,6700
75,1.044,6800
76,0.910,6800
77,0.789,6800
78,0.648,6800
79,0.672,15300
80,0.698,7900
81,0.711,7900
82,0.434,15800
83,0.395,14800
84,0.496,9600
85,0.440,13000
86,0.383,13000
87,0.327,12800
88,0.272,13300
89,0.322,13100
90,0.227,10100
91,0.230,10000
92,0.037,21700
93,0.017,21800
94,0.184,1300
95,0.830,1300
96,1.034,1300
97,0.989,1300
98,0.702,1300
99,0.394,1200
100,0.782,1100
101,0.984,1100
102,1.129,1100
103,1.293,1100
104,1.569,1100
105,1.724,1100
106,1.676,1100
107,1.756,1100
108,1.879,1100
109,2.316,1200
110,2.647,1100
111,2.793,1100
112,2.826,1200
113,2.927,1500
114,3.364,1500
115,3.541,1400
116,3.791,1400
117,3.963,1400
118,4.285,1700
119,5.211,1700
120,5.397,1700
121,5.936,1600
122,5.948,1600
123,6.317,1500
124,6.377,1500
125,6.030,1500
126,5.508,1500
127,5.173,1500
128,4.935,1500
129,5.640,1700
130,6.619,1700
131,6.488,1700
132,6.647,1600
133,7.385,1600
134,7.952,1600
135,7.822,1600
136,7.556,1500
137,7.816,1500
138,7.643,1500
139,7.479,1500
140,7.137,1500
141,6.939,1500
142,6.777,1500
143,6.480,1500
144,6.364,2000
145,6.699,1900
146,7.425,1900
147,7.763,1900
148,7.800,1900
149,7.909,1900
150,7.894,1900
151,8.008,1900
152,8.048,1900
153,8.024,1900
154,7.890,1900
155,7.619,1900
156,7.523,1800
157,7.486,1800
158,7.528,1800
159,7.529,1800
160,7.746,1800
161,8.021,1800
162,7.998,1900
163,7.696,1800
164,7.546,1800
165,7.390,1700
166,7.485,1700
167,7.424,1700
168,7.325,1700
169,7.318,1700
170,7.238,1700
171,7.089,1700
172,7.123,900
173,7.325,900
174,7.402,900
175,7.363,900
176,7.432,900
177,7.494,900
178,7.500,900
179,7.432,900
180,7.452,1700
181,7.425,1700
182,7.429,1700
183,7.604,1700
184,7.996,1700
185,8.042,1400
186,7.813,1400
187,7.566,1400
188,7.192,900
189,7.296,900
190,7.301,900
191,7.310,900
192,7.516,700
193,7.727,700
194,7.980,700
195,7.932,700
196,7.376,700
197,6.699,1100
198,6.606,1100
199,6.610,1200
200,6.587,1200
201,6.603,900
202,6.770,900
203,7.114,900
204,7.273,900
205,6.977,900
206,6.617,900
