# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 野島埼灯台 (緯度34.90173, 経度139.888385, 観測者標高10.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.196,1200
1,4.487,1200
2,4.880,1200
3,5.070,1200
4,5.175,1200
5,5.075,1300
6,5.035,1300
7,4.747,1300
8,4.897,1300
9,5.396,1300
10,5.129,1300
11,4.714,1300
12,4.358,1300
13,4.382,1300
14,4.231,1300
15,4.657,1400
16,4.496,1400
17,4.558,1400
18,4.600,1400
19,4.437,1500
20,4.278,1500
21,4.160,1400
22,4.057,1500
23,3.936,1500
24,3.894,1500
25,4.098,1500
26,3.990,1700
27,3.773,1800
28,3.846,1800
29,3.614,1800
30,3.977,1700
31,4.018,1700
32,3.892,1800
33,3.619,1800
34,3.995,1800
35,3.915,1800
36,3.600,1800
37,3.529,1800
38,3.629,1700
39,3.675,1800
40,3.377,1800
41,3.074,1800
42,2.887,2300
43,2.846,2200
44,2.730,2200
45,2.887,1700
46,2.880,1700
47,2.764,2500
48,2.954,2500
49,2.645,2600
50,2.543,2400
51,2.330,2700
52,2.469,2500
53,2.584,2500
54,2.683,2500
55,2.780,2500
56,2.382,2400
57,2.353,2500
58,2.305,2500
59,2.220,2600
60,1.900,3500
61,2.001,3500
62,1.971,3700
63,1.597,3700
64,1.496,3700
65,1.050,4300
66,1.025,3800
67,0.879,3800
68,0.839,3900
69,0.757,3800
70,0.055,3800
71,-0.011,2500
72,-0.024,2500
73,-0.044,2600
74,-0.062,2600
75,-0.082,2600
76,-0.095,12200
77,-0.095,12200
78,-0.095,12200
79,-0.095,12200
80,-0.095,12200
81,-0.095,12200
82,-0.095,12200
83,-0.095,12200
84,-0.095,12200
85,-0.095,12200
86,-0.095,12200
87,-0.095,12200
88,-0.095,12200
89,-0.095,12200
90,-0.095,12200
91,-0.095,12200
92,-0.095,12200
93,-0.095,12200
94,-0.095,12200
95,-0.095,12200
96,-0.095,12200
97,-0.095,12200
98,-0.095,12200
99,-0.095,12200
100,-0.095,12200
101,-0.095,12200
102,-0.095,12200
103,-0.095,12200
104,-0.095,12200
105,-0.095,12200
106,-0.095,12200
107,-0.095,12200
108,-0.095,12200
109,-0.095,12200
110,-0.095,12200
111,-0.095,12200
112,-0.095,12200
113,-0.095,12200
114,-0.095,12200
115,-0.095,12200
116,-0.095,12200
117,-0.095,12200
118,-0.095,12200
119,-0.095,12200
120,-0.095,12200
121,-0.095,12200
122,-0.095,12200
123,-0.095,12200
124,-0.095,12200
125,-0.095,12200
126,-0.095,12200
127,-0.095,12200
128,-0.095,12200
129,-0.095,12200
130,-0.095,12200
131,-0.095,12200
132,-0.095,12200
133,-0.095,12200
134,-0.095,12200
135,-0.095,12200
136,-0.095,12200
137,-0.095,12200
138,-0.095,12200
139,-0.095,12200
140,-0.095,12200
141,-0.095,12200
142,-0.095,12200
143,-0.095,12200
144,-0.095,12200
145,-0.095,12200
146,-0.095,12200
147,-0.095,12200
148,-0.095,12200
149,-0.095,12200
150,-0.095,12200
151,-0.095,12200
152,-0.095,12200
153,-0.095,12200
154,-0.095,12200
155,-0.095,12200
156,-0.095,12200
157,-0.095,12200
158,-0.095,12200
159,-0.095,12200
160,-0.095,12200
161,-0.095,12200
162,-0.095,12200
163,-0.095,12200
164,-0.095,12200
165,-0.095,12200
166,-0.095,12200
167,-0.095,12200
168,-0.095,12200
169,-0.095,12200
170,-0.095,12200
171,-0.095,12200
172,-0.095,12200
173,-0.095,12200
174,-0.095,12200
175,-0.095,12200
176,-0.095,12200
177,-0.095,12200
178,-0.095,12200
179,-0.095,12200
180,-0.095,12200
181,-0.095,12200
182,-0.095,12200
183,-0.095,12200
184,-0.095,12200
185,-0.095,12200
186,-0.095,12200
187,-0.095,12200
188,-0.095,12200
189,-0.095,12200
190,-0.095,12200
191,-0.095,12200
192,-0.095,12200
193,-0.095,12200
194,-0.095,12200
195,-0.095,12200
196,-0.095,12200
197,-0.095,12200
198,-0.095,12200
199,-0.095,12200
200,-0.095,12200
201,-0.095,12200
202,-0.095,12200
203,-0.095,12200
204,-0.095,12200
205,-0.095,12200
206,-0.095,12200
207,-0.095,12200
208,-0.095,12200
209,-0.095,12200
210,-0.095,12200
211,-0.095,12200
212,-0.095,12200
213,-0.095,12200
214,-0.095,12200
215,-0.095,12200
216,-0.095,12200
217,-0.095,12200
218,-0.095,12200
219,-0.095,12200
220,-0.095,12200
221,-0.095,12200
222,-0.095,12200
223,-0.095,12200
224,-0.095,12200
225,-0.095,12200
226,-0.095,12200
227,-0.095,12200
228,-0.095,12200
229,-0.095,12200
230,-0.095,12200
231,-0.095,12200
232,-0.095,12200
233,-0.095,12200
234,-0.095,12200
235,-0.095,12200
236,-0.095,12200
237,-0.095,12200
238,-0.095,12200
239,-0.095,12200
240,-0.095,12200
241,0.011,47700
242,0.162,46800
243,0.263,46800
244,0.468,48000
245,0.529,48500
246,0.557,48200
247,0.654,48700
248,0.497,49000
249,0.485,49600
250,0.430,48200
251,0.281,48000
252,0.148,45600
253,0.065,46600
254,-0.041,47100
255,-0.087,48100
256,-0.095,12200
257,-0.095,12200
258,-0.095,12200
259,-0.095,12200
260,-0.095,12200
261,-0.095,12200
262,-0.095,12200
263,-0.095,12200
264,-0.095,12200
265,-0.095,12200
266,-0.095,12200
267,-0.095,12200
268,-0.095,12200
269,-0.095,12200
270,-0.095,12200
271,-0.095,12200
272,-0.095,12200
273,-0.061,4000
274,-0.025,4100
275,-0.018,3900
276,-0.006,3900
277,0.014,3800
278,0.064,3600
279,0.218,5200
280,0.791,5200
281,1.321,5200
282,1.378,5100
283,1.190,5200
284,1.158,4600
285,1.091,4400
286,1.359,4300
287,1.289,4300
288,1.353,4300
289,1.619,4200
290,1.715,4100
291,1.852,4000
292,1.646,4000
293,1.593,4000
294,1.369,3800
295,1.576,2600
296,1.475,2500
297,1.861,2500
298,1.657,2500
299,1.520,2700
300,1.742,2300
301,1.985,2300
302,1.978,2300
303,2.107,2400
304,1.964,2400
305,1.796,2400
306,1.823,2500
307,2.019,2500
308,1.655,2500
309,1.964,1600
310,2.460,1600
311,2.884,1500
312,2.887,1500
313,2.702,1500
314,1.910,1500
315,1.554,2900
316,1.471,2900
317,1.450,2900
318,2.004,1500
319,2.394,1500
320,2.521,1500
321,2.538,1500
322,2.595,1500
323,2.420,1400
324,2.570,1300
325,2.954,1300
326,2.143,1300
327,1.826,2500
328,1.658,2500
329,1.858,2700
330,2.081,1200
331,2.201,2400
332,2.122,1200
333,2.348,1200
334,2.569,1200
335,2.585,1200
336,2.568,1200
337,2.647,1200
338,2.462,1200
339,2.301,1200
340,2.222,1200
341,2.315,1200
342,2.391,1200
343,2.321,1200
344,2.088,1200
345,2.084,1200
346,1.979,1200
347,2.109,1600
348,2.438,1600
349,2.358,1600
350,2.275,1200
351,2.245,1200
352,2.649,1600
353,2.990,1200
354,3.070,1200
355,3.241,1200
356,3.526,1200
357,3.736,1200
358,3.861,1200
359,4.007,1200
