# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 東浪見釣ヶ崎海岸 (緯度35.336137, 経度140.395038, 観測者標高0.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.000,100
1,-0.000,100
2,-0.000,100
3,-0.000,100
4,-0.000,100
5,-0.000,100
6,-0.000,100
7,-0.000,100
8,-0.000,100
9,-0.000,100
10,-0.000,100
11,-0.000,100
12,-0.000,100
13,-0.000,100
14,-0.000,100
15,-0.000,100
16,-0.000,100
17,-0.000,100
18,-0.000,100
19,-0.000,100
20,-0.000,100
21,-0.000,100
22,-0.000,100
23,-0.000,100
24,-0.000,100
25,-0.000,100
26,-0.000,100
27,-0.000,100
28,-0.000,100
29,-0.000,100
30,-0.000,100
31,-0.000,100
32,-0.000,100
33,-0.000,100
34,-0.000,100
35,-0.000,100
36,-0.000,100
37,-0.000,100
38,-0.000,100
39,-0.000,100
40,-0.000,100
41,-0.000,100
42,-0.000,100
43,-0.000,100
44,-0.000,100
45,-0.000,100
46,-0.000,100
47,-0.000,100
48,-0.000,100
49,-0.000,100
50,-0.000,100
51,-0.000,100
52,-0.000,100
53,-0.000,100
54,-0.000,100
55,-0.000,100
56,-0.000,100
57,-0.000,100
58,-0.000,100
59,-0.000,100
60,-0.000,100
61,-0.000,100
62,-0.000,100
63,-0.000,100
64,-0.000,100
65,-0.000,100
66,-0.000,100
67,-0.000,100
68,-0.000,100
69,-0.000,100
70,-0.000,100
71,-0.000,100
72,-0.000,100
73,-0.000,100
74,-0.000,100
75,-0.000,100
76,-0.000,100
77,-0.000,100
78,-0.000,100
79,-0.000,100
80,-0.000,100
81,-0.000,100
82,-0.000,100
83,-0.000,100
84,-0.000,100
85,-0.000,100
86,-0.000,100
87,-0.000,100
88,-0.000,100
89,-0.000,100
90,-0.000,100
91,-0.000,100
92,-0.000,100
93,-0.000,100
94,-0.000,100
95,-0.000,100
96,-0.000,100
97,-0.000,100
98,-0.000,100
99,-0.000,100
100,-0.000,100
101,-0.000,100
102,-0.000,100
103,-0.000,100
104,-0.000,100
105,-0.000,100
106,-0.000,100
107,-0.000,100
108,-0.000,100
109,-0.000,100
110,-0.000,100
111,-0.000,100
112,-0.000,100
113,-0.000,100
114,-0.000,100
115,-0.000,100
116,-0.000,100
117,-0.000,100
118,-0.000,100
119,-0.000,100
120,-0.000,100
121,-0.000,100
122,-0.000,100
123,-0.000,100
124,-0.000,100
125,-0.000,100
126,-0.000,100
127,-0.000,100
128,-0.000,100
129,-0.000,100
130,-0.000,100
131,-0.000,100
132,-0.000,100
133,-0.000,100
134,-0.000,100
135,0.030,1100
136,0.170,1100
137,0.205,1100
138,0.192,1200
139,0.272,1200
140,0.350,1200
141,0.432,1200
142,0.640,1200
143,1.013,1200
144,1.319,1200
145,2.078,1200
146,2.052,1300
147,1.855,1300
148,1.367,1300
149,1.075,1100
150,0.989,1100
151,1.235,2700
152,1.057,1100
153,1.559,1100
154,1.545,1100
155,1.542,1100
156,1.323,1100
157,1.223,2400
158,1.031,2600
159,0.912,2600
160,1.053,2500
161,1.006,2500
162,0.925,1000
163,0.990,1000
164,1.568,1100
165,1.706,1100
166,1.932,1100
167,2.035,1100
168,2.082,1100
169,2.042,1100
170,2.112,1000
171,2.072,1000
172,2.027,900
173,2.005,900
174,2.215,900
175,2.475,900
176,2.570,900
177,2.631,800
178,2.666,800
179,2.779,800
180,2.884,800
181,2.811,800
182,2.703,800
183,2.477,800
184,2.235,800
185,1.906,600
186,1.898,700
187,2.228,700
188,2.398,700
189,2.683,700
190,2.820,700
191,2.818,700
192,2.780,700
193,2.891,600
194,2.984,600
195,3.118,600
196,3.036,600
197,2.707,600
198,2.676,600
199,2.634,600
200,2.705,600
201,2.777,600
202,2.825,600
203,2.898,600
204,2.878,600
205,3.434,500
206,3.391,500
207,3.442,500
208,3.431,500
209,3.439,500
210,3.432,500
211,3.381,500
212,3.364,500
213,3.396,500
214,3.455,500
215,3.512,500
216,3.512,500
217,3.174,500
218,2.722,500
219,2.291,500
220,2.082,500
221,2.117,1100
222,2.136,1100
223,2.166,1100
224,2.239,1100
225,2.577,500
226,2.650,500
227,2.744,600
228,3.138,600
229,2.974,600
230,2.669,600
231,2.700,500
232,2.464,600
233,2.333,500
234,2.367,800
235,2.418,800
236,2.593,700
237,2.713,700
238,2.727,700
239,3.102,700
240,3.234,700
241,3.540,700
