# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 八幡岬公園 (緯度35.135909, 経度140.311339, 観測者標高12.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.873,3300
1,1.721,3100
2,1.873,3100
3,1.885,3500
4,1.911,3000
5,2.022,3000
6,1.867,3000
7,1.939,4300
8,1.635,4300
9,1.626,100
10,1.626,100
11,1.621,100
12,1.621,100
13,1.621,100
14,1.868,700
15,1.950,700
16,1.946,700
17,1.654,700
18,1.776,800
19,1.777,800
20,2.885,100
21,2.868,100
22,2.868,100
23,2.868,100
24,2.868,100
25,2.868,100
26,3.256,100
27,3.256,100
28,3.298,700
29,3.541,700
30,3.694,700
31,6.011,100
32,6.011,100
33,6.011,100
34,6.011,100
35,6.011,100
36,8.401,100
37,8.401,100
38,8.401,100
39,9.670,100
40,9.670,100
41,9.670,100
42,11.629,100
43,11.629,100
44,11.629,100
45,11.629,100
46,11.310,100
47,11.310,100
48,12.914,100
49,12.914,100
50,12.914,100
51,12.914,100
52,12.265,100
53,12.265,100
54,12.265,100
55,12.751,100
56,12.751,100
57,11.249,100
58,11.249,100
59,11.249,100
60,11.249,100
61,11.249,100
62,10.104,100
63,10.104,100
64,8.009,100
65,8.009,100
66,8.009,100
67,4.312,100
68,4.312,100
69,4.312,100
70,4.312,100
71,4.312,100
72,3.126,700
73,2.941,700
74,2.120,700
75,0.882,700
76,0.246,100
77,-0.106,13600
78,-0.106,13600
79,-0.106,13600
80,-0.106,13600
81,-0.106,13600
82,-0.106,13600
83,-0.106,13600
84,-0.106,13600
85,-0.106,13600
86,-0.106,13600
87,-0.106,13600
88,-0.106,13600
89,-0.106,13600
90,-0.106,13600
91,-0.106,13600
92,-0.106,13600
93,-0.106,13600
94,-0.106,13600
95,-0.106,13600
96,-0.106,13600
97,-0.106,13600
98,-0.106,13600
99,-0.106,13600
100,-0.106,13600
101,-0.106,13600
102,-0.106,13600
103,-0.106,13600
104,-0.106,13600
105,-0.106,13600
106,-0.106,13600
107,-0.106,13600
108,-0.106,13600
109,-0.106,13600
110,-0.106,13600
111,-0.106,13600
112,-0.106,13600
113,-0.106,13600
114,-0.106,13600
115,-0.106,13600
116,-0.106,13600
117,-0.106,13600
118,-0.106,13600
119,-0.106,13600
120,-0.106,13600
121,-0.106,13600
122,-0.106,13600
123,-0.106,13600
124,-0.106,13600
125,-0.106,13600
126,-0.106,13600
127,-0.106,13600
128,-0.106,13600
129,-0.106,13600
130,-0.106,13600
131,-0.106,13600
132,-0.106,13600
133,-0.106,13600
134,-0.106,13600
135,-0.106,13600
136,-0.106,13600
137,-0.106,13600
138,-0.106,13600
139,-0.106,13600
140,-0.106,13600
141,-0.106,13600
142,-0.106,13600
143,-0.106,13600
144,-0.106,13600
145,-0.106,13600
146,-0.106,13600
147,-0.106,13600
148,-0.106,13600
149,-0.106,13600
150,-0.106,13600
151,-0.106,13600
152,-0.106,13600
153,-0.106,13600
154,-0.106,13600
155,-0.106,13600
156,-0.106,13600
157,-0.106,13600
158,-0.106,13600
159,-0.106,13600
160,-0.106,13600
161,-0.106,13600
162,-0.106,13600
163,-0.106,13600
164,-0.106,13600
165,-0.106,13600
166,-0.106,13600
167,-0.106,13600
168,-0.106,13600
169,-0.106,13600
170,3.313,100
171,3.313,100
172,3.313,100
173,3.313,100
174,5.483,100
175,5.483,100
176,5.483,100
177,5.483,100
178,5.483,100
179,6.186,100
180,6.186,100
181,6.186,100
182,6.186,100
183,6.045,100
184,6.045,100
185,6.045,100
186,6.045,100
187,6.045,100
188,5.284,100
189,5.284,100
190,5.284,100
191,5.284,100
192,4.203,100
193,4.203,100
194,4.203,100
195,4.203,100
196,4.203,100
197,1.741,100
198,1.741,100
199,1.741,100
200,1.741,100
201,1.741,100
202,0.441,100
203,0.441,100
204,0.441,100
205,0.441,100
206,-0.106,13600
207,-0.106,13600
208,-0.106,13600
209,-0.106,13600
210,-0.106,13600
211,-0.106,13600
212,-0.106,13600
213,-0.106,13600
214,-0.106,13600
215,-0.106,13600
216,-0.106,13600
217,-0.106,13600
218,-0.106,13600
219,-0.106,13600
220,-0.106,13600
221,-0.106,13600
222,-0.106,13600
223,-0.106,13600
224,-0.106,13600
225,-0.106,13600
226,-0.106,13600
227,-0.106,13600
228,-0.106,13600
229,-0.106,13600
230,-0.106,13600
231,-0.106,13600
232,-0.106,13600
233,-0.106,13600
234,-0.106,13600
235,-0.095,42100
236,-0.026,41900
237,0.107,40400
238,0.083,40800
239,0.055,40200
240,0.045,41300
241,0.071,41800
242,-0.031,42200
243,-0.036,43500
244,-0.029,35200
245,-0.029,40600
246,-0.025,37400
247,-0.057,36800
248,-0.050,47700
249,0.049,28900
250,0.134,23500
251,0.152,23900
252,0.230,22700
253,0.269,7700
254,0.281,7200
255,0.427,8100
256,0.491,8400
257,0.657,8900
258,0.855,9000
259,0.951,9100
260,1.046,8300
261,1.035,8100
262,1.059,8400
263,1.066,7900
264,1.101,7900
265,1.097,8000
266,1.050,9000
267,0.966,8800
268,1.112,8600
269,0.995,8600
270,0.990,8900
271,0.901,8100
272,0.919,8700
273,0.933,8200
274,0.968,8000
275,1.003,7700
276,0.970,8300
277,0.908,8100
278,0.975,15800
279,1.035,14600
280,1.165,14700
281,1.218,14800
282,1.291,14500
283,1.241,14600
284,1.238,14200
285,1.213,14200
286,1.347,14100
287,1.243,5200
288,1.340,14000
289,1.288,5100
290,1.198,14500
291,1.264,14000
292,1.192,5000
293,1.285,3900
294,1.539,2800
295,1.630,3700
296,1.551,2800
297,1.718,2900
298,1.839,2900
299,1.866,2900
300,1.956,3200
301,1.991,3300
302,2.085,2900
303,2.028,2900
304,1.908,3000
305,1.921,3000
306,1.881,3000
307,1.869,3000
308,1.785,3100
309,1.855,3800
310,1.729,3100
311,1.841,4000
312,1.752,3100
313,1.867,3100
314,2.192,3100
315,2.179,3100
316,1.989,3100
317,1.890,2900
318,1.911,3000
319,1.939,3000
320,2.087,3200
321,1.917,3200
322,2.021,3000
323,2.083,3400
324,2.081,3200
325,1.842,3300
326,2.043,3400
327,1.939,3300
328,2.117,3400
329,1.926,3400
330,1.844,3700
331,1.784,3600
332,1.927,3800
333,1.906,3300
334,2.120,3300
335,2.054,3000
336,2.334,3200
337,2.233,3300
338,2.178,3300
339,2.055,3300
340,2.113,3200
341,2.151,2900
342,2.007,2800
343,2.059,2800
344,2.073,2900
345,2.014,2900
346,1.985,3000
347,1.981,2600
348,2.122,2600
349,2.125,2600
350,2.168,2700
351,2.206,2700
352,2.048,2700
353,1.992,2700
354,2.082,2800
355,1.995,3000
356,2.029,3000
357,1.990,2900
358,2.029,2900
359,1.846,3300
