# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 月の沙漠記念公園 (緯度35.18396, 経度140.356793, 観測者標高3.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.679,2700
1,1.400,2600
2,1.462,2600
3,1.313,2500
4,1.171,2400
5,1.433,2200
6,1.965,2100
7,2.038,2300
8,2.195,2300
9,2.031,2500
10,2.054,2500
11,1.973,2500
12,1.924,2500
13,1.864,2400
14,1.905,2300
15,1.716,2600
16,1.508,2700
17,1.401,2200
18,1.558,1600
19,1.767,1600
20,1.635,1900
21,2.188,1700
22,2.230,1700
23,2.126,1700
24,2.099,1200
25,2.139,1200
26,1.972,2200
27,1.955,2100
28,2.092,2000
29,2.179,2000
30,1.933,2000
31,2.094,1800
32,2.473,1800
33,2.646,1000
34,2.708,1000
35,2.264,1700
36,2.516,1600
37,2.885,900
38,2.840,900
39,2.777,900
40,2.843,900
41,3.030,900
42,2.942,1500
43,3.036,1400
44,3.014,1400
45,2.971,1400
46,2.896,900
47,2.973,1300
48,2.771,1600
49,2.718,1600
50,2.478,1600
51,2.767,1400
52,2.866,1300
53,3.040,1300
54,3.190,1300
55,3.407,1300
56,3.364,1300
57,3.214,1300
58,3.126,1200
59,3.305,1300
60,3.475,1200
61,3.623,1200
62,3.913,1200
63,3.807,1200
64,3.553,1100
65,3.548,1100
66,3.295,1100
67,2.739,1400
68,2.828,1500
69,3.052,1500
70,3.237,1500
71,3.349,1300
72,3.490,1300
73,3.484,1300
74,3.344,1300
75,3.397,1300
76,3.505,1300
77,3.465,1300
78,3.617,1200
79,3.650,1200
80,3.836,1400
81,3.825,1400
82,3.753,1200
83,3.568,1200
84,3.877,1400
85,3.899,1400
86,3.883,1300
87,4.107,1300
88,3.967,1300
89,3.879,1300
90,4.001,1300
91,4.080,1300
92,3.703,1300
93,3.455,1200
94,3.537,1300
95,3.964,1300
96,3.893,1300
97,3.436,1300
98,3.076,1300
99,2.705,1300
100,2.645,1300
101,2.502,1300
102,2.206,1300
103,1.903,1300
104,1.392,1300
105,1.302,1300
106,1.632,1000
107,1.852,1000
108,1.578,1000
109,1.400,900
110,1.202,1100
111,1.106,1100
112,1.283,1200
113,1.329,1000
114,1.326,1200
115,1.329,1200
116,1.163,1200
117,0.608,1200
118,0.283,1200
119,-0.026,1200
120,-0.054,6900
121,-0.054,6900
122,-0.054,6900
123,-0.054,6900
124,-0.054,6900
125,-0.054,6900
126,-0.054,6900
127,-0.054,6900
128,-0.054,6900
129,-0.054,6900
130,-0.054,6900
131,-0.054,6900
132,-0.054,6900
133,-0.054,6900
134,-0.054,6900
135,-0.054,6900
136,-0.054,6900
137,-0.054,6900
138,-0.054,6900
139,-0.054,6900
140,-0.054,6900
141,-0.054,6900
142,-0.054,6900
143,-0.054,6900
144,-0.054,6900
145,-0.054,6900
146,-0.054,6900
147,-0.054,6900
148,-0.054,6900
149,-0.054,6900
150,-0.054,6900
151,-0.054,6900
152,-0.054,6900
153,-0.054,6900
154,-0.054,6900
155,-0.054,6900
156,-0.054,6900
157,-0.054,6900
158,-0.054,6900
159,-0.054,6900
160,-0.054,6900
161,-0.054,6900
162,-0.054,6900
163,-0.054,6900
164,-0.054,6900
165,-0.054,6900
166,-0.054,6900
167,-0.054,6900
168,-0.054,6900
169,-0.054,6900
170,-0.054,6900
171,-0.054,6900
172,-0.054,6900
173,-0.054,6900
174,-0.054,6900
175,-0.054,6900
176,-0.054,6900
177,-0.054,6900
178,-0.054,6900
179,-0.054,6900
180,-0.054,6900
181,-0.054,6900
182,-0.054,6900
183,-0.054,6900
184,-0.054,6900
185,-0.054,6900
186,-0.054,6900
187,-0.054,6900
188,-0.054,6900
189,-0.054,6900
190,-0.054,6900
191,-0.054,6900
192,-0.054,6900
193,-0.054,6900
194,-0.054,6900
195,-0.054,6900
196,-0.054,6900
197,-0.054,6900
198,-0.054,6900
199,-0.054,6900
200,-0.054,6900
201,-0.054,6900
202,-0.054,6900
203,-0.054,6900
204,-0.054,6900
205,-0.054,6900
206,-0.054,6900
207,-0.054,6900
208,-0.054,6900
209,-0.054,6900
210,0.093,5700
211,0.296,5600
212,0.263,5400
213,0.369,5600
214,0.412,5500
215,0.558,5700
216,0.472,5300
217,0.500,5600
218,0.557,5000
219,0.505,6000
220,0.545,3600
221,0.475,3800
222,0.441,4900
223,0.569,3700
224,1.049,1500
225,1.287,1600
226,1.515,1600
227,1.587,1600
228,1.731,1600
229,1.999,1600
230,2.028,1600
231,2.044,1600
232,1.966,1300
233,1.836,1700
234,1.833,1700
235,1.790,1800
236,1.783,1500
237,1.711,1500
238,1.992,1300
239,1.768,1600
240,1.595,1600
241,1.899,1000
242,2.241,1000
243,2.454,1000
244,2.367,1000
245,2.473,1000
246,2.501,1000
247,2.363,1000
248,2.359,2400
249,2.502,2900
250,2.902,2300
251,2.905,2300
252,2.987,2000
253,3.105,2000
254,3.137,2000
255,3.150,2000
256,3.137,1900
257,3.161,1900
258,3.275,1800
259,3.189,1900
260,3.213,1900
261,2.978,2000
262,3.045,2000
263,2.791,1900
264,2.911,2000
265,3.254,2000
266,2.929,2100
267,3.159,2000
268,2.966,2000
269,2.939,1900
270,2.959,1900
271,2.917,1400
272,3.065,1400
273,3.032,1400
274,2.961,1400
275,2.790,2200
276,2.717,2000
277,3.035,2100
278,2.850,2100
279,2.875,2200
280,3.064,2200
281,2.670,2300
282,2.895,2300
283,2.847,2300
284,2.843,2300
285,2.783,2300
286,2.688,1400
287,2.773,1400
288,3.125,1400
289,2.892,1400
290,2.366,1200
291,3.106,1300
292,3.382,1300
293,3.360,1300
294,3.167,1300
295,3.051,1300
296,2.915,1300
297,2.890,1200
298,3.132,1200
299,2.670,1200
300,2.314,2200
301,2.482,1900
302,2.579,1100
303,2.645,1100
304,2.718,1100
305,2.833,1100
306,2.410,1100
307,2.328,1100
308,2.784,1100
309,3.064,1100
310,2.677,1100
311,2.392,1100
312,2.154,1200
313,2.158,1200
314,2.092,1200
315,2.062,1100
316,1.995,1700
317,2.147,2300
318,2.132,1700
319,2.497,1700
320,2.556,1700
321,2.301,1700
322,2.006,2500
323,2.126,1000
324,2.370,1000
325,2.254,1000
326,2.193,1400
327,2.534,1700
328,2.363,1800
329,2.247,1100
330,2.174,1700
331,2.177,1700
332,1.860,1600
333,1.396,1400
334,1.471,2900
335,2.051,1400
336,2.095,1400
337,2.276,1400
338,2.287,1900
339,2.018,1900
340,1.755,1900
341,1.595,1900
342,1.542,2000
343,1.837,1900
344,2.032,1900
345,1.660,2000
346,1.914,2000
347,1.840,2000
348,1.904,2000
349,2.044,2000
350,1.967,2000
351,1.656,1300
352,1.753,1300
353,1.461,1300
354,0.932,3600
355,1.076,3600
356,1.100,3600
357,1.390,2700
358,1.297,2700
359,1.673,2700
