# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 奥多摩湖ダムサイトパーキング (緯度35.792384, 経度139.047383, 観測者標高535.1m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,25.728,600
1,25.822,600
2,25.944,700
3,26.573,700
4,26.694,700
5,26.412,900
6,26.445,900
7,26.533,800
8,26.723,800
9,26.604,800
10,26.438,800
11,26.050,800
12,25.638,700
13,25.216,700
14,24.959,700
15,24.769,700
16,24.135,1600
17,24.045,1600
18,23.802,1600
19,23.613,1600
20,23.487,1600
21,23.358,1600
22,23.035,1600
23,22.788,1600
24,22.334,1600
25,22.012,1600
26,21.589,1600
27,21.188,1600
28,20.834,1700
29,20.783,1700
30,20.444,1700
31,19.951,1700
32,19.663,1700
33,19.562,1000
34,19.712,1000
35,19.653,1000
36,19.078,1700
37,18.953,1700
38,18.750,1700
39,18.561,1700
40,18.454,1700
41,18.251,1700
42,17.876,1700
43,17.468,1700
44,16.885,1700
45,16.442,1700
46,16.600,900
47,17.121,800
48,17.051,700
49,17.856,700
50,18.679,700
51,18.799,700
52,18.607,700
53,18.249,700
54,17.385,700
55,16.973,700
56,16.525,700
57,16.111,700
58,15.347,700
59,14.792,700
60,13.739,700
61,13.043,700
62,12.277,700
63,11.227,700
64,10.564,700
65,9.798,700
66,9.490,700
67,8.835,700
68,8.235,2100
69,7.601,700
70,6.889,2200
71,7.212,600
72,7.398,600
73,7.768,600
74,7.164,600
75,5.913,600
76,5.000,600
77,4.229,700
78,4.261,700
79,4.439,700
80,3.853,700
81,3.900,700
82,3.893,700
83,3.833,700
84,3.274,700
85,3.061,700
86,2.935,700
87,2.647,3500
88,2.953,3500
89,3.083,3500
90,3.392,3300
91,4.275,3400
92,4.973,3400
93,5.514,3400
94,5.864,3400
95,6.157,3400
96,6.755,400
97,7.259,400
98,7.145,400
99,6.703,400
100,5.821,400
101,5.523,2400
102,5.973,2400
103,6.180,2400
104,6.060,2400
105,5.797,2500
106,5.854,2500
107,5.867,2600
108,6.657,2600
109,7.175,2600
110,7.272,2600
111,7.294,2700
112,7.751,2700
113,7.891,3500
114,8.225,2800
115,8.485,3100
116,9.144,1800
117,9.657,3300
118,9.753,1800
119,10.068,3200
120,10.464,3200
121,11.062,3100
122,11.265,3100
123,11.358,3200
124,11.757,3200
125,12.179,3200
126,12.079,3200
127,12.196,3300
128,12.442,3300
129,12.593,3700
130,12.949,3400
131,13.270,3400
132,13.253,3400
133,12.872,3400
134,12.470,3400
135,12.175,3400
136,11.799,3400
137,12.043,1900
138,12.319,1900
139,12.641,1800
140,12.693,1800
141,12.444,1800
142,12.232,1800
143,12.017,1800
144,11.668,1800
145,11.339,1800
146,11.133,1800
147,10.874,1800
148,10.488,1800
149,10.274,1700
150,9.729,3400
151,9.550,3400
152,9.477,3400
153,9.225,3300
154,9.306,3300
155,8.791,3300
156,8.254,3300
157,7.994,3300
158,8.294,3400
159,8.455,3400
160,8.279,3300
161,8.541,3300
162,8.526,3200
163,8.203,3300
164,8.057,3300
165,8.439,3300
166,8.102,3300
167,7.978,3500
168,7.854,3600
169,7.851,3600
170,7.501,3700
171,7.346,3700
172,7.074,3600
173,7.036,3600
174,6.863,3600
175,6.987,3600
176,7.389,3600
177,7.722,3600
178,7.944,3600
179,8.115,3600
180,8.250,3700
181,8.326,3800
182,8.429,3800
183,8.410,3800
184,8.319,3800
185,8.767,3700
186,8.985,3800
187,8.836,3800
188,8.742,3700
189,8.766,3700
190,8.744,3700
191,8.752,3700
192,8.728,3700
193,8.638,3600
194,8.711,3500
195,9.138,3300
196,9.378,3200
197,9.819,3200
198,9.734,3200
199,9.351,3200
200,9.287,3200
201,9.046,3200
202,8.851,3200
203,8.405,3100
204,8.381,3100
205,8.045,6500
206,8.013,6600
207,8.343,6700
208,8.264,6700
209,8.138,6800
210,7.967,6600
211,7.960,6500
212,7.694,6400
213,7.485,6400
214,7.329,600
215,7.571,600
216,7.843,600
217,8.176,600
218,8.500,600
219,8.658,600
220,8.516,600
221,8.097,600
222,8.209,600
223,8.269,1000
224,8.549,1000
225,9.236,1000
226,9.610,1000
227,10.339,1000
228,11.029,1000
229,11.297,1000
230,11.755,1000
231,11.904,1000
232,12.172,1000
233,12.231,1000
234,12.794,1100
235,13.257,1100
236,13.544,1100
237,13.654,1100
238,13.715,1100
239,13.585,1100
240,13.841,1000
241,14.202,1000
242,14.399,1000
243,14.486,1000
244,14.477,1000
245,14.529,1000
246,14.819,1000
247,15.362,1000
248,15.753,1000
249,15.616,1000
250,15.804,1000
251,16.019,1000
252,16.186,1000
253,16.328,1000
254,16.942,1000
255,17.531,1000
256,17.780,1000
257,18.129,1000
258,18.174,1000
259,19.870,100
260,19.870,100
261,19.870,100
262,20.040,1000
263,22.435,100
264,22.435,100
265,22.435,100
266,22.435,100
267,24.266,100
268,24.266,100
269,24.266,100
270,24.266,100
271,25.032,200
272,26.907,100
273,26.907,100
274,26.907,100
275,26.907,100
276,29.566,100
277,29.566,100
278,29.566,100
279,29.566,100
280,30.113,200
281,31.570,100
282,31.570,100
283,31.570,100
284,31.570,100
285,33.076,100
286,31.391,100
287,31.391,100
288,31.391,100
289,31.391,100
290,32.574,100
291,32.574,100
292,32.574,100
293,32.574,100
294,32.574,100
295,33.484,100
296,33.484,100
297,33.484,100
298,31.039,100
299,31.039,100
300,32.818,100
301,32.818,100
302,32.818,100
303,32.818,100
304,32.818,100
305,36.304,100
306,34.286,100
307,34.286,100
308,34.286,100
309,34.286,100
310,35.126,100
311,35.126,100
312,35.126,100
313,32.145,100
314,32.145,100
315,32.145,100
316,32.700,100
317,32.700,100
318,32.700,100
319,32.700,100
320,29.397,100
321,29.397,100
322,29.397,100
323,29.423,100
324,29.423,100
325,26.413,100
326,26.413,100
327,26.413,100
328,26.413,100
329,26.413,100
330,26.413,100
331,22.889,100
332,22.889,100
333,22.889,100
334,22.889,100
335,22.889,100
336,19.843,1000
337,20.193,1000
338,20.610,1100
339,20.942,1100
340,21.140,1100
341,21.159,1100
342,21.174,1100
343,21.046,1100
344,21.039,1100
345,21.688,1200
346,22.155,1200
347,22.425,1200
348,22.440,1200
349,22.712,1200
350,22.574,1200
351,22.825,1300
352,23.398,1300
353,23.358,1300
354,23.402,1300
355,23.875,500
356,24.469,500
357,25.264,500
358,25.614,500
359,25.791,500
