# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 月夜見第二駐車場 (緯度35.758248, 経度139.047156, 観測者標高1067.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.399,6600
1,3.022,6600
2,3.108,6700
3,2.877,6700
4,3.179,6800
5,2.846,6900
6,2.877,7000
7,2.493,7000
8,2.067,100
9,2.067,100
10,2.250,100
11,2.250,100
12,2.250,100
13,2.250,100
14,2.250,100
15,2.101,100
16,2.101,100
17,2.101,100
18,2.101,100
19,2.101,100
20,1.329,100
21,1.329,100
22,1.329,100
23,1.329,100
24,0.535,12800
25,0.805,12100
26,0.738,11300
27,0.992,11200
28,1.380,11600
29,1.195,11500
30,1.130,11800
31,0.811,9400
32,0.799,9400
33,0.648,12000
34,0.327,11800
35,0.110,11800
36,0.154,11800
37,-0.190,11700
38,-0.482,9000
39,-0.626,12100
40,-0.674,14800
41,-0.471,14800
42,-0.605,2800
43,-0.483,2800
44,-0.205,2700
45,0.393,2700
46,0.940,2700
47,1.154,2700
48,1.195,2700
49,1.097,2700
50,1.213,2800
51,2.027,2800
52,2.301,2800
53,2.562,3300
54,2.992,2800
55,3.260,3000
56,3.836,3000
57,4.168,3000
58,4.853,3000
59,5.195,3000
60,5.109,3000
61,4.440,3000
62,4.608,3100
63,5.133,3200
64,5.540,3200
65,5.708,3200
66,5.648,3200
67,5.765,3300
68,5.430,3300
69,5.212,3300
70,4.873,3300
71,4.767,3300
72,4.751,3300
73,4.593,3300
74,4.158,3300
75,3.739,3300
76,3.456,3300
77,2.852,3300
78,2.252,3300
79,1.864,3600
80,1.934,3600
81,1.621,3600
82,1.457,3600
83,1.414,3600
84,1.407,7600
85,0.836,7500
86,0.809,3600
87,0.846,3600
88,0.654,3600
89,0.300,7500
90,0.122,7600
91,-0.186,7800
92,-0.183,8500
93,-0.342,8500
94,-0.518,8500
95,-0.698,8500
96,-0.405,4100
97,-0.841,4200
98,-0.694,4300
99,-0.817,4500
100,-0.809,4600
101,-0.660,4900
102,-0.760,5000
103,-1.363,4900
104,-1.392,50000
105,-1.391,50000
106,-1.393,50000
107,-1.396,50000
108,-1.398,50000
109,-1.347,49400
110,-1.339,49300
111,-1.350,48900
112,-1.347,49700
113,-1.344,50000
114,-1.366,49100
115,-1.359,50000
116,-1.343,50000
117,-1.368,12000
118,-1.181,12100
119,-1.357,49700
120,-1.374,49600
121,-1.377,50000
122,-1.228,7900
123,-1.036,7800
124,-1.188,7400
125,-1.130,7300
126,-1.261,7200
127,-1.337,50000
128,-1.320,19700
129,-1.152,19700
130,-1.297,19800
131,-1.130,11500
132,-1.143,11900
133,-1.024,14500
134,-0.760,12800
135,-0.691,12900
136,-0.886,13000
137,-0.611,13000
138,-0.425,13100
139,-0.452,12900
140,-0.485,12500
141,-0.515,12300
142,-0.642,11300
143,-0.674,12500
144,-0.728,32600
145,-1.040,31600
146,-1.042,23100
147,-1.129,34600
148,-0.908,33500
149,-0.755,35200
150,-0.613,36600
