# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 日原鍾乳洞 (緯度35.852521, 経度139.041000, 観測者標高631.5m [DEMタイルから自動取得]; 2026-09-06 Googleマップ表示位置に合わせ座標修正、約23m移動)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,15.659,700
1,15.139,700
2,14.649,1600
3,14.775,1600
4,14.857,1600
5,15.236,3500
6,15.237,3500
7,15.212,3500
8,15.399,2200
9,15.915,2200
10,16.443,2100
11,16.795,2100
12,17.387,2200
13,17.814,2200
14,18.307,2200
15,18.521,2200
16,18.427,2200
17,23.272,100
18,23.272,100
19,23.272,100
20,23.272,100
21,29.166,100
22,29.166,100
23,29.166,100
24,29.166,100
25,29.166,100
26,31.898,100
27,31.898,100
28,33.096,100
29,33.096,100
30,33.096,100
31,35.184,100
32,35.184,100
33,35.184,100
34,35.184,100
35,35.184,100
36,35.184,100
37,41.448,100
38,41.448,100
39,41.448,100
40,41.448,100
41,41.448,100
42,44.642,100
43,44.642,100
44,46.508,100
45,46.508,100
46,46.508,100
47,46.508,100
48,48.842,100
49,48.842,100
50,49.682,100
51,49.682,100
52,49.682,100
53,49.682,100
54,49.682,100
55,50.192,100
56,52.194,100
57,52.194,100
58,52.194,100
59,52.194,100
60,52.194,100
61,52.538,100
62,52.538,100
63,52.538,100
64,53.988,100
65,53.988,100
66,54.176,100
67,54.176,100
68,54.176,100
69,54.176,100
70,54.326,100
71,54.326,100
72,54.326,100
73,54.326,100
74,54.326,100
75,54.480,100
76,54.480,100
77,54.480,100
78,55.895,100
79,55.895,100
80,56.095,100
81,56.095,100
82,56.095,100
83,56.095,100
84,56.320,100
85,56.320,100
86,56.320,100
87,56.320,100
88,56.819,100
89,56.819,100
90,56.819,100
91,56.819,100
92,56.819,100
93,57.439,100
94,57.439,100
95,57.439,100
96,57.439,100
97,58.160,100
98,58.160,100
99,58.160,100
100,58.160,100
101,58.160,100
102,58.774,100
103,56.789,100
104,56.789,100
105,56.789,100
106,57.472,100
107,57.472,100
108,57.472,100
109,57.472,100
110,57.472,100
111,58.361,100
112,58.361,100
113,58.361,100
114,58.361,100
115,58.361,100
116,59.082,100
117,54.777,100
118,54.777,100
119,54.777,100
120,54.777,100
121,55.263,100
122,55.263,100
123,55.263,100
124,55.263,100
125,52.353,200
126,52.353,200
127,52.585,200
128,51.588,200
129,51.588,200
130,51.662,200
131,50.234,200
132,50.234,200
