# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 高尾山 (緯度35.631094, 経度139.256094, 観測者標高469.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.123,32500
1,-0.115,32500
2,-0.166,32000
3,-0.277,31200
4,-0.254,30900
5,-0.299,30700
6,-0.345,30300
7,-0.380,30800
8,-0.444,29700
9,-0.582,29500
10,-0.659,48400
11,-0.672,48600
12,-0.618,42100
13,-0.638,42000
14,-0.663,50000
15,-0.677,50000
16,-0.685,50000
17,-0.678,49700
18,-0.651,49800
19,-0.673,49900
20,-0.692,49100
21,-0.239,200
22,-0.239,200
23,0.082,200
24,0.085,200
25,0.085,200
26,0.082,200
27,0.082,200
28,0.008,200
29,0.065,200
30,0.065,200
31,-0.087,200
32,-0.087,200
33,0.355,100
34,0.355,100
35,0.710,100
36,0.710,100
37,0.710,100
38,0.899,100
39,0.899,100
40,0.899,100
41,0.899,100
42,0.802,100
43,0.802,100
44,0.412,100
45,0.412,100
46,0.412,100
47,0.412,100
48,0.040,100
49,0.040,100
50,0.040,100
51,-0.722,50000
52,-0.724,49700
53,-0.724,49700
54,-0.723,50000
55,-0.723,50000
56,-0.727,50000
57,-0.725,50000
58,-0.720,49300
59,-0.719,49800
60,-0.716,50000
61,-0.716,50000
62,-0.719,49600
63,-0.721,49400
64,-0.725,50000
65,-0.728,50000
66,-0.728,50000
67,-0.730,50000
68,-0.730,50000
69,-0.731,50000
70,-0.731,50000
71,-0.731,50000
72,-0.732,50000
73,-0.732,50000
74,-0.729,49900
75,-0.730,47000
76,-0.728,47400
77,-0.732,50000
78,-0.729,48200
79,-0.731,50000
80,-0.732,50000
81,-0.732,50000
82,-0.732,50000
83,-0.732,50000
84,-0.732,50000
85,-0.733,50000
86,-0.732,50000
87,-0.732,50000
88,-0.734,50000
89,-0.734,50000
90,-0.734,50000
91,-0.734,50000
92,-0.734,50000
93,-0.709,49900
94,-0.731,50000
95,-0.730,50000
96,-0.734,50000
97,-0.734,50000
98,-0.734,50000
99,-0.734,50000
100,-0.732,49000
101,-0.726,49700
102,-0.728,49900
103,-0.734,50000
104,-0.733,49700
105,-0.734,50000
106,-0.734,50000
107,-0.734,50000
108,-0.734,50000
109,-0.734,50000
110,-0.734,50000
111,-0.734,50000
112,-0.734,50000
113,-0.734,50000
114,-0.734,50000
115,-0.734,50000
116,-0.734,50000
117,-0.734,50000
118,-0.734,50000
119,-0.734,50000
120,-0.734,50000
121,-0.734,50000
122,-0.734,50000
123,-0.734,50000
124,-0.734,50000
125,-0.734,50000
126,-0.734,50000
127,-0.734,50000
128,-0.724,41100
