# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 三浦湾展望台 (緯度34.192385, 経度139.144698, 観測者標高177.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.732,1300
1,4.715,1400
2,4.650,1400
3,4.383,1400
4,4.257,1500
5,4.299,1500
6,4.152,1500
7,3.871,1500
8,4.356,3200
9,4.882,3100
10,5.448,3100
11,5.948,3100
12,6.340,3100
13,6.568,3100
14,6.983,3100
15,7.527,2600
16,7.459,2600
17,7.282,2600
18,7.194,2400
19,7.400,2400
20,7.531,2400
21,7.237,2300
22,7.200,2800
23,7.315,2800
24,7.370,2500
25,7.357,2500
26,7.616,2400
27,7.645,2400
28,7.436,2400
29,7.183,2400
30,7.180,2900
31,7.013,2700
32,7.094,2800
33,6.621,2700
34,6.242,2600
35,5.465,2600
36,4.747,2600
37,3.546,2600
38,2.889,3000
39,2.545,3000
40,2.194,3000
41,2.055,3000
42,1.496,3000
43,2.104,3000
44,2.107,3000
45,1.556,3000
46,0.985,3000
47,0.413,3000
48,-0.256,3000
49,-0.399,50000
50,-0.399,50000
51,-0.312,3200
52,0.217,3200
53,0.216,3200
54,-0.020,3200
55,-0.366,3100
56,-0.399,50000
57,-0.399,50000
58,-0.399,50000
59,-0.399,50000
60,-0.399,50000
61,-0.399,50000
62,-0.399,50000
63,-0.399,50000
64,-0.399,50000
65,-0.399,50000
66,-0.399,50000
67,-0.399,50000
68,-0.399,50000
69,-0.399,50000
70,-0.399,50000
71,-0.399,50000
72,-0.399,50000
73,-0.399,50000
74,-0.399,50000
75,-0.399,50000
76,-0.399,50000
77,-0.399,50000
78,-0.399,50000
79,-0.399,50000
80,-0.399,50000
81,-0.399,50000
82,-0.399,50000
83,-0.399,50000
84,-0.399,50000
85,-0.399,50000
86,-0.399,50000
87,-0.399,50000
88,-0.399,50000
89,-0.399,50000
90,-0.399,50000
91,-0.399,50000
92,-0.399,50000
93,-0.399,50000
94,-0.399,50000
95,-0.399,50000
96,-0.399,50000
97,-0.399,50000
98,-0.399,50000
99,-0.399,50000
100,-0.399,50000
101,-0.399,50000
102,-0.352,37000
103,-0.212,36800
104,0.016,37100
105,0.118,37100
106,0.370,37300
107,0.682,36800
108,0.626,36300
109,0.641,36400
110,0.594,37300
111,0.341,37400
112,0.364,36300
113,0.240,36200
114,0.039,36400
115,-0.229,35200
116,-0.352,34900
117,-0.399,50000
118,-0.399,50000
119,-0.399,50000
120,-0.399,50000
121,-0.399,50000
122,-0.399,50000
123,-0.399,50000
124,-0.399,50000
125,-0.399,50000
126,-0.399,50000
127,-0.399,50000
128,-0.399,50000
129,-0.399,50000
130,-0.399,50000
131,-0.399,50000
132,-0.399,50000
133,-0.399,50000
134,-0.399,50000
135,-0.399,50000
136,-0.399,50000
137,-0.399,50000
138,-0.399,50000
139,-0.399,50000
140,-0.399,50000
141,-0.399,50000
142,-0.399,50000
143,-0.399,50000
144,-0.399,50000
145,-0.399,50000
146,-0.399,50000
147,-0.399,50000
148,-0.399,50000
149,-0.399,50000
150,-0.399,50000
151,-0.399,50000
152,-0.399,50000
153,-0.399,50000
154,-0.399,50000
155,-0.399,50000
156,-0.399,50000
157,-0.399,50000
158,-0.399,50000
159,-0.399,50000
160,-0.399,50000
161,-0.399,50000
162,-0.399,50000
163,-0.399,50000
164,-0.399,50000
165,-0.399,50000
166,-0.399,50000
167,-0.399,50000
168,-0.399,50000
169,-0.399,50000
170,-0.399,50000
171,-0.399,50000
172,-0.399,50000
173,-0.399,50000
174,-0.399,50000
175,-0.399,50000
176,-0.399,50000
177,-0.399,50000
178,-0.399,50000
179,-0.399,50000
180,-0.399,50000
181,-0.399,50000
182,-0.399,50000
183,-0.399,50000
184,-0.399,50000
185,-0.399,50000
186,-0.399,50000
187,-0.399,50000
188,-0.399,50000
189,-0.399,50000
190,-0.399,50000
191,-0.161,100
192,-0.161,100
193,-0.161,100
194,-0.161,100
195,0.739,100
196,0.739,100
197,0.739,100
198,0.739,100
199,0.739,100
200,1.655,100
201,1.655,100
202,1.655,100
203,1.655,100
204,1.655,100
205,2.382,100
206,5.086,100
207,5.086,100
208,5.086,100
209,5.086,100
210,5.954,100
211,5.954,100
212,5.954,100
213,5.954,100
214,5.954,100
215,10.542,100
216,10.542,100
217,10.542,100
218,10.542,100
219,10.542,100
220,10.542,100
221,10.962,100
222,13.658,100
223,13.658,100
224,13.658,100
225,13.658,100
226,13.658,100
227,13.874,100
228,13.874,100
229,14.837,100
230,14.837,100
231,14.837,100
232,14.837,100
233,14.837,100
234,15.812,100
235,15.987,100
236,15.987,100
237,15.987,100
238,15.987,100
239,15.987,100
240,17.071,100
241,17.071,100
242,17.071,100
243,17.401,100
244,17.401,100
245,19.545,100
246,19.545,100
247,19.545,100
248,19.545,100
249,19.545,100
250,22.797,100
251,22.797,100
252,22.797,100
253,22.797,100
254,22.797,100
255,25.929,100
256,27.271,100
257,27.271,100
258,27.271,100
259,27.995,100
260,27.995,100
261,27.995,100
262,27.995,100
263,27.995,100
264,27.981,100
265,27.981,100
266,27.981,100
267,27.981,100
268,27.357,100
269,27.357,100
270,27.357,100
271,27.357,100
272,27.357,100
273,25.734,100
274,25.734,100
275,25.734,100
276,25.734,100
277,24.075,100
278,24.075,100
279,24.075,100
280,24.075,100
281,24.075,100
282,22.680,100
283,22.680,100
284,22.680,100
285,21.256,100
286,21.256,100
287,20.420,100
288,20.420,100
289,20.420,100
290,20.420,100
291,20.120,200
292,20.120,200
293,20.641,200
294,20.678,200
295,21.111,200
296,21.111,200
297,21.111,200
298,21.551,200
299,20.811,200
300,21.260,200
301,21.260,200
302,21.260,200
303,20.631,200
304,20.631,200
305,20.909,200
306,20.909,200
307,19.684,200
308,19.735,200
309,19.735,200
310,19.735,200
311,18.306,200
312,18.306,200
313,18.306,200
314,17.158,300
315,16.464,200
316,16.464,200
317,15.875,200
318,15.125,100
319,14.380,200
320,14.380,200
321,14.002,400
322,14.064,400
323,14.207,400
324,13.931,400
325,13.757,400
326,13.757,400
327,13.436,400
328,12.895,400
329,12.110,400
330,12.110,400
331,11.369,400
332,10.955,500
333,10.569,500
334,10.204,500
335,9.528,500
336,8.923,500
337,8.273,500
338,7.779,600
339,7.253,600
340,6.955,600
341,6.259,600
342,5.460,600
343,4.285,500
344,3.909,500
345,3.435,500
346,2.848,600
347,2.169,600
348,1.554,600
349,1.574,700
350,1.631,700
351,1.797,700
352,1.756,1300
353,2.906,1300
354,3.597,1300
355,3.930,1300
356,4.358,1300
357,4.550,1300
358,4.547,1400
359,4.611,1400
