# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 八丈富士 (緯度33.137349, 経度139.767181, 観測者標高836.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-1.154,50000
1,-1.154,50000
2,-1.154,50000
3,-1.154,50000
4,-1.154,50000
5,-1.154,50000
6,-1.154,50000
7,-1.154,50000
8,-1.154,50000
9,-1.135,200
10,-1.154,50000
11,2.468,100
12,2.468,100
13,2.468,100
14,2.468,100
15,2.468,100
16,2.811,100
17,2.811,100
18,2.811,100
19,2.811,100
20,2.885,100
21,2.033,100
22,2.033,100
23,2.033,100
24,2.033,100
25,2.033,100
26,0.292,100
27,0.292,100
28,0.292,100
29,0.292,100
30,0.292,100
31,-1.154,50000
32,-1.154,50000
33,-1.154,50000
34,-1.154,50000
35,-1.154,50000
36,-1.154,50000
37,-1.154,50000
38,-1.154,50000
39,-1.154,50000
40,-1.154,50000
41,-1.154,50000
42,-1.154,50000
43,-1.154,50000
44,-1.154,50000
45,-1.154,50000
46,-1.154,50000
47,-1.154,50000
48,-1.154,50000
49,-1.154,50000
50,-1.154,50000
51,-1.154,50000
52,-1.154,50000
53,-1.154,50000
54,-1.154,50000
55,-1.154,50000
56,-1.154,50000
57,-1.154,50000
58,-1.154,50000
59,-1.154,50000
60,-1.154,50000
61,-1.154,50000
62,-1.154,50000
63,-1.154,50000
64,-1.154,50000
65,-1.154,50000
66,-1.154,50000
67,-1.154,50000
68,-1.154,50000
69,-1.154,50000
70,-1.154,50000
71,-1.154,50000
72,-1.154,50000
73,-1.154,50000
74,-1.154,50000
75,-1.154,50000
76,-1.154,50000
77,-1.154,50000
78,-1.154,50000
79,-1.154,50000
80,-1.154,50000
81,-1.154,50000
82,-1.154,50000
83,-1.154,50000
84,-1.154,50000
85,-1.154,50000
86,-1.154,50000
87,-1.154,50000
88,-1.154,50000
89,-1.154,50000
90,-1.154,50000
91,-1.154,50000
92,-1.154,50000
93,-1.154,50000
94,-1.154,50000
95,-1.154,50000
96,-1.154,50000
97,-1.154,50000
98,-1.154,50000
99,-1.154,50000
100,-1.154,50000
101,-1.154,50000
102,-1.154,50000
103,-1.154,50000
104,-1.154,50000
105,-1.154,50000
106,-1.154,50000
107,-1.154,50000
108,-1.154,50000
109,-1.154,50000
110,-1.154,50000
111,-1.154,50000
112,-1.154,50000
113,-1.154,50000
114,-1.154,50000
115,-1.154,50000
116,-1.154,50000
117,-1.154,50000
118,-1.154,50000
119,-1.154,50000
120,-1.154,50000
121,-1.154,50000
122,-1.154,50000
123,-1.154,50000
124,-1.154,50000
125,-1.154,50000
126,-1.154,50000
127,-1.154,50000
128,-1.154,50000
129,-1.154,50000
130,-1.154,50000
131,-1.154,50000
132,-1.154,50000
133,-1.154,50000
134,-1.154,50000
135,-1.154,50000
136,-1.154,50000
137,-1.154,50000
138,-1.154,50000
139,-1.154,50000
140,-1.154,50000
141,-1.154,50000
142,-1.154,50000
143,-1.154,50000
144,-1.154,50000
145,-1.154,50000
146,-1.154,50000
147,-1.154,50000
148,-1.154,50000
149,-1.154,50000
150,-1.154,50000
151,-1.154,50000
152,-1.154,50000
153,-1.154,50000
154,-1.154,50000
155,-1.154,50000
156,-1.154,50000
157,-1.154,50000
158,-1.154,50000
159,-1.154,50000
160,-1.154,50000
161,-1.154,50000
162,-1.154,50000
163,-1.154,50000
164,-1.154,50000
165,-1.154,50000
166,-1.154,50000
167,-1.154,50000
168,-1.154,50000
169,-1.154,50000
170,-1.154,50000
171,-1.154,50000
172,-1.154,50000
173,-1.154,50000
174,-1.154,50000
175,-1.154,50000
176,-1.154,50000
177,-1.154,50000
178,-1.154,50000
179,-1.154,50000
180,-1.154,50000
181,-1.154,50000
182,-1.154,50000
183,-1.154,50000
184,-1.154,50000
185,-1.154,50000
186,-1.154,50000
187,-1.154,50000
188,-1.154,50000
189,-1.154,50000
190,-1.154,50000
191,-1.154,50000
192,-1.154,50000
193,-1.154,50000
194,-1.154,50000
195,-1.154,50000
196,-1.154,50000
197,-1.154,50000
198,-1.154,50000
199,-1.154,50000
200,-1.154,50000
