# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 安房埼灯台 (緯度35.129126, 経度139.630059, 観測者標高0.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.516,1300
1,1.508,1300
2,1.484,1300
3,1.431,1300
4,1.383,1300
5,1.385,1300
6,1.385,1300
7,1.373,1300
8,1.365,1300
9,1.358,1300
10,1.346,1300
11,1.340,1300
12,1.327,1300
13,1.316,2600
14,1.339,3700
15,1.333,3800
16,1.287,2700
17,1.293,2900
18,1.293,2900
19,1.202,2900
20,1.273,3100
21,1.330,3300
22,1.292,3000
23,1.271,3100
24,1.113,2000
25,1.245,3400
26,1.313,3400
27,1.523,2800
28,1.619,2800
29,1.510,2800
30,1.354,2900
31,1.316,2900
32,1.377,2900
33,1.548,2900
34,1.343,2900
35,1.245,3000
36,1.153,3000
37,1.063,2900
38,1.070,1700
39,1.036,1700
40,1.026,1800
41,1.055,1700
42,1.175,1500
43,1.185,1500
44,1.123,1500
45,1.039,1700
46,0.951,1800
47,0.991,1900
48,1.047,1800
49,1.181,1800
50,1.247,1800
51,1.143,1800
52,0.877,1900
53,1.155,1800
54,1.286,1800
55,1.027,1800
56,0.659,2600
57,0.642,2700
58,0.643,3000
59,0.683,2500
60,0.814,2500
61,0.782,2600
62,0.752,2600
63,0.715,2700
64,0.676,2800
65,0.639,3200
66,0.569,3300
67,0.520,3300
68,0.383,4200
69,0.322,4100
70,0.401,3900
71,0.332,21200
72,0.431,21200
73,0.317,21300
74,0.343,20100
75,0.374,21100
76,0.437,22900
77,0.396,21000
78,0.424,26000
79,0.417,22800
80,0.786,19300
81,0.508,24500
82,0.620,23000
83,0.518,24800
84,0.466,24900
85,0.435,31500
86,0.485,27500
87,0.439,27500
88,0.443,25700
89,0.467,25700
90,0.452,27400
91,0.391,29200
92,0.432,32400
93,0.559,32100
94,0.488,26400
95,0.592,21500
96,0.295,27900
97,0.288,32300
98,0.621,23200
99,0.734,23300
100,0.522,28900
101,0.498,28900
102,0.536,28700
103,0.352,27400
104,0.400,21300
105,0.425,22200
106,0.344,28200
107,0.319,24200
108,0.367,20300
109,0.326,23200
110,0.339,23900
111,0.250,24300
112,0.244,23800
113,0.210,24900
114,0.221,21700
115,0.120,24100
116,0.107,25600
117,0.078,23300
118,0.016,31100
119,0.157,22100
120,0.164,19500
121,0.090,20200
122,0.044,31000
123,0.090,30300
124,0.060,33100
125,0.096,30800
126,0.147,34400
127,0.188,34600
128,0.172,32300
129,0.169,31700
130,0.167,31500
131,0.154,31500
132,0.206,27200
133,0.155,25900
134,0.149,24900
135,0.153,25200
136,0.126,24600
137,0.127,24600
138,0.119,24800
139,0.115,25300
140,0.154,24700
141,0.108,23700
142,0.146,22300
143,0.260,23000
144,0.358,23000
145,0.291,22800
146,0.255,22100
147,0.088,21500
148,-0.025,3200
149,-0.025,3200
150,-0.025,3200
151,-0.025,3200
152,-0.025,3200
153,-0.025,3200
154,-0.025,3200
155,-0.025,3200
156,-0.025,3200
157,-0.025,3200
158,-0.025,3200
159,-0.025,3200
160,-0.025,3200
161,-0.025,3200
162,-0.025,3200
163,-0.025,3200
164,-0.025,3200
165,-0.025,3200
166,-0.025,3200
167,-0.025,3200
168,-0.025,3200
169,-0.025,3200
170,-0.025,3200
171,-0.025,3200
172,-0.025,3200
173,-0.025,3200
174,-0.025,3200
175,-0.025,3200
176,-0.025,3200
177,-0.025,3200
178,-0.025,3200
179,-0.025,3200
180,-0.025,3200
181,-0.025,3200
182,-0.025,3200
183,-0.025,3200
184,-0.025,3200
185,-0.025,3200
186,-0.025,3200
187,-0.025,3200
188,-0.025,3200
189,-0.025,3200
190,-0.025,3200
191,-0.025,3200
192,-0.025,3200
193,-0.025,3200
194,-0.025,3200
195,-0.025,3200
196,-0.025,3200
197,-0.025,3200
198,-0.025,3200
199,-0.025,3200
200,-0.025,3200
201,0.222,49700
202,0.264,48900
203,0.435,50000
204,0.566,50000
205,0.545,49300
206,0.617,49900
207,0.467,48800
208,0.462,48500
209,0.198,47400
210,0.076,46600
