# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 丹沢湖 (緯度35.417618, 経度139.048172, 観測者標高360.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,10.144,900
1,10.068,900
2,9.927,900
3,9.802,900
4,9.658,900
5,9.179,1000
6,8.829,900
7,8.830,1300
8,9.093,1000
9,9.706,400
10,10.550,400
11,11.158,400
12,11.468,400
13,11.666,400
14,11.835,400
15,13.061,200
16,13.061,200
17,15.734,200
18,15.734,200
19,15.734,200
20,16.404,200
21,16.404,200
22,16.901,200
23,16.901,200
24,17.505,200
25,17.505,200
26,19.677,100
27,19.677,100
28,19.677,100
29,19.677,100
30,21.231,100
31,21.231,100
32,21.231,100
33,21.231,100
34,21.231,100
35,24.924,100
36,25.831,100
37,25.831,100
38,25.831,100
39,25.831,100
40,25.831,100
41,25.785,100
42,28.898,100
43,28.898,100
44,28.898,100
45,28.898,100
46,28.898,100
47,28.391,100
48,30.642,100
49,30.642,100
50,30.642,100
51,30.642,100
52,30.642,100
53,30.642,100
54,32.725,100
55,32.725,100
56,32.725,100
57,32.725,100
58,32.725,100
59,34.671,100
60,34.671,100
61,34.671,100
62,34.671,100
63,35.111,100
64,35.321,100
65,35.321,100
66,35.321,100
67,35.321,100
68,35.321,100
69,34.469,100
70,34.469,100
71,34.469,100
72,34.469,100
73,34.469,100
74,32.761,100
75,33.249,100
76,33.249,100
77,33.249,100
78,33.249,100
79,31.869,100
80,31.869,100
81,31.869,100
82,31.869,100
83,30.557,100
84,30.557,100
85,30.557,100
86,30.557,100
87,30.557,100
88,29.288,100
89,29.288,100
90,29.288,100
91,29.288,100
92,28.231,100
93,28.231,100
94,28.231,100
95,28.231,100
96,28.231,100
97,27.099,100
98,27.099,100
99,27.099,100
100,27.099,100
101,25.449,100
102,25.449,100
103,25.449,100
104,25.449,100
105,25.449,100
106,20.701,100
107,20.701,100
108,20.701,100
109,20.701,100
110,18.149,100
111,18.149,100
112,18.149,100
113,18.149,100
114,18.149,100
115,15.737,100
116,15.737,100
117,15.737,100
118,14.214,100
119,14.214,100
120,12.434,100
121,12.434,100
122,12.434,100
123,12.434,100
124,12.434,100
125,10.641,100
126,10.641,100
127,9.095,100
128,9.095,100
129,9.095,100
130,9.095,100
131,7.742,400
132,8.237,2200
133,8.456,2200
134,7.729,2200
135,7.158,2200
136,6.889,2200
137,7.218,2200
138,7.552,2200
139,7.680,2200
140,8.203,2200
141,8.630,2200
142,8.681,2100
143,8.047,2100
144,7.311,2000
145,7.067,1900
146,6.761,2400
147,6.812,2400
148,6.538,2400
149,6.120,2300
150,6.241,2500
151,6.304,2600
152,6.560,2600
153,6.688,2600
154,6.565,2600
155,6.121,2600
156,5.810,2500
157,5.904,2500
158,5.660,2500
159,5.455,2400
160,5.107,2700
161,4.760,2700
162,5.186,2700
163,5.532,2700
164,5.814,2700
165,5.831,2700
166,5.745,2800
167,5.585,2800
168,5.202,2800
169,4.972,3300
170,5.119,3300
171,5.127,2800
172,5.240,3400
173,5.402,3400
174,5.597,3100
175,5.966,3100
176,6.215,3200
177,6.029,3400
178,6.038,3400
179,5.907,3400
180,5.860,3500
181,5.776,3500
182,5.706,3500
183,5.503,3500
184,5.218,3500
185,4.755,3700
186,4.276,3800
187,3.782,3800
188,3.237,3800
189,2.690,3800
190,2.271,9300
191,2.133,15400
192,1.916,15000
193,2.226,15100
194,2.503,15000
195,2.912,14800
196,3.101,14800
197,2.932,14900
198,2.877,15000
199,2.714,15600
200,2.434,15400
201,2.358,17300
202,2.409,17300
203,2.061,17500
204,2.531,2200
205,3.097,2200
206,3.771,2200
207,4.438,2300
208,5.028,2300
209,5.047,2200
210,5.442,2200
211,5.953,2200
212,6.404,2200
213,6.669,2200
214,6.461,2200
215,6.566,2300
216,6.931,2300
217,7.012,2300
218,6.767,2300
219,6.257,2400
220,6.402,2700
221,6.996,2700
222,7.499,2700
223,7.641,2700
224,7.767,2700
225,8.082,2700
226,8.380,2700
227,8.651,2300
228,9.225,2400
229,9.706,2400
230,10.150,2400
231,10.576,2400
232,11.078,2400
233,11.252,2400
234,10.997,2400
235,10.615,2300
236,10.309,2300
237,9.870,2300
238,9.241,2300
239,9.021,2200
240,8.829,2200
241,8.335,2200
242,7.531,2200
243,7.072,4500
244,7.067,4500
245,6.718,4600
246,6.385,4700
247,6.066,4500
248,5.628,4400
249,5.289,4400
250,4.901,4800
251,4.637,4300
252,4.134,4700
253,4.577,28100
254,4.668,28100
255,5.116,29100
256,5.640,29200
257,6.116,29400
258,6.489,29200
259,6.445,29500
260,5.942,29200
261,5.387,29100
262,5.118,900
263,5.535,900
264,6.308,900
265,6.967,900
266,7.696,1100
267,8.281,1100
268,8.895,1100
269,9.726,1000
270,10.349,1000
271,10.521,1000
272,10.467,1000
273,10.272,1000
274,10.156,1000
275,9.967,1000
276,10.129,1100
277,10.819,1100
278,11.291,1100
279,11.315,1100
280,11.359,1100
281,11.246,1100
282,11.482,1100
283,12.215,1200
284,12.929,1200
285,13.539,1200
286,13.724,1200
287,13.667,1200
288,13.136,1200
289,12.451,1200
290,11.604,1300
291,11.223,1300
292,11.646,1800
293,11.662,1600
294,11.211,1600
295,11.336,2300
296,12.247,2300
297,12.648,2300
298,12.926,2300
299,13.133,2300
300,13.585,2100
301,14.276,2100
302,14.360,2300
303,15.032,2300
304,15.410,2200
305,15.436,2200
306,15.180,2200
307,14.955,2200
308,14.805,2100
309,14.698,2100
310,14.208,2100
311,13.966,2000
312,13.597,2000
313,13.606,1600
314,13.693,1600
315,13.400,1600
316,13.110,1600
317,12.885,1600
318,12.407,1600
319,12.002,1600
320,11.392,1600
321,10.799,1600
322,11.060,1500
323,11.180,1500
324,11.156,1500
325,11.159,1500
326,10.862,1500
327,10.597,1500
328,10.280,1500
329,10.206,1500
330,10.154,1500
331,9.761,1500
332,9.144,1600
333,8.741,1600
334,8.252,1600
335,9.358,100
336,9.358,100
337,9.358,100
338,9.358,100
339,8.578,4500
340,8.698,4300
341,8.376,400
342,8.753,400
343,9.050,400
344,9.281,400
345,9.073,400
346,8.967,400
347,8.839,400
348,8.839,400
349,8.714,400
350,7.961,400
351,7.801,100
352,7.801,100
353,7.714,800
354,8.012,900
355,8.690,900
