# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 菜の花台 (緯度35.410402, 経度139.210634, 観測者標高533.0m [DEMタイルから自動取得]; 2026-09-06 「ヤビツ峠」から改名。実際のヤビツ峠は樹林に囲まれ視界なし、星空撮影名所は少し下った菜の花台とユーザーが確認)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,13.240,100
1,13.240,100
2,13.240,100
3,13.766,100
4,13.766,100
5,13.766,100
6,13.766,100
7,16.509,100
8,16.509,100
9,16.509,100
10,16.509,100
11,16.509,100
12,17.296,100
13,17.296,100
14,17.296,100
15,17.296,100
16,17.296,100
17,18.138,100
18,18.138,100
19,18.138,100
20,18.138,100
21,19.101,100
22,19.101,100
23,19.101,100
24,21.762,100
25,21.762,100
26,22.782,100
27,22.782,100
28,22.782,100
29,22.782,100
30,22.782,100
31,23.879,100
32,23.879,100
33,25.678,100
34,25.678,100
35,25.678,100
36,25.678,100
37,26.367,100
38,26.367,100
39,26.367,100
40,26.367,100
41,27.352,100
42,27.910,100
43,27.910,100
44,27.910,100
45,27.910,100
46,27.910,100
47,27.424,100
48,27.424,100
49,28.409,100
50,28.409,100
51,28.409,100
52,28.409,100
53,27.488,100
54,27.488,100
55,27.488,100
56,29.401,100
57,29.401,100
58,29.401,100
59,28.625,100
60,28.625,100
61,28.625,100
62,28.625,100
63,28.625,100
64,24.013,100
65,26.862,100
66,26.862,100
67,26.862,100
68,26.862,100
69,23.079,100
70,23.079,100
71,23.079,100
72,23.079,100
73,22.323,100
74,22.323,100
75,22.323,100
76,22.323,100
77,22.323,100
78,20.986,100
79,22.328,100
80,22.328,100
81,22.328,100
82,19.915,100
83,19.915,100
84,19.915,100
85,19.915,100
86,19.915,100
87,13.295,100
88,13.295,100
89,13.295,100
90,13.295,100
91,9.360,200
92,9.360,200
93,9.394,200
94,9.394,200
95,9.937,200
96,9.937,200
97,9.937,200
98,9.756,200
99,9.756,200
100,9.327,200
101,9.327,200
102,8.695,200
103,8.695,200
104,8.005,200
105,8.005,200
106,8.005,200
107,7.716,200
108,7.716,200
109,7.042,200
110,7.042,200
111,6.387,200
112,6.387,200
113,6.387,200
114,5.795,200
115,5.795,200
116,4.915,200
117,4.915,200
118,4.915,200
119,3.938,200
120,3.938,200
121,2.856,200
122,2.856,200
123,2.756,200
124,1.678,200
125,1.678,200
126,1.678,200
127,0.601,200
128,0.601,200
129,-0.342,200
130,-0.342,200
131,-0.410,200
132,-0.806,50000
133,-0.806,50000
134,-0.806,50000
135,-0.806,50000
136,-0.806,50000
137,-0.806,50000
138,-0.806,50000
139,-0.806,50000
140,-0.806,50000
141,-0.806,50000
142,-0.806,50000
143,-0.806,50000
144,-0.806,50000
145,-0.806,50000
146,-0.806,50000
147,-0.806,50000
148,-0.806,50000
149,-0.806,50000
150,-0.806,50000
151,-0.806,50000
152,-0.806,50000
153,-0.806,50000
154,-0.806,50000
155,-0.806,50000
156,-0.806,50000
157,-0.806,50000
158,-0.806,50000
159,-0.806,50000
160,-0.806,50000
161,-0.806,50000
162,-0.806,50000
163,-0.806,50000
164,-0.806,50000
165,-0.806,50000
166,-0.806,50000
167,-0.806,50000
168,-0.806,50000
169,-0.806,50000
170,-0.806,50000
171,-0.806,50000
172,-0.806,50000
173,-0.806,50000
174,-0.806,50000
175,-0.806,50000
176,-0.806,50000
177,-0.806,50000
178,-0.806,50000
179,-0.806,50000
180,-0.806,50000
181,-0.806,50000
182,-0.806,50000
183,-0.806,50000
184,-0.806,50000
185,-0.806,50000
186,-0.806,50000
187,-0.806,50000
188,-0.806,50000
189,-0.675,49900
190,-0.644,50000
191,-0.780,50000
192,-0.802,50000
193,-0.683,48700
194,-0.475,44800
195,-0.253,49600
196,-0.263,49200
197,-0.233,49700
198,-0.216,49300
199,-0.174,48300
200,0.012,26500
201,0.132,26600
202,0.352,26600
203,0.465,26700
204,0.482,25800
205,0.579,26000
206,0.658,26200
207,0.790,26400
208,0.892,26300
209,0.771,27400
210,0.819,28400
211,0.730,29300
212,0.677,30700
213,0.908,26900
214,0.923,26900
215,1.082,26600
216,0.730,21700
217,0.942,26300
218,1.196,26600
219,1.632,26600
220,1.514,26600
221,1.779,26100
222,1.723,26000
223,1.501,20600
224,1.588,20500
225,1.634,20400
226,1.626,20500
227,1.377,20900
228,1.161,20800
229,0.942,22400
230,0.943,22200
231,0.955,22700
232,0.821,26000
233,1.114,26000
234,1.332,22900
235,1.416,23400
236,1.021,24200
237,0.860,24200
238,0.713,21600
239,0.821,41400
240,0.996,41900
241,0.862,42000
242,1.537,200
243,1.537,200
244,1.752,100
245,2.347,200
246,2.347,200
247,3.622,100
248,3.622,100
249,3.622,100
250,4.078,200
251,4.078,200
252,5.897,100
253,5.897,100
254,5.897,100
255,5.897,100
256,9.196,100
257,9.196,100
258,9.196,100
259,9.196,100
260,9.196,100
261,10.636,100
262,10.636,100
263,10.636,100
264,10.636,100
265,11.684,100
266,11.684,100
267,11.684,100
268,11.684,100
269,11.684,100
270,12.625,100
271,12.625,100
272,12.625,100
273,12.625,100
274,13.382,100
275,13.382,100
276,13.382,100
277,13.382,100
278,13.382,100
279,12.996,100
280,12.996,100
281,12.996,100
282,12.996,100
283,12.243,100
284,12.243,100
285,13.208,100
286,13.208,100
287,13.208,100
288,12.199,100
289,12.199,100
290,12.199,100
291,12.199,100
292,11.133,100
293,11.133,100
294,11.133,100
295,11.133,100
296,11.133,100
297,11.012,100
298,11.012,100
299,11.012,100
300,11.012,100
301,11.012,100
302,9.709,100
303,9.709,100
304,9.709,100
305,9.709,100
306,11.227,100
307,11.227,100
308,9.770,100
309,9.770,100
310,9.770,100
311,9.770,100
312,9.770,100
313,11.673,100
314,10.348,100
315,10.348,100
316,10.348,100
317,10.348,100
318,10.348,100
319,12.276,100
320,10.813,100
321,10.813,100
322,10.813,100
323,10.813,100
324,10.813,100
325,12.522,100
326,12.522,100
327,12.522,100
328,11.023,100
329,11.238,2700
330,12.413,100
331,12.413,100
332,12.413,100
333,12.413,100
334,12.413,100
335,13.512,100
336,13.512,100
337,11.925,100
338,11.925,100
339,11.925,100
340,12.811,100
341,12.811,100
342,12.811,100
343,12.811,100
344,12.811,100
345,13.495,100
346,13.495,100
347,13.495,100
348,13.495,100
349,13.495,100
350,14.025,100
351,14.025,100
352,14.025,100
353,14.025,100
354,12.778,100
355,12.778,100
356,12.778,100
357,12.778,100
358,12.778,100
359,13.240,100
