# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 真鶴半島 (緯度35.14136, 経度139.16047, 観測者標高10.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,2.140,37100
1,2.162,34600
2,2.071,34600
3,1.872,34600
4,1.796,35200
5,1.933,32900
6,1.680,32600
7,1.390,32800
8,1.303,31900
9,1.370,31800
10,1.597,34900
11,1.920,33900
12,1.580,33800
13,1.139,34100
14,1.033,33300
15,0.930,33300
16,0.845,30500
17,0.658,30600
18,0.539,30400
19,0.376,33300
20,0.292,22500
21,0.340,22500
22,0.249,22500
23,0.247,22700
24,0.285,22800
25,0.276,19300
26,0.354,23400
27,0.364,23300
28,0.243,24100
29,0.127,24000
30,0.057,22600
31,0.132,23100
32,0.104,23700
33,0.116,23900
34,0.266,23800
35,0.232,24600
36,0.248,24900
37,-0.072,23200
38,-0.097,12400
39,-0.094,37400
40,-0.094,37200
41,-0.089,34200
42,-0.071,34700
43,-0.072,35000
44,-0.070,34900
45,-0.074,33800
46,-0.073,33900
47,-0.066,34200
48,-0.087,34500
49,-0.089,36500
50,-0.087,37600
51,-0.080,39100
52,-0.081,37900
53,-0.074,39200
54,-0.087,45100
55,-0.097,12400
56,-0.075,36700
57,-0.063,36500
58,0.013,41900
59,-0.017,42000
60,-0.002,45000
61,-0.041,44300
62,-0.034,44200
63,-0.014,43800
64,-0.062,44400
65,-0.051,45100
66,-0.034,45200
67,-0.046,42200
68,0.023,42700
69,0.036,42100
70,0.035,44300
71,0.064,45300
72,0.055,43800
73,0.070,44500
74,0.116,44300
75,0.029,44400
76,-0.060,44900
77,-0.073,46600
78,-0.045,48800
79,0.030,45900
80,-0.042,46900
81,-0.097,12400
82,-0.097,12400
83,-0.097,12400
84,-0.097,12400
85,-0.097,12400
86,-0.079,43900
87,-0.082,43800
88,-0.094,43700
89,-0.097,12400
90,-0.097,12400
91,-0.097,12400
92,-0.097,12400
93,-0.097,12400
94,-0.097,12400
95,-0.097,12400
96,-0.097,12400
97,-0.097,12400
98,-0.097,12400
99,-0.097,12400
100,-0.097,12400
101,-0.097,12400
102,-0.097,12400
103,-0.097,12400
104,-0.097,12400
105,-0.097,12400
106,-0.097,12400
107,-0.097,12400
108,-0.097,12400
109,-0.097,12400
110,-0.097,12400
111,-0.097,12400
112,-0.097,12400
113,-0.097,12400
114,-0.097,12400
115,-0.097,12400
116,-0.097,12400
117,-0.097,12400
118,-0.097,12400
119,-0.097,12400
120,-0.097,12400
121,-0.097,12400
122,-0.097,12400
123,-0.097,12400
124,-0.097,12400
125,-0.097,12400
126,-0.097,12400
127,-0.097,12400
128,-0.097,12400
129,-0.097,12400
130,-0.097,12400
131,-0.097,12400
132,-0.097,12400
133,-0.097,12400
134,-0.097,12400
135,-0.097,12400
136,-0.097,12400
137,-0.097,12400
138,-0.097,12400
139,-0.097,12400
140,-0.097,12400
141,-0.097,12400
142,-0.097,12400
143,-0.097,12400
144,-0.097,12400
145,-0.097,12400
146,-0.097,12400
147,-0.097,12400
148,-0.097,12400
149,-0.097,12400
150,0.141,48700
151,0.262,48500
152,0.322,48900
153,0.399,48300
154,0.443,48600
155,0.482,50000
156,0.429,49300
157,0.173,49800
158,-0.033,50000
159,-0.097,12400
160,-0.097,12400
161,-0.097,12400
162,-0.097,12400
163,-0.097,12400
164,-0.097,12400
165,-0.097,12400
166,-0.097,12400
167,-0.097,12400
168,-0.097,12400
169,-0.097,12400
170,-0.097,12400
171,-0.097,12400
172,-0.097,12400
173,-0.075,11400
174,0.107,11500
175,0.168,11500
176,0.076,11300
177,-0.062,11000
178,-0.089,11000
179,-0.097,12400
180,-0.097,12400
181,-0.097,12400
182,-0.097,12400
183,-0.052,22800
184,0.108,24000
185,0.212,23800
186,0.348,22900
187,0.662,22600
188,0.522,24800
189,0.520,24300
190,0.571,26500
191,0.640,26700
192,0.816,26600
193,1.061,27100
194,0.768,26300
195,0.753,30400
196,0.861,31000
197,1.054,31200
198,1.238,31100
199,1.462,28900
200,1.577,31200
201,1.883,31500
202,2.022,31400
203,2.006,33700
204,1.979,33600
205,2.091,34100
206,2.100,34100
207,1.885,34400
208,1.763,35600
209,1.692,36700
210,1.672,36700
211,1.477,36800
212,1.369,19700
213,1.351,20900
214,1.469,20000
215,1.570,15900
216,1.658,15400
217,1.696,15500
218,1.707,15600
219,1.719,15800
220,1.715,15900
221,1.717,16100
222,1.740,15800
223,1.842,15900
224,1.949,15900
225,2.003,15700
226,1.953,15700
227,1.959,15600
228,1.945,15600
229,2.052,14200
230,2.158,14200
231,2.401,14000
232,2.303,14200
233,2.402,14200
234,2.570,14200
235,2.660,14300
236,2.789,14300
237,2.985,14100
238,2.992,13900
239,3.080,14000
240,3.051,13800
241,3.166,13800
242,3.100,13800
243,2.810,13600
244,2.882,12900
245,2.885,12900
246,3.014,12700
247,2.934,12500
248,2.864,12400
249,3.040,12000
250,3.077,12000
251,3.053,12000
252,3.048,11900
253,3.216,9000
254,5.307,100
255,5.307,100
256,5.307,100
257,5.307,100
258,5.307,100
259,7.666,100
260,7.666,100
261,7.666,100
262,7.666,100
263,10.724,100
264,10.724,100
265,10.724,100
266,10.724,100
267,10.724,100
268,17.885,100
269,17.885,100
270,17.885,100
271,17.885,100
272,21.613,100
273,21.613,100
274,21.613,100
275,21.613,100
276,21.613,100
277,21.776,100
278,21.776,100
279,21.776,100
280,21.776,100
281,21.954,100
282,21.954,100
283,21.954,100
284,21.954,100
285,21.954,100
286,22.121,100
287,22.121,100
288,22.121,100
289,22.121,100
290,22.121,100
291,22.141,100
292,22.141,100
293,22.141,100
294,22.141,100
295,22.116,100
296,22.116,100
297,22.116,100
298,22.116,100
299,22.116,100
300,22.067,100
301,21.870,100
302,21.870,100
303,21.870,100
304,21.870,100
305,21.870,100
306,21.816,100
307,21.816,100
308,21.816,100
309,21.504,100
310,21.504,100
311,21.211,100
312,21.211,100
313,21.211,100
314,21.211,100
315,21.211,100
316,20.284,100
317,20.284,100
318,19.443,100
319,19.443,100
320,19.443,100
321,19.443,100
322,18.190,100
323,18.190,100
324,18.190,100
325,17.223,100
326,17.223,100
327,15.472,100
328,15.472,100
329,15.472,100
330,15.472,100
331,15.472,100
332,15.472,100
333,11.711,100
334,11.711,100
335,11.711,100
336,11.711,100
337,11.711,100
338,9.263,100
339,9.263,100
340,9.263,100
341,9.263,100
342,6.769,100
343,6.769,100
344,6.769,100
345,6.769,100
346,5.023,100
347,2.553,100
348,2.553,100
349,2.553,100
350,2.553,100
351,2.553,100
352,2.254,37800
353,1.918,37700
354,1.862,37500
355,1.985,37200
356,1.916,38200
357,2.324,38300
358,2.233,37800
359,2.270,37300
