# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 大観山展望台 (緯度35.184892, 経度139.048905, 観測者標高990.1m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.113,2500
1,0.785,10600
2,0.881,10400
3,0.748,36200
4,0.562,9900
5,0.401,9900
6,0.457,31000
7,0.709,31700
8,0.776,32600
9,0.793,33000
10,0.506,31000
11,0.532,36800
12,0.570,33300
13,0.624,34800
14,0.893,34400
15,0.892,34100
16,0.925,33700
17,0.718,34000
18,0.804,33800
19,0.687,32500
20,0.642,31700
21,0.521,31800
22,0.259,32100
23,0.165,31200
24,0.066,31000
25,0.251,30800
26,0.041,30500
27,-0.327,30500
28,-0.139,34300
29,-0.022,33700
30,0.249,33000
31,0.068,33100
32,-0.334,400
33,-0.128,400
34,-0.042,400
35,-0.010,400
36,-0.009,400
37,-0.009,400
38,-0.013,400
39,-0.070,400
40,-0.035,400
41,-0.080,400
42,-0.010,400
43,0.118,600
44,0.282,600
45,0.315,600
46,0.425,600
47,0.542,600
48,0.774,600
49,0.924,600
50,0.839,600
51,0.608,800
52,0.785,700
53,0.790,700
54,0.629,800
55,0.396,800
56,0.297,800
57,0.065,800
58,0.025,800
59,-0.232,800
60,-0.381,800
61,-0.634,800
62,-0.741,800
63,-0.195,100
64,-0.195,100
65,-0.195,100
66,-0.195,100
67,-0.195,100
68,0.292,100
69,0.292,100
70,0.292,100
71,0.292,100
72,0.286,100
73,0.286,100
74,0.286,100
75,0.286,100
76,0.286,100
77,-0.063,100
78,-0.063,100
79,-0.063,100
80,-0.063,100
81,-0.063,100
82,-1.077,100
83,-1.077,100
84,-1.077,100
85,-1.077,100
86,-1.330,50000
87,-1.330,50000
88,-1.330,50000
89,-1.330,50000
90,-1.330,50000
91,-1.330,50000
92,-1.330,50000
93,-1.330,50000
94,-1.330,50000
95,-1.330,50000
96,-1.330,50000
97,-1.330,50000
98,-1.330,50000
99,-0.550,100
100,-0.550,100
101,-0.550,100
102,-0.550,100
103,-0.550,100
104,-0.184,100
105,-0.184,100
106,-0.184,100
107,-0.184,100
108,-0.184,100
109,-0.264,100
110,-0.264,100
111,-0.264,100
112,-0.264,100
113,0.183,100
114,0.183,100
115,0.183,100
116,0.183,100
117,0.183,100
118,-0.820,100
119,-0.820,100
120,-0.820,100
121,-0.820,100
122,-0.820,100
123,-0.401,100
124,-0.401,100
125,-0.401,100
126,-0.401,100
127,-0.401,100
128,-0.401,100
129,-1.209,100
130,-0.642,100
131,-0.642,100
132,-0.642,100
133,-0.642,100
134,-0.642,100
135,-1.175,100
136,-1.175,100
137,-0.505,100
138,-0.505,100
139,-0.505,100
140,-0.505,100
141,-0.505,100
142,-0.929,100
143,0.017,100
144,0.017,100
145,0.017,100
146,0.017,100
147,0.017,100
148,0.527,100
149,0.086,100
150,0.086,100
151,0.086,100
152,0.086,100
153,0.429,100
154,0.429,100
155,0.429,100
156,0.429,100
157,0.429,100
158,0.693,100
159,0.315,100
160,0.315,100
161,0.315,100
162,0.315,100
163,0.475,100
164,0.475,100
165,0.475,100
166,0.475,100
167,0.475,100
168,0.492,100
169,0.492,100
170,0.492,100
171,0.492,100
172,0.406,100
173,0.406,100
174,0.406,100
175,0.406,100
176,0.406,100
177,0.235,100
178,0.235,100
179,0.235,100
180,0.235,100
181,0.108,100
182,0.153,34200
183,0.145,35700
184,0.303,36200
185,0.380,36000
186,0.336,35900
187,0.503,36000
188,0.400,36400
189,0.115,36700
190,0.152,36900
191,0.153,37000
192,0.230,37800
193,0.069,38200
194,-0.081,38600
195,-0.211,38400
196,-0.210,41200
197,-0.287,41400
