# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 本栖湖 (緯度35.464306, 経度138.585505, 観測者標高900.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,8.222,1400
1,8.744,1400
2,9.280,1400
3,9.398,1400
4,9.067,1400
5,8.368,1400
6,7.808,1400
7,7.781,1700
8,8.031,1700
9,8.075,1700
10,8.135,1800
11,8.460,1800
12,8.456,1800
13,8.298,1800
14,7.862,1900
15,8.041,2000
16,8.046,2100
17,8.309,2100
18,8.584,2100
19,8.756,2100
20,8.396,2400
21,8.939,2200
22,9.308,2300
23,10.004,2300
24,10.142,2300
25,9.957,2300
26,10.090,2300
27,10.150,2300
28,9.973,2300
29,9.690,2300
30,9.730,2200
31,9.552,2200
32,9.096,2200
33,8.775,2200
34,8.519,2200
35,8.774,2200
36,8.826,2200
37,8.829,2200
38,8.765,2200
39,8.552,2200
40,8.652,2100
41,9.447,2100
42,9.451,2100
43,9.971,2000
44,9.851,2000
45,9.317,2000
46,8.959,2000
47,8.532,2000
48,8.159,2000
49,7.819,2000
50,7.446,2000
51,7.226,2000
52,7.071,2100
53,6.881,2100
54,6.359,2100
55,5.820,2100
56,5.874,2000
57,6.057,2000
58,6.244,2000
59,5.775,2000
60,5.244,2000
61,4.987,2000
62,4.825,2000
63,4.249,2000
64,3.665,1900
65,3.269,2200
66,3.564,2300
67,2.867,2300
68,2.873,2400
69,2.876,2400
70,2.449,2400
71,2.572,2500
72,2.504,2500
73,2.123,11500
74,2.058,11700
75,1.812,11800
76,1.651,10200
77,1.232,10100
78,0.990,6400
79,1.034,6500
80,1.096,6600
81,1.164,6700
82,1.212,6600
83,1.280,6500
84,1.387,26800
85,1.363,6400
86,1.397,5100
87,1.440,5200
88,1.457,5200
89,1.511,4500
90,1.564,6500
91,1.648,6200
92,1.703,6300
93,1.685,6300
94,1.696,4700
95,1.787,4800
96,1.821,4800
97,1.836,4800
98,1.855,6400
99,1.881,5400
100,1.925,7600
101,2.003,7700
102,2.045,7700
103,2.136,9600
104,2.227,7800
105,2.346,7800
106,2.704,6900
107,2.888,7000
108,3.144,6800
109,3.531,6800
110,3.938,6800
111,4.307,6700
112,4.657,6700
113,4.798,6700
114,4.626,6800
115,4.552,6800
116,4.569,6800
117,4.327,6700
118,4.757,15300
119,5.024,15300
120,5.107,15500
121,5.337,15600
122,5.765,16200
123,6.215,16400
124,6.685,16500
125,7.205,16700
126,7.736,16700
127,8.268,16900
128,8.711,16800
129,9.215,16900
130,9.372,16900
131,9.354,17000
132,9.218,17300
133,8.574,17300
134,7.917,17200
135,7.284,17100
136,6.670,17100
137,6.024,17000
138,5.471,16700
139,5.588,2300
140,5.318,2300
141,5.335,2300
142,5.217,2200
143,5.251,2200
144,5.359,2200
145,5.520,2200
146,5.859,2100
147,6.588,2100
148,7.018,2100
149,7.397,2100
150,7.641,2100
151,7.811,2100
152,8.068,2100
153,8.597,1400
154,9.464,1400
155,9.937,1400
156,10.378,1400
157,10.895,1400
158,11.346,1400
159,11.703,1400
160,12.271,1400
161,12.623,1400
162,12.836,1400
163,12.906,1400
164,13.421,1500
165,14.048,1800
166,14.537,1600
167,14.852,1600
168,15.225,1800
169,15.945,1700
170,16.068,1700
171,16.373,1800
172,16.504,1800
173,16.578,1800
174,16.658,1800
175,16.738,1700
176,16.775,1800
177,16.839,1800
178,16.791,1800
179,16.855,1800
180,16.703,1800
181,16.733,1900
182,16.743,1900
183,16.711,1900
184,16.649,1900
185,16.546,1900
186,16.667,1900
187,16.684,1900
188,16.440,1900
