# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 山中湖パノラマ台 (緯度35.412607, 経度138.909461, 観測者標高1093.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.974,4300
1,4.325,4300
2,4.350,4400
3,4.159,4500
4,3.843,4500
5,3.816,4400
6,3.496,4500
7,3.460,4600
8,3.020,4500
9,3.095,4700
10,2.948,7900
11,3.204,8000
12,3.460,8200
13,3.845,8300
14,3.873,8500
15,3.400,8500
16,2.658,8500
17,2.858,5400
18,2.381,5600
19,1.859,5600
20,1.550,4900
21,1.446,5600
22,1.463,13100
23,1.243,13100
24,1.497,13300
25,1.379,13300
26,1.558,13400
27,1.325,13500
28,1.046,13600
29,1.068,4800
30,1.327,4800
31,1.524,4700
32,1.801,4700
33,1.694,4700
34,1.660,5000
35,1.783,5200
36,1.740,5600
37,1.723,5800
38,1.612,6600
39,1.591,7100
40,1.506,7200
41,1.447,7300
42,1.453,7600
43,1.345,4800
44,1.614,8300
45,1.445,8400
46,1.500,8500
47,1.671,8400
48,1.810,8500
49,1.701,8300
50,1.562,400
51,1.848,400
52,1.893,400
53,2.239,500
54,2.695,500
55,3.103,500
56,3.346,500
57,3.646,500
58,3.855,500
59,4.157,500
60,4.443,500
61,4.612,500
62,4.879,500
63,5.037,500
64,5.339,500
65,5.560,500
66,6.019,500
67,6.243,500
68,6.430,500
69,6.747,500
70,6.876,500
71,7.143,500
72,7.210,500
73,7.474,600
74,7.686,600
75,8.089,600
76,8.445,600
77,8.894,700
78,9.063,700
79,9.411,700
80,9.587,700
81,10.063,700
82,10.243,700
83,10.623,700
84,10.812,700
85,11.252,700
86,11.839,700
87,12.026,700
88,12.367,700
89,12.540,700
90,12.917,700
91,13.126,700
92,13.585,700
93,14.101,700
94,14.301,700
95,14.560,700
96,14.710,700
97,14.977,700
98,15.044,700
99,15.109,700
100,15.012,700
101,14.947,700
102,14.868,700
103,14.813,700
104,14.546,700
105,14.504,700
106,14.233,700
107,14.146,700
108,13.775,700
109,13.704,600
110,13.414,600
111,13.334,600
112,12.841,600
113,12.679,600
114,12.477,500
115,12.289,600
116,12.248,100
117,12.320,100
118,12.320,100
119,12.381,400
120,12.349,400
121,12.570,300
122,12.942,100
123,12.942,100
124,12.942,100
125,12.942,100
126,12.872,300
127,12.872,300
128,12.817,300
129,12.817,300
130,12.970,300
131,12.745,100
132,12.801,300
133,12.499,300
134,12.603,300
135,12.117,100
136,12.117,100
137,12.117,100
138,12.117,100
139,11.288,100
140,11.288,100
141,11.288,100
142,11.288,100
143,11.288,100
144,11.288,100
145,10.342,100
146,10.342,100
147,10.204,100
148,10.204,100
149,10.204,100
150,9.347,100
151,9.347,100
152,9.347,100
153,9.347,100
154,9.347,100
155,8.947,1400
156,9.035,1400
157,9.028,1400
158,9.098,1400
159,9.207,1400
160,9.274,1400
161,9.321,1400
162,9.374,1400
163,9.427,1400
164,9.469,1400
165,9.412,1400
166,9.363,1400
167,9.314,1400
168,9.352,1500
169,9.318,1500
170,9.254,1500
171,9.151,1500
172,8.996,1500
173,8.764,1500
174,8.567,1600
175,8.509,1600
176,8.420,1600
177,8.331,1600
178,8.208,1600
179,8.137,1600
180,8.096,1500
181,7.985,1600
182,7.903,1600
183,8.079,1600
184,8.111,1600
185,8.102,1600
186,8.106,1600
187,8.046,1600
188,7.952,1600
189,7.867,1700
190,7.789,1700
191,7.753,1600
192,7.565,1600
193,7.467,1700
194,7.626,1700
195,7.637,1700
196,7.703,1700
197,7.769,1700
198,7.802,1800
199,7.835,1700
200,7.756,1700
201,7.515,1700
202,7.317,1700
203,7.136,1600
204,6.950,1600
205,6.707,1600
206,6.448,1600
207,6.247,1500
208,6.100,1500
209,5.980,1500
210,5.765,1500
211,5.505,1500
212,5.494,3000
213,5.297,3000
214,5.026,2900
215,4.727,2900
216,4.391,2900
217,4.073,2900
218,3.735,3000
219,3.469,3500
220,3.236,3500
221,2.944,3700
222,3.111,4200
223,3.533,4300
224,3.426,4200
225,3.287,4200
226,3.104,4100
227,3.023,4100
228,2.897,4000
229,2.766,4000
230,2.586,3900
231,2.363,3900
232,2.219,14700
233,2.609,14800
234,2.613,16300
235,2.996,15100
236,3.043,16300
237,3.440,16300
238,3.802,16100
239,4.211,16000
240,4.638,16000
241,5.081,16100
242,5.571,16200
243,5.631,16100
244,5.779,16200
245,6.176,16300
246,6.765,16600
247,7.156,16900
248,7.650,16900
249,8.073,16900
250,8.669,17000
251,8.799,16800
252,8.763,16900
253,8.643,17100
254,8.135,16800
255,7.550,16700
256,6.999,16500
257,6.543,16400
258,6.022,16500
259,5.611,16400
260,5.191,16400
261,4.817,16400
262,4.408,16300
263,4.228,16100
264,4.064,16200
265,3.753,16000
266,3.197,16100
267,2.712,16000
268,2.239,16000
269,2.102,16400
270,1.854,18700
271,1.657,18000
272,1.652,18000
273,1.415,18800
274,1.234,19100
275,1.116,19200
276,1.012,20400
277,0.854,18600
278,0.775,23400
279,0.659,18900
280,0.556,18200
281,0.448,17500
282,0.391,17300
283,0.317,17400
284,0.218,17500
285,0.157,29000
286,0.167,29700
287,0.183,49300
288,0.284,49200
289,0.198,29800
290,0.485,29700
291,0.338,28000
292,0.352,27800
293,0.531,27500
294,0.561,27300
295,1.034,26500
296,0.944,26200
297,0.984,25600
298,0.948,25000
299,1.358,24100
300,1.268,24100
301,1.365,23100
302,1.363,24100
303,1.094,23800
304,1.159,23700
305,1.058,23600
306,0.931,23200
307,1.048,23000
308,1.120,22700
309,1.276,22500
310,1.362,22200
311,1.194,22000
312,1.212,22000
313,1.259,4200
314,1.579,4300
315,2.032,3900
316,2.514,3900
317,2.853,4000
318,2.573,4000
319,2.407,4000
320,2.617,3900
321,2.684,3900
322,2.731,3800
323,2.641,3800
324,2.327,3700
325,2.306,3700
326,2.430,3700
327,2.504,3600
328,2.656,3600
329,2.509,3600
330,2.065,3600
331,2.218,9200
332,2.356,9100
333,2.654,8900
334,3.073,9000
335,3.097,8900
336,3.110,8900
337,2.893,8900
338,3.078,8800
339,3.363,8700
340,3.378,8700
341,3.315,8700
342,3.298,8900
343,2.787,9000
344,2.933,4100
345,3.123,4100
346,2.888,4200
347,3.085,4200
348,3.460,4400
349,3.809,4300
350,4.112,4300
351,3.980,4400
352,4.102,4400
353,3.907,4400
354,3.588,4400
355,3.951,4400
356,4.316,4300
357,4.270,4300
358,4.662,4200
359,4.385,4200
