# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 河口湖 (緯度35.51306, 経度138.744824, 観測者標高830.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,10.857,4200
1,11.340,4200
2,11.651,4200
3,11.609,4200
4,11.952,4300
5,12.357,4300
6,12.351,4200
7,12.201,4100
8,11.657,4100
9,11.878,4000
10,11.818,2500
11,12.014,2500
12,11.597,2500
13,11.503,2900
14,11.213,3000
15,10.828,3000
16,10.292,3000
17,9.694,3000
18,9.295,3000
19,8.922,3200
20,8.677,3200
21,8.702,3200
22,8.105,2000
23,7.897,2000
24,7.506,2000
25,7.406,5700
26,7.534,5700
27,7.468,5700
28,6.837,5500
29,6.397,5900
30,5.994,5900
31,6.488,1800
32,6.834,1800
33,6.909,1800
34,6.533,1800
35,5.771,1800
36,5.575,6200
37,5.774,6500
38,5.495,6600
39,5.493,6800
40,4.971,9000
41,4.982,7600
42,5.104,7500
43,5.095,7400
44,5.152,7400
45,5.360,4900
46,5.316,4900
47,5.420,5500
48,5.903,7100
49,6.369,7100
50,6.626,7100
51,6.968,7200
52,7.251,7300
53,7.475,6300
54,7.806,6400
55,7.935,6400
56,7.760,6300
57,7.628,6300
58,7.593,6300
59,7.260,6300
60,6.850,6300
61,6.596,6300
62,6.644,6300
63,6.587,6200
64,6.448,6100
65,6.534,6100
66,6.760,6000
67,6.405,6000
68,6.208,6000
69,6.138,6000
70,6.264,5900
71,5.974,5800
72,5.686,5800
73,5.607,5700
74,5.490,5500
75,5.604,5400
76,5.600,5400
77,5.431,5300
78,5.494,5000
79,5.668,4900
80,5.699,4700
81,5.641,4600
82,5.060,4400
83,5.101,4300
84,5.088,4200
85,5.180,4000
86,5.515,4100
87,5.630,4000
88,5.302,4000
89,5.428,3900
90,5.543,3800
91,5.508,3800
92,5.150,3800
93,4.735,3800
94,4.598,3800
95,4.443,3800
96,4.334,3900
97,4.225,3800
98,4.114,3800
99,4.107,3700
100,4.373,3700
101,4.771,3700
102,4.962,3600
103,4.905,3600
104,4.476,3600
105,4.525,3500
106,4.617,3500
107,4.804,3400
108,5.203,3400
109,4.992,3400
110,4.603,3100
111,4.117,3000
112,3.850,3000
113,3.401,3000
114,3.231,2900
115,2.616,2900
116,2.420,2800
117,2.367,2700
118,1.810,2700
119,1.654,15600
120,1.750,8700
121,1.715,8800
122,1.814,9000
123,1.781,8900
124,1.735,14700
125,1.642,9000
126,1.535,9100
127,1.426,500
128,1.402,500
129,1.402,500
130,1.420,600
131,1.480,600
132,1.458,19300
133,1.353,600
134,1.349,19300
135,1.451,19100
136,1.538,19100
137,1.484,19100
138,1.386,18900
139,1.383,18300
140,1.528,18700
141,1.426,18600
142,1.377,18600
143,1.355,300
144,1.355,300
145,1.486,300
146,1.563,300
147,1.563,300
148,1.647,300
149,1.647,300
150,1.713,300
151,1.754,12600
152,1.832,12600
153,1.902,12600
154,2.008,12600
155,2.057,12700
156,2.141,12800
157,2.214,13000
158,2.304,13200
159,2.414,12900
160,2.527,14400
161,2.663,14500
162,2.787,14500
163,2.936,14700
164,3.101,14000
