# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 美し森展望台 (緯度35.939651, 経度138.420884, 観測者標高1538.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.341,3000
1,3.197,3000
2,3.009,3000
3,2.886,2800
4,2.768,2800
5,2.611,2800
6,2.465,2700
7,2.330,2700
8,2.199,2800
9,2.068,2700
10,1.940,2600
11,1.806,2700
12,1.694,2700
13,1.567,2700
14,1.431,2700
15,1.307,2700
16,1.174,2600
17,1.047,2600
18,0.950,2600
19,0.836,2600
20,0.694,3200
21,0.597,3100
22,0.502,3100
23,0.443,3300
24,0.378,3300
25,0.313,3300
26,0.246,3300
27,0.179,3300
28,0.084,3300
29,0.006,3300
30,0.056,22200
31,0.319,22300
32,0.179,22200
33,0.209,22200
34,0.079,22100
35,0.160,22100
36,0.253,22200
37,0.269,22500
38,0.159,22500
39,0.202,22700
40,0.181,22700
41,0.174,22300
42,0.298,21900
43,0.081,22200
44,0.005,24200
45,0.028,24600
46,0.161,25200
47,0.156,25300
48,0.059,25300
49,0.086,24700
50,0.021,24800
51,0.082,24700
52,0.010,24700
53,0.032,20400
54,0.216,20300
55,0.592,20200
56,0.871,18900
57,1.191,19800
58,1.514,19800
59,1.193,19900
60,1.104,20200
61,1.017,20600
62,1.185,12900
63,1.068,21400
64,0.985,13200
65,0.706,13100
66,0.888,14400
67,1.076,14600
68,0.413,16600
69,0.479,23200
70,0.722,17200
71,0.807,17100
72,0.542,24600
73,0.851,24500
74,0.716,24800
75,0.794,22600
76,0.768,24200
77,0.792,25000
78,0.553,22800
79,0.498,26800
80,0.368,26700
81,0.353,15000
82,0.494,26500
83,0.434,26500
84,0.403,26800
85,0.439,27100
86,0.545,18200
87,0.800,18200
88,0.771,28000
89,1.267,17800
90,1.199,17700
91,1.188,13200
92,1.499,18000
93,1.589,18000
94,1.562,27600
95,1.828,27800
96,1.711,28000
97,2.010,15300
98,2.058,15500
99,2.298,17600
100,2.540,17600
101,2.775,17600
102,2.510,17600
103,2.544,17500
104,2.310,17400
105,2.370,17400
106,2.318,17500
107,2.331,20900
108,2.465,21000
109,2.485,21200
110,2.622,21200
111,2.721,20100
112,2.923,20000
113,2.818,19700
114,2.376,19700
115,2.100,19900
116,2.153,19900
117,1.875,19700
118,1.553,19700
119,1.216,19200
120,1.388,19200
