# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: みずがき山自然公園 (緯度35.896362, 経度138.573704, 観測者標高1481.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,7.519,1700
1,7.440,1700
2,7.699,1700
3,7.887,1700
4,7.736,1700
5,7.593,1700
6,7.439,1700
7,7.490,1400
8,7.810,1400
9,7.939,1400
10,8.113,2200
11,8.608,2200
12,8.636,2200
13,9.250,1500
14,9.578,1500
15,9.962,2400
16,10.132,2400
17,10.157,1500
18,10.405,1600
19,10.761,1600
20,11.360,1600
21,11.585,1600
22,10.881,1600
23,10.414,1600
24,10.613,2200
25,10.671,2300
26,10.970,700
27,11.278,700
28,12.222,700
29,12.638,700
30,13.051,700
31,13.879,700
32,14.341,700
33,14.714,700
34,15.320,700
35,15.310,700
36,15.320,700
37,15.713,700
38,16.015,700
39,16.242,700
40,16.293,700
41,16.322,700
42,16.688,700
43,17.011,700
44,17.314,700
45,17.381,700
46,16.900,700
47,16.031,700
48,16.245,800
49,16.479,800
50,16.788,800
51,17.214,800
52,18.044,800
53,18.309,800
54,18.691,800
55,19.369,800
56,19.927,800
57,19.754,800
58,19.601,800
59,18.751,800
60,18.200,800
61,17.195,1000
62,17.233,1000
63,17.823,1100
64,18.275,1100
65,18.484,1100
66,18.380,1100
67,17.926,1100
68,18.297,1200
69,19.045,1200
70,19.105,1200
71,18.873,1200
72,18.469,1200
73,18.257,1300
74,18.761,1300
75,19.399,1300
76,19.967,1300
77,20.086,1300
78,20.284,1300
79,20.327,1300
80,20.412,1300
81,20.468,1300
82,20.731,1300
83,20.928,1300
84,21.175,1300
85,21.484,1300
86,21.858,1300
87,22.270,1300
88,22.570,1300
89,23.926,1200
90,24.460,1200
91,24.922,1200
92,24.564,1200
93,24.165,1200
94,23.618,1300
95,23.036,1300
96,23.066,1400
97,23.362,1400
98,23.427,1400
99,23.421,1600
100,23.646,1600
101,23.768,1700
102,23.408,1600
103,23.101,1600
104,22.656,1600
105,22.470,600
106,22.654,600
107,22.164,900
108,22.559,900
109,22.138,900
110,21.133,600
111,21.004,700
112,20.497,700
113,20.128,700
114,20.128,700
115,19.771,700
116,19.544,700
117,19.302,700
118,19.042,700
119,18.763,700
120,18.286,700
121,18.008,700
122,17.614,700
123,16.607,700
124,16.121,700
125,15.519,700
126,14.528,700
127,13.893,700
128,13.311,700
129,12.881,700
130,12.664,600
131,12.941,600
132,12.817,600
133,12.330,600
134,11.442,600
135,10.714,2000
136,10.818,2000
137,10.784,2000
138,10.366,2000
139,9.941,1900
140,10.062,1900
141,9.423,1900
142,9.239,2000
143,9.065,2000
144,9.069,1400
145,8.806,1400
146,8.641,2000
147,8.497,2000
148,7.940,1200
149,8.242,1200
150,8.192,1200
151,7.904,1200
152,7.391,1200
153,6.767,1200
154,6.422,1100
155,6.868,1100
156,6.924,1100
157,6.845,1100
158,6.427,1100
159,6.130,1000
160,6.049,1000
161,5.544,1000
162,5.162,900
163,5.445,900
164,5.624,900
165,5.880,900
166,5.810,900
167,5.754,900
168,5.700,900
169,5.500,900
170,5.330,900
171,5.169,800
172,5.030,800
173,4.521,800
174,3.921,800
175,3.921,800
176,3.375,800
177,3.108,800
178,2.729,2400
179,3.165,2400
180,3.679,2400
181,4.253,2400
182,4.476,2400
183,4.520,2400
184,4.689,2500
185,4.534,2400
186,4.232,2300
187,4.544,2300
188,4.825,2300
189,4.738,2300
190,4.627,2300
191,4.468,2300
192,4.067,2300
193,4.143,2200
194,4.308,2200
195,4.305,2200
196,4.555,2200
197,4.615,2200
198,4.545,2200
199,4.455,2300
200,4.675,2300
201,4.299,2300
202,4.205,2400
203,3.927,2400
204,3.831,2400
205,3.856,2400
206,3.672,1700
207,3.969,1700
208,4.078,1700
209,3.638,1800
210,3.764,2600
211,3.761,2600
212,2.940,2600
213,3.015,2500
214,2.849,2500
215,2.564,2500
216,2.196,2500
217,1.598,2500
218,1.739,1800
219,1.709,1800
220,1.467,1800
221,1.416,33300
222,1.634,33200
223,1.746,33400
224,1.590,44000
225,1.851,43200
226,1.888,32900
227,2.130,32500
228,2.175,32500
229,2.058,32400
230,2.012,40900
231,2.354,39000
232,2.006,38500
233,1.680,37600
234,1.663,37200
235,1.429,37700
236,1.437,33900
237,1.659,34100
238,1.840,34600
239,1.963,35100
240,1.790,35300
241,2.021,40300
242,1.674,40700
243,2.162,34100
244,2.090,34100
245,1.781,34400
246,1.523,34700
247,1.709,35100
248,1.739,35300
249,1.607,35400
250,1.435,35600
251,1.264,35400
252,0.846,33200
253,0.718,37800
254,0.724,37700
255,0.878,37500
256,1.042,37200
257,0.914,36900
258,0.840,36500
259,0.753,36200
260,0.856,36500
261,0.888,36300
262,0.874,35600
263,0.836,35100
264,0.724,35100
265,0.760,36000
266,0.664,35300
267,0.573,36100
268,0.534,36900
269,0.537,36100
270,0.570,36300
271,0.346,36300
272,0.412,36500
273,0.309,7300
274,0.096,37000
275,0.139,18700
276,0.340,18800
277,0.591,18800
278,0.963,20300
279,1.309,20100
280,1.643,20000
281,1.991,20000
282,2.094,19000
283,2.309,19800
284,2.681,21200
285,3.081,19600
286,2.934,19800
287,3.326,20200
288,3.157,20300
289,2.912,20400
290,2.900,20400
291,2.643,20500
292,2.826,21000
293,3.404,20000
294,3.842,20100
295,3.701,20200
296,3.330,20200
297,3.472,4600
298,3.609,20400
299,3.553,20700
300,3.510,20800
301,3.178,20700
302,3.285,21600
303,3.038,21400
304,2.637,21200
305,2.583,23800
306,2.438,23900
307,2.107,24300
308,2.226,24800
309,2.064,24900
310,2.021,24000
311,1.896,24300
312,1.699,24500
313,1.735,3300
314,1.646,3300
315,1.858,3400
316,2.124,6400
317,1.958,6400
318,1.631,6400
319,1.413,3000
320,1.523,3000
321,1.683,2700
322,2.153,2700
323,2.393,2700
324,2.546,2700
325,2.744,3100
326,2.508,3000
327,3.009,3000
328,3.121,1900
329,3.375,1900
330,3.774,1900
331,3.969,1900
332,4.218,1900
333,4.482,1900
334,4.769,1900
335,5.258,1900
336,5.592,1900
337,5.816,1900
338,5.979,1900
339,6.061,1900
340,6.069,1900
341,6.227,1800
342,6.477,1800
343,6.425,1800
344,6.366,1900
345,6.671,2000
346,7.067,2000
347,7.197,2000
348,7.166,2000
349,6.693,1900
350,6.849,1900
351,6.937,1900
352,6.752,1900
353,6.983,1800
354,7.230,1800
355,7.301,1800
356,7.625,1700
357,7.938,1700
358,7.873,1700
359,7.743,1700
