# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 甘利山 (緯度35.683379, 経度138.382106, 観測者標高1630.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.483,33300
1,1.139,33300
2,0.879,31300
3,0.774,31200
4,0.454,31100
5,0.231,31500
6,0.095,31700
7,-0.070,33300
8,-0.167,33100
9,-0.266,31800
10,-0.352,31800
11,-0.418,34500
12,-0.486,32000
13,-0.540,31700
14,-0.461,28700
15,-0.269,28000
16,-0.166,27900
17,-0.149,27700
18,-0.107,27700
19,-0.203,49300
20,-0.140,49400
21,-0.109,27300
22,-0.102,27300
23,0.103,28900
24,0.075,37600
25,0.177,28900
26,0.217,29000
27,0.320,43500
28,0.271,43800
29,0.205,43900
30,0.223,44400
31,0.191,32600
32,0.088,44600
33,0.303,33100
34,0.416,32800
35,0.668,32500
36,0.667,32300
37,0.671,32200
38,0.879,32100
39,1.026,32200
40,1.146,32000
41,1.025,31200
42,0.743,30700
43,0.931,29800
44,1.076,29600
45,1.286,29700
46,1.538,30000
47,1.529,30700
48,1.559,31700
49,1.358,32100
50,1.210,32900
51,1.441,33300
52,1.497,33100
53,1.289,32500
54,1.137,32100
55,0.921,31800
56,0.836,31900
57,0.927,31800
58,0.916,30900
59,0.724,34500
60,0.642,34200
61,0.548,34000
62,0.493,33900
63,0.406,33800
64,0.345,46700
65,0.161,47400
66,0.107,48100
67,0.192,48200
68,0.173,48900
69,0.198,49300
70,0.105,49100
71,-0.026,48700
72,-0.169,38200
73,-0.102,38300
74,-0.070,42700
75,-0.115,40500
76,-0.086,40800
77,-0.103,40600
78,-0.068,41000
79,0.063,41700
80,0.373,42500
81,0.277,42900
82,0.179,43000
83,0.223,43500
84,0.184,43300
85,0.312,43000
86,0.287,43000
87,0.184,42900
88,0.255,43100
89,0.285,43200
90,0.150,43100
91,-0.138,42300
92,-0.022,42100
93,-0.033,42400
94,-0.159,42300
95,-0.226,42600
96,-0.216,42700
97,-0.375,42800
98,-0.289,42600
99,-0.737,41700
100,-0.522,40000
101,-0.566,38000
102,-0.892,38200
103,-0.615,34400
104,-0.409,35200
105,-0.513,43100
106,-0.518,41100
107,-0.212,40600
108,-0.239,39700
109,-0.292,39300
110,-0.136,41300
111,-0.033,41200
