# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 美ヶ原高原 (緯度36.230724, 経度138.140291, 観測者標高1934.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-1.381,46500
1,-1.477,46200
2,-1.608,50000
3,-1.520,50000
4,-1.533,49800
5,-1.607,50000
6,-1.907,50000
7,-1.799,31700
8,-1.687,31300
9,-1.601,31400
10,-1.365,31000
11,-1.453,31600
12,-1.539,31500
13,-1.501,31600
14,-1.443,38500
15,-1.570,38300
16,-1.457,31500
17,-1.444,27600
18,-1.276,36700
19,-1.189,33400
20,-0.911,36000
21,-0.787,36200
22,-0.867,36200
23,-0.773,36000
24,-0.849,35500
25,-0.710,34900
26,-0.807,34800
27,-0.638,50000
28,-0.747,50000
29,-0.652,41400
30,-0.437,43200
31,-0.204,42400
32,0.062,42300
33,0.166,42100
34,-0.019,41100
35,0.311,42000
36,0.121,42800
37,-0.147,40900
38,-0.202,41000
39,-0.452,42700
40,-0.613,40800
41,-0.678,34200
42,-0.509,34800
43,-0.325,33800
44,-0.147,34500
45,0.039,31500
46,0.137,32500
47,-0.104,31100
48,-0.190,35000
49,-0.291,34800
50,-0.368,32500
51,-0.036,34500
52,0.239,34500
53,0.242,35200
54,0.095,35300
55,-0.120,34900
56,0.096,34600
57,0.434,37400
58,0.547,36800
59,0.366,38900
60,0.711,39100
61,0.584,39300
62,0.163,39900
63,-0.143,39900
64,-0.480,39700
65,-0.679,38200
66,-0.553,49500
67,-0.612,49400
68,-0.624,49400
69,-0.814,49700
70,-0.820,48600
71,-0.915,48600
72,-1.056,44500
73,-1.113,48200
74,-1.301,47700
75,-1.263,48300
76,-1.205,47200
77,-1.270,47200
78,-1.205,46400
79,-1.183,46700
80,-1.179,46900
81,-1.128,39800
82,-1.102,41300
83,-1.099,41900
84,-1.213,41900
85,-1.146,40700
86,-1.068,40600
87,-0.972,41600
88,-1.066,42300
89,-1.167,41800
90,-1.130,42400
91,-1.174,42200
92,-0.948,44200
93,-0.922,44500
94,-0.961,46000
95,-1.005,43300
96,-1.064,45500
97,-1.194,41800
98,-1.127,40200
99,-1.150,38900
100,-1.059,39900
101,-1.074,41200
102,-0.972,40500
103,-0.942,45900
104,-0.828,42000
105,-0.855,47100
106,-0.872,47100
107,-0.832,47600
108,-0.631,47200
109,-0.532,46100
110,-0.556,42100
111,-0.589,42700
112,-0.565,42800
113,-0.577,42400
114,-0.364,1000
115,0.158,1000
116,0.622,1000
117,0.993,1000
118,1.279,1000
119,1.566,1000
120,1.894,1100
121,2.063,1000
122,2.127,1100
123,2.121,1100
124,2.146,1100
125,2.045,1100
126,2.177,600
127,2.282,600
128,2.456,600
129,2.528,600
130,2.588,600
131,2.616,600
132,2.961,800
133,3.337,800
134,3.432,800
135,3.451,800
136,3.440,800
137,3.400,800
138,3.295,800
139,3.322,700
140,3.300,800
141,3.267,800
142,3.058,800
143,2.889,800
144,2.640,800
145,2.567,600
146,2.636,600
147,2.766,600
148,2.871,300
149,3.130,300
150,3.429,300
151,3.737,300
152,3.878,300
153,4.193,300
154,4.448,200
155,4.741,200
156,4.874,300
157,4.918,400
158,5.007,300
159,5.378,200
160,5.585,200
161,5.585,200
162,5.585,200
163,5.764,200
164,5.764,200
165,5.917,200
166,5.917,200
167,6.460,200
168,6.460,200
169,6.576,200
170,6.576,200
171,6.576,200
172,6.658,200
173,6.658,200
174,6.681,200
175,6.681,200
176,6.684,200
177,6.684,200
178,6.695,200
179,6.695,200
180,6.695,200
181,6.706,200
182,6.706,200
183,6.712,200
184,6.712,200
185,6.729,200
186,6.729,200
187,6.735,200
188,6.735,200
189,6.771,200
190,6.771,200
191,6.771,200
192,6.831,200
193,6.831,200
194,6.489,200
195,6.489,200
196,6.494,200
197,6.494,200
198,6.494,200
199,6.514,200
200,6.514,200
201,6.582,200
202,6.294,200
203,6.455,200
204,6.455,200
205,6.455,200
206,6.460,200
207,6.194,200
208,6.679,100
209,6.679,100
210,6.206,200
211,6.240,200
212,6.135,100
213,6.735,100
214,6.735,100
215,6.735,100
216,6.735,100
217,6.735,100
218,6.118,100
219,6.797,100
220,6.797,100
221,6.797,100
222,6.797,100
223,6.797,100
224,6.797,100
225,6.842,100
226,6.842,100
227,6.842,100
228,6.842,100
229,6.842,100
230,6.842,100
231,6.760,200
232,6.701,200
233,6.701,200
234,6.701,200
235,6.763,200
236,6.763,200
237,6.656,200
238,6.656,200
239,6.853,200
240,6.746,200
241,6.746,200
242,6.636,200
243,6.822,200
244,6.822,200
245,6.709,200
246,6.709,200
247,6.596,200
248,6.596,200
249,6.800,200
250,6.695,200
251,6.695,200
252,6.605,200
253,6.666,300
254,6.670,300
255,6.678,300
256,6.788,200
257,6.678,300
258,6.734,400
259,6.864,300
260,7.008,400
261,7.092,400
262,7.107,400
263,7.107,400
264,7.102,400
265,7.078,400
266,7.004,400
267,6.898,400
268,6.766,400
269,6.684,400
270,6.622,400
271,6.584,400
272,6.550,400
273,6.515,400
274,6.515,400
275,6.468,400
276,6.395,400
277,6.286,400
278,6.185,400
279,6.076,400
280,5.927,400
281,5.567,400
282,5.434,400
283,5.434,400
284,5.302,400
285,5.171,400
286,4.850,400
287,4.742,400
288,4.636,400
289,4.352,400
290,4.205,400
291,4.205,400
292,4.021,400
293,3.605,400
294,3.278,400
295,2.679,400
296,2.321,400
297,2.321,400
298,1.625,400
299,1.287,400
300,0.948,300
301,0.700,300
302,0.678,43600
303,0.669,43500
304,0.657,45700
305,0.144,42700
306,-0.024,42300
307,0.287,50000
308,-0.163,50000
309,0.160,49800
310,0.073,49300
311,-0.173,50000
312,-0.018,50000
313,0.065,49800
314,0.050,50000
315,-0.471,49700
316,-0.812,47400
317,-0.692,49300
318,-0.265,49400
319,-0.098,50000
320,-0.611,49900
321,-0.691,50000
322,-0.933,49900
323,-0.977,47500
324,-0.909,48500
325,-1.042,49300
326,-0.929,50000
327,-1.185,46100
328,-1.111,47000
329,-1.184,46700
330,-1.348,49100
331,-1.315,49700
332,-1.425,49600
333,-1.349,49700
334,-1.303,50000
335,-1.340,47900
336,-1.138,31300
337,-1.258,30200
338,-1.169,29900
339,-1.098,30000
340,-1.124,30000
341,-1.349,29800
342,-1.369,29900
343,-1.345,50000
344,-1.268,49600
345,-1.097,49200
346,-0.908,48900
347,-0.883,47800
348,-1.083,47900
349,-1.047,48100
350,-1.103,47600
351,-1.168,47300
352,-1.097,46900
353,-1.022,46500
354,-1.051,46900
355,-1.155,47000
356,-1.210,47500
357,-1.499,46800
358,-1.344,50000
359,-1.383,50000
