# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 横手山ドライブイン (緯度36.669102, 経度138.518649, 観測者標高2062.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.473,600
1,0.748,600
2,1.016,600
3,1.565,600
4,1.882,600
5,2.582,600
6,2.875,600
7,3.240,600
8,3.776,600
9,3.982,600
10,4.158,600
11,4.368,600
12,4.618,600
13,4.626,600
14,4.644,600
15,4.892,600
16,4.886,600
17,5.060,500
18,5.471,500
19,5.828,500
20,6.211,500
21,6.554,500
22,6.842,500
23,7.161,500
24,7.506,500
25,7.862,500
26,8.324,500
27,11.095,100
28,11.095,100
29,11.095,100
30,11.095,100
31,11.282,400
32,12.615,100
33,13.197,100
34,13.265,500
35,13.964,500
36,14.660,500
37,15.117,500
38,15.967,500
39,16.779,500
40,17.123,500
41,17.445,500
42,17.992,500
43,18.506,500
44,18.707,500
45,19.310,400
46,19.701,500
47,20.150,400
48,20.426,500
49,21.009,400
50,21.680,400
51,21.605,400
52,22.230,400
53,22.165,400
54,22.612,400
55,22.727,500
56,23.064,500
57,23.180,500
58,23.490,500
59,23.765,500
60,23.996,400
61,24.130,500
62,24.881,400
63,25.070,400
64,25.682,400
65,25.682,400
66,25.850,400
67,26.596,400
68,26.789,400
69,26.941,400
70,27.621,400
71,27.629,400
72,27.629,400
73,27.997,400
74,27.761,400
75,27.373,400
76,26.651,400
77,26.012,400
78,25.824,500
79,25.727,500
80,25.253,500
81,24.647,500
82,24.170,500
83,23.165,500
84,22.772,500
85,22.186,500
86,21.606,600
87,21.663,600
88,21.678,600
89,21.656,600
90,21.544,600
91,21.370,600
92,21.136,600
93,20.390,600
94,19.881,600
95,19.324,600
96,18.374,600
97,17.367,600
98,16.402,600
99,16.001,600
100,15.668,600
101,14.695,600
102,14.444,600
103,14.203,600
104,13.673,600
105,12.954,600
106,12.705,600
107,12.200,600
108,11.651,600
109,11.372,600
110,10.728,600
111,9.417,600
112,8.679,600
113,8.072,600
114,6.835,600
115,6.402,600
116,5.254,600
117,4.787,1500
118,4.898,1500
119,4.999,1500
120,5.057,1500
121,5.177,1500
122,5.287,1500
123,5.304,1500
124,5.338,1500
125,5.511,1500
126,5.659,1500
127,5.667,1500
128,5.480,1500
129,5.282,1500
130,5.207,1600
131,5.002,1500
132,4.795,1500
133,4.727,1500
134,4.820,1500
135,4.747,1500
136,4.565,1500
137,4.192,1500
138,4.122,1500
139,3.726,1500
140,3.048,1500
141,2.235,1600
142,2.093,1600
143,1.961,1600
144,1.610,1600
145,1.229,1700
146,1.560,1700
147,1.417,1800
148,1.442,1800
149,1.140,1800
150,0.673,3100
151,0.789,2900
152,0.970,2800
153,1.187,2700
154,1.294,2700
155,1.268,2800
156,1.361,2800
157,1.339,2700
158,1.327,2700
159,1.408,2700
160,1.655,2700
161,1.852,2700
162,1.798,2700
163,1.719,2800
164,1.879,2900
165,1.576,2900
166,1.038,2800
167,1.045,4700
168,1.111,2200
169,1.552,2100
170,1.626,2100
171,1.546,2100
172,1.452,2100
173,1.398,2100
174,1.268,2100
175,0.878,2100
176,0.458,2100
177,0.252,2100
178,0.419,29600
179,0.789,29000
180,0.796,29300
181,0.762,29400
182,0.243,29400
183,0.300,28400
184,0.348,28400
185,0.480,28700
186,0.270,29100
187,-0.083,29300
188,-0.224,29600
189,-0.193,29800
190,-0.100,29800
191,0.062,28000
192,0.091,28100
193,0.185,28400
194,0.145,28200
195,-0.057,29400
196,-0.212,29800
197,-0.517,29700
198,-0.418,26500
199,-0.595,28000
200,-0.547,28000
201,-0.422,28000
202,-0.043,28100
203,-0.236,29200
204,-0.193,28800
205,-0.441,28800
206,-0.715,29200
207,-0.759,16400
208,-0.484,18500
209,-0.581,18600
210,-0.428,18500
211,-0.063,16700
212,0.401,16600
213,0.648,16700
214,0.802,17100
215,0.593,17400
216,0.101,17300
217,-0.144,17100
218,0.055,17100
219,0.339,17200
220,0.384,17300
221,0.190,17200
222,0.050,17100
223,-0.197,17000
224,-0.069,7000
225,0.074,7000
226,0.305,7000
227,0.461,7000
228,0.563,7000
229,0.653,7000
230,0.742,7000
231,0.469,7000
232,-0.184,6800
233,-0.473,6800
234,-0.621,6800
235,-0.754,6800
236,-0.894,6700
237,-1.141,6900
238,-1.224,6900
239,-1.075,6900
240,-0.518,6900
241,-0.756,6900
242,-0.906,6900
243,-0.977,6800
244,-1.166,6700
245,-1.018,49700
246,-1.095,49600
247,-1.205,49400
248,-1.223,49200
249,-1.326,49500
250,-1.440,47500
251,-1.545,47300
252,-1.646,46900
253,-1.650,46900
254,-1.688,46000
255,-1.914,50000
256,-1.863,49500
257,-1.762,49900
258,-1.788,48800
259,-1.715,50000
260,-1.766,48600
261,-1.718,49200
262,-1.750,50000
263,-1.853,49700
264,-1.846,48600
265,-1.770,44400
266,-1.526,40500
267,-1.289,44400
268,-1.102,45100
269,-1.190,45700
270,-1.359,45300
271,-1.401,49800
272,-1.292,44100
273,-1.202,43900
274,-1.221,42600
275,-1.119,42800
276,-1.213,42000
277,-0.996,48100
278,-0.980,47900
279,-0.922,47500
280,-0.664,46500
281,-0.487,45700
282,-0.332,45100
283,-0.324,44800
284,0.066,3400
285,-0.421,43000
286,-0.416,42300
287,-0.450,42500
288,-0.472,43700
289,0.065,43900
290,0.102,44300
291,-0.185,44900
292,-0.314,44800
293,-0.335,44700
294,-0.268,45400
295,-0.215,38500
296,-0.376,38900
297,-0.651,49400
298,-0.611,49100
299,-0.600,49500
300,-0.655,49900
301,-0.617,48500
302,-0.379,46800
303,0.031,43900
304,0.195,44700
305,0.228,43800
306,0.019,49300
307,-0.189,47700
308,-0.416,43700
309,-0.899,43500
310,-1.103,48000
311,-0.870,48000
312,-0.991,49900
313,-1.357,50000
314,-1.052,49700
315,-1.015,49600
316,-0.926,49600
317,-1.129,49500
318,-1.386,49200
319,-1.558,50000
320,-1.717,49900
321,-1.905,50000
322,-2.110,49900
323,-1.974,50000
324,-1.834,49700
325,-1.917,49900
326,-2.153,49400
327,-2.263,48800
328,-2.340,49800
329,-2.349,33000
330,-2.184,33400
331,-2.274,31200
332,-2.316,35700
333,-2.141,32500
334,-2.019,33300
335,-1.885,34200
336,-1.681,34500
337,-1.710,34600
338,-1.584,35300
339,-1.637,35700
340,-1.474,36700
341,-1.536,36100
342,-1.608,37000
343,-1.539,37800
344,-1.209,11900
345,-0.962,11200
346,-0.964,11300
347,-0.879,12000
348,-0.728,3400
349,-0.691,11500
350,-0.732,11400
351,-0.784,11400
352,-0.765,2500
353,-0.625,2500
354,-0.478,10200
355,-0.358,10400
356,-0.320,10300
357,-0.356,900
358,-0.238,1000
359,-0.097,600
