# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 車山山頂 (緯度36.103068, 経度138.198514, 観測者標高1913.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-1.033,44900
1,-1.080,45200
2,-1.095,44900
3,-1.103,45400
4,-0.986,41900
5,-1.130,41500
6,-1.050,46000
7,-0.933,44200
8,-0.830,45100
9,-0.684,48600
10,-0.714,48400
11,-0.643,47600
12,-0.542,46500
13,-0.699,46500
14,-0.701,46700
15,-0.802,50000
16,-0.773,45300
17,-0.711,50000
18,-0.623,50000
19,-0.530,50000
20,-0.390,50000
21,-0.391,50000
22,-0.388,49200
23,-0.413,40400
24,-0.250,40200
25,-0.005,40300
26,0.078,41400
27,-0.176,41100
28,-0.256,41300
29,-0.197,42900
30,-0.247,39600
31,0.008,39900
32,0.159,41600
33,0.177,42100
34,-0.028,42000
35,0.104,40400
36,-0.015,43100
37,0.333,43300
38,0.412,42300
39,0.150,44200
40,0.591,43800
41,0.590,44500
42,0.293,44700
43,-0.025,44900
44,-0.333,44800
45,-0.602,45300
46,-0.790,47500
47,-0.842,48000
48,-0.926,48100
49,-1.017,50000
50,-1.055,49900
51,-0.984,50000
52,-1.052,49800
53,-1.019,46500
54,-1.093,50000
55,-1.082,49700
56,-1.193,49100
57,-1.228,48100
58,-1.190,47900
59,-1.171,39800
60,-1.123,46700
61,-1.050,40800
62,-1.073,41100
63,-1.189,40900
64,-1.009,39200
65,-1.037,8700
66,-0.933,10300
67,-0.657,10200
68,-0.561,10100
69,-0.437,8600
70,-0.395,9900
71,-0.268,9900
72,-0.173,9800
73,-0.123,9700
74,-0.165,9700
75,0.012,9600
76,0.388,9600
77,0.547,9500
78,0.843,9300
79,1.285,9300
80,1.614,9300
81,1.917,9300
82,2.344,9300
83,2.621,9300
84,2.713,9400
85,2.740,9300
86,2.771,9100
87,3.033,8700
88,3.671,8600
89,4.020,8600
90,4.014,8600
91,3.433,8700
92,2.884,8700
93,2.394,8700
94,1.851,8700
95,1.659,8300
96,2.103,10800
97,2.362,10800
98,2.502,10800
99,2.866,11100
100,2.793,10900
101,2.488,10800
102,2.382,10900
103,2.008,11000
104,2.157,12300
105,2.120,12100
106,1.875,12100
107,1.939,12900
108,1.971,12900
109,1.513,12900
110,1.041,12900
111,0.982,14500
112,1.119,14400
113,1.146,16900
114,1.345,14800
115,1.428,14800
116,1.609,15900
117,1.850,16000
118,1.911,16100
119,1.906,16200
120,1.709,16500
121,1.829,17000
122,2.210,17100
123,2.296,16900
124,2.057,17500
125,2.096,17500
126,2.257,19400
127,2.396,19300
128,2.298,20200
129,2.356,20300
130,2.427,20700
131,2.257,20800
132,2.040,21100
133,2.437,21200
134,2.167,21400
135,2.356,20400
136,1.768,20700
137,1.596,20800
138,1.515,21800
139,1.797,22200
140,1.815,22100
141,1.498,22100
142,1.167,22200
143,1.348,22300
144,1.221,22300
145,0.806,22400
146,0.461,22300
147,0.086,22300
148,-0.281,22200
149,-0.559,22300
150,-0.812,22400
151,-1.008,22200
152,-1.166,22500
153,-1.299,22600
154,-1.580,21700
155,-1.676,22100
156,-1.611,45000
157,-1.286,47200
158,-1.171,47700
159,-0.857,47900
160,-0.637,48000
161,-0.391,49500
162,-0.213,47600
163,-0.016,48800
164,-0.024,49400
165,0.031,44500
166,0.483,49100
167,0.769,46400
168,0.874,45500
169,0.815,44300
170,0.749,44300
171,0.589,43400
172,0.566,42200
173,0.774,41700
174,1.018,38300
175,1.319,38400
176,1.140,47400
177,1.091,49300
178,0.955,36300
179,0.959,35500
180,0.942,41900
181,1.142,42600
182,1.236,42700
183,0.903,42200
184,0.512,41900
185,0.409,42000
186,0.450,41900
187,0.094,42000
188,-0.067,40800
189,-0.040,40600
190,-0.153,40600
191,-0.190,32800
192,-0.312,49000
193,-0.281,47900
194,-0.531,46800
195,-0.602,49900
196,-0.487,49800
197,-0.515,47500
198,-0.603,42500
199,-0.636,41800
200,-0.863,41100
201,-0.896,39900
202,-1.008,39800
203,-0.968,39800
204,-0.954,40900
205,-1.073,39900
206,-1.210,40000
207,-1.218,27900
208,-1.314,26400
209,-1.214,25800
210,-1.083,17300
211,-1.040,17600
212,-1.001,17800
