# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 白樺湖 (緯度36.105776, 経度138.237963, 観測者標高1419.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.092,700
1,5.000,700
2,4.850,800
3,5.237,800
4,5.246,800
5,4.875,800
6,4.558,800
7,4.158,900
8,3.824,900
9,3.507,900
10,3.188,900
11,2.905,900
12,2.663,900
13,2.414,900
14,2.196,900
15,1.970,900
16,1.754,900
17,1.583,900
18,1.507,900
19,1.371,900
20,1.189,900
21,0.986,900
22,1.142,3700
23,1.238,3600
24,1.325,4300
25,1.368,4300
26,1.473,4200
27,1.661,4200
28,1.918,4100
29,2.064,4100
30,2.032,4100
31,2.158,4000
32,2.085,4000
33,2.102,3800
34,2.029,3800
35,1.987,900
36,1.972,900
37,1.957,3500
38,2.051,5300
39,2.080,5200
40,2.017,5300
41,2.058,5200
42,2.229,5000
43,2.475,5000
44,2.677,4900
45,2.855,4800
46,2.928,4800
47,3.016,4700
48,3.052,4700
49,3.215,4800
50,3.337,4800
51,3.383,5500
52,3.521,5500
53,3.629,5400
54,3.770,5400
55,4.056,5200
56,4.249,5300
57,4.509,5200
58,4.693,5200
59,4.712,5200
60,4.653,5200
61,4.606,5200
62,4.750,4500
63,4.938,4400
64,5.251,1000
65,5.442,1000
66,5.625,1000
67,5.804,1000
68,5.946,1000
69,6.096,1000
70,6.250,1000
71,6.470,1200
72,6.684,1200
73,6.785,1100
74,6.776,1100
75,6.871,5700
76,7.219,5700
77,7.576,5700
78,7.946,5700
79,8.320,5700
80,8.685,5700
81,9.015,5700
82,9.140,5700
83,9.210,5800
84,9.244,5800
85,9.405,4700
86,9.816,4700
87,10.454,4800
88,10.768,4800
89,11.170,4900
90,11.730,5000
91,12.201,5000
92,12.366,5000
93,12.304,5000
94,11.909,5000
95,11.386,5100
96,10.830,5100
97,10.384,4900
98,9.842,4900
99,9.300,4900
100,8.854,4800
101,8.693,4800
102,8.843,4700
103,8.687,4800
104,8.549,500
105,8.641,500
106,8.736,500
107,8.658,500
108,8.803,500
109,8.845,500
110,8.639,500
111,8.653,500
112,8.445,500
113,8.487,500
114,8.540,500
115,8.419,500
116,8.440,500
117,8.268,500
118,8.257,500
119,8.041,500
120,8.000,500
121,7.610,500
122,7.650,3000
123,7.847,2900
124,8.032,500
125,8.266,500
126,8.413,500
127,8.469,500
128,8.619,2700
129,8.496,500
130,8.517,500
131,8.502,500
132,8.551,500
133,8.688,2100
134,9.006,1900
135,9.453,1900
136,9.894,1800
137,10.402,1800
138,10.578,1700
139,10.893,1700
140,11.160,1700
141,11.261,1600
142,11.553,1600
143,11.705,1500
144,12.072,1500
145,12.358,1500
146,12.371,1500
147,12.485,1400
148,12.393,1400
149,12.314,1400
150,12.234,1400
151,12.114,1400
152,11.965,1400
153,11.838,1200
154,11.767,1200
155,11.585,1100
156,11.468,1100
157,11.408,1000
158,11.366,1000
159,11.308,1000
160,11.256,1000
161,11.190,1000
162,11.113,1000
163,11.105,1000
164,11.206,900
165,11.109,900
166,11.198,900
167,11.044,900
168,11.134,900
169,11.006,900
170,10.954,900
171,10.779,900
172,10.834,900
173,10.848,900
174,10.649,900
175,10.423,800
176,10.269,800
177,10.115,800
178,9.966,800
179,9.838,800
180,9.773,800
181,9.679,800
182,9.572,800
183,9.413,800
184,9.186,800
185,9.187,1200
186,9.327,1200
187,9.394,1200
188,9.612,1200
189,9.840,1200
190,9.852,1200
191,9.788,1200
192,9.474,1200
193,9.388,1300
194,9.466,1300
195,9.455,1300
196,9.326,1300
197,9.211,1300
198,9.096,1300
199,8.929,1300
200,8.627,1400
201,8.473,1400
202,8.138,1400
203,7.808,1400
204,7.277,1400
205,6.680,1400
206,6.499,1500
207,6.194,1300
208,6.183,1300
209,6.068,1300
210,5.848,1300
211,5.469,1300
212,5.170,900
213,4.894,900
214,4.500,900
215,4.286,900
216,3.995,900
217,3.782,700
218,3.697,700
219,3.646,700
220,3.670,700
221,3.658,700
222,3.647,700
223,3.620,700
224,3.604,700
225,3.597,700
226,3.561,700
227,3.510,700
228,3.436,700
229,3.378,700
230,3.301,700
231,3.050,700
232,2.770,4300
233,2.710,4300
234,2.963,2100
235,2.937,2100
236,2.946,4100
237,3.220,2000
238,3.376,2000
239,3.494,2000
240,3.622,2000
241,3.743,2000
242,4.094,1900
243,4.406,1900
244,4.663,2000
245,4.975,2000
246,5.172,2000
247,5.235,2000
248,5.284,2000
249,5.399,2000
250,5.505,2000
251,5.596,2000
252,5.535,2000
253,5.298,2000
254,5.318,2800
255,5.562,2800
256,5.789,2800
257,6.008,3000
258,6.631,2900
259,7.091,3000
260,7.350,3000
261,7.452,3300
262,7.724,3300
263,7.687,3400
264,7.825,3500
265,7.814,3600
266,7.679,3600
267,7.222,3600
268,6.787,3500
269,6.617,1900
270,6.507,3400
271,6.548,3400
272,6.698,3300
273,6.773,3400
274,6.869,1400
275,7.218,1400
276,7.368,1400
277,7.452,1300
278,7.873,1300
279,8.029,1300
280,8.009,1300
281,7.926,1200
282,7.986,1200
283,8.012,1200
284,7.858,1200
285,7.497,1200
286,7.158,1200
287,6.650,3000
288,7.019,3100
289,6.462,800
290,6.857,800
291,7.218,800
292,7.400,800
293,7.830,800
294,8.135,800
295,8.238,800
296,8.492,800
297,8.661,800
298,8.640,800
299,8.460,800
300,8.025,800
301,7.727,800
302,7.245,800
303,6.935,800
304,6.683,700
305,6.361,700
306,6.108,700
307,5.844,700
308,5.266,700
309,4.972,700
310,4.744,700
311,4.488,700
312,4.293,700
313,4.092,700
314,4.071,700
315,4.058,700
316,4.154,700
317,4.140,700
318,4.107,700
319,4.060,700
320,3.968,700
321,3.802,700
322,3.486,700
323,3.314,700
324,3.034,700
325,2.426,700
326,2.120,600
327,1.973,6900
328,1.984,15600
329,1.980,600
330,2.087,600
331,2.248,600
332,2.347,600
333,2.533,600
334,2.696,600
335,2.811,600
336,3.004,600
337,3.003,600
338,3.131,600
339,3.060,600
340,3.232,700
341,3.269,700
342,3.549,700
343,3.605,700
344,3.890,700
345,4.060,700
346,4.210,700
347,4.268,700
348,4.423,700
349,4.549,700
350,4.796,700
351,4.884,700
352,5.066,700
353,5.127,700
354,5.225,700
355,5.267,700
356,5.287,700
357,5.338,700
358,5.307,700
359,5.236,700
