# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 乗鞍高原 (緯度36.122174, 経度137.627015, 観測者標高1448.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,24.315,1000
1,24.585,1000
2,24.461,1000
3,24.077,1000
4,24.077,900
5,24.222,900
6,24.047,900
7,24.181,900
8,24.359,900
9,24.516,900
10,24.438,900
11,24.281,900
12,24.015,900
13,23.618,900
14,23.596,800
15,23.111,800
16,22.673,800
17,22.594,700
18,22.497,700
19,21.647,700
20,21.356,700
21,20.766,600
22,20.044,600
23,19.615,600
24,18.732,600
25,18.392,600
26,17.824,600
27,17.749,500
28,17.478,500
29,17.388,500
30,16.875,500
31,16.544,500
32,15.868,500
33,15.471,400
34,15.064,400
35,15.504,400
36,15.573,400
37,15.986,400
38,15.677,400
39,15.744,400
40,16.020,400
41,15.709,400
42,15.937,400
43,15.707,400
44,15.357,400
45,15.267,400
46,14.589,400
47,14.132,400
48,13.934,400
49,13.330,400
50,12.864,400
51,12.545,400
52,11.934,400
53,10.491,400
54,10.491,400
55,9.823,900
56,9.357,400
57,8.928,400
58,8.928,400
59,8.347,400
60,7.624,400
61,6.889,400
62,6.488,400
63,6.461,400
64,6.045,400
65,5.543,400
66,5.013,400
67,4.528,100
68,4.528,100
69,3.879,400
70,3.382,100
71,3.382,100
72,3.382,100
73,3.382,100
74,3.382,100
75,3.816,100
76,3.816,100
77,3.816,100
78,3.816,100
79,4.340,100
80,4.340,100
81,4.340,100
82,4.340,100
83,4.340,100
84,4.761,100
85,4.761,100
86,4.761,100
87,4.761,100
88,4.989,100
89,4.989,100
90,4.989,100
91,4.989,100
92,4.989,100
93,4.471,100
94,4.471,100
95,4.471,100
96,4.471,100
97,3.627,11500
98,3.530,11400
99,3.596,11400
100,3.542,11300
101,3.719,11300
102,3.832,11200
103,3.910,11200
104,3.882,11200
105,3.853,11600
106,4.262,11600
107,4.522,11700
108,4.623,12000
109,4.594,12200
110,4.240,12000
111,3.922,3600
112,3.656,3600
113,3.758,3200
114,4.020,3200
115,4.462,3200
116,4.745,3200
117,5.011,3200
118,5.200,3200
119,5.216,3100
120,5.567,3100
121,5.728,3100
122,6.073,3000
123,6.347,3000
124,6.520,3000
125,6.590,2900
126,6.949,2900
127,7.107,2900
128,6.809,2900
129,6.540,2800
130,6.310,2800
131,6.245,2800
132,6.216,2800
133,6.380,2800
134,6.816,2800
135,7.167,2800
136,7.037,2800
137,6.702,2800
138,6.738,2900
139,6.838,2900
140,6.875,2900
141,6.900,3000
142,7.052,3000
143,7.059,3000
144,6.947,3000
145,6.870,3000
146,6.752,3000
147,6.526,2900
148,6.288,2900
149,6.351,2900
150,6.273,2900
151,6.328,3000
152,6.235,3100
