# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 美ヶ原自然保護センター (緯度36.234112, 経度138.106634, 観測者標高1891.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-1.180,47100
1,-1.348,49800
2,-1.247,50000
3,-1.343,46000
4,-1.342,46100
5,-1.534,46400
6,-1.442,50000
7,-1.457,49600
8,-1.561,49500
9,-1.715,49800
10,-1.887,50000
11,-1.905,50000
12,-1.788,31900
13,-1.683,31800
14,-1.535,31500
15,-1.385,31600
16,-1.292,30900
17,-1.421,31900
18,-1.372,39100
19,-1.389,32600
20,-1.444,43100
21,-1.432,38300
22,-1.293,37400
23,-1.149,44600
24,-1.021,44500
25,-0.755,37100
26,-0.734,37100
27,-0.823,37100
28,-0.718,36700
29,-0.805,39600
30,-0.537,35700
31,-0.655,42600
32,-0.671,42500
33,-0.542,49000
34,-0.280,44300
35,-0.052,43800
36,0.168,43600
37,0.128,43600
38,0.166,43400
39,0.316,44200
40,0.022,42500
41,-0.135,42500
42,-0.301,42500
43,-0.413,42300
44,-0.663,41800
45,-0.591,36000
46,-0.377,36600
47,-0.252,35700
48,-0.012,36400
49,0.092,33500
50,0.188,34500
51,-0.050,33100
52,-0.282,35400
53,-0.254,36800
54,-0.197,36700
55,0.299,36700
56,0.363,36800
57,0.193,37600
58,-0.034,37200
59,0.161,39600
60,0.496,39900
61,0.572,39200
62,0.617,41300
63,0.694,41900
64,0.310,42500
65,0.000,42400
66,-0.346,42300
67,-0.501,40700
68,-0.886,43800
69,-1.007,50000
70,-0.958,49900
71,-0.976,47700
72,-1.061,47900
73,-0.837,1600
74,-0.601,1600
75,-0.432,1600
76,-0.262,1600
77,-0.118,1700
78,0.187,1700
79,0.347,1700
80,0.516,1600
81,0.741,1600
82,0.975,1600
83,1.196,1600
84,1.424,1600
85,1.559,1600
86,1.756,1600
87,1.879,1600
88,2.313,1300
89,2.585,1300
90,2.541,1400
91,2.545,1400
92,2.510,1500
93,2.586,1500
94,2.573,1500
95,2.640,1600
96,2.827,1600
97,2.920,1600
98,2.914,1600
99,2.765,1600
100,2.597,1600
101,2.372,1600
102,2.182,1700
103,2.028,1700
104,1.965,1900
105,1.944,1900
106,1.940,1900
107,1.960,1900
108,1.980,1900
109,1.993,1900
110,2.012,1900
111,2.051,1900
112,2.072,1900
113,2.072,1900
114,2.042,1900
115,2.001,1900
116,1.962,2000
117,1.952,2000
118,1.967,2000
119,1.970,2000
120,1.973,2000
121,1.978,2000
122,2.003,1900
123,2.076,1900
124,2.079,1900
125,2.116,1800
126,2.176,1700
127,2.188,1700
128,2.168,1700
129,2.124,1700
130,2.024,1800
131,1.991,1900
132,2.020,1900
133,2.087,1900
134,2.153,1900
135,2.219,1900
136,2.239,1900
137,2.253,1500
138,2.595,1500
139,2.976,1500
140,3.217,1500
141,3.366,1500
142,3.389,1500
143,3.535,1200
144,3.803,1200
145,3.948,1200
146,4.224,1200
147,4.699,700
148,5.249,700
149,5.388,700
150,5.744,700
151,6.130,700
152,6.455,700
153,6.496,700
154,6.749,700
155,6.949,700
156,7.126,700
157,7.457,800
158,7.856,800
159,8.098,900
160,8.246,900
161,8.398,900
162,8.550,900
163,8.594,900
164,8.724,900
165,8.761,900
166,8.792,900
167,8.801,900
168,8.818,900
169,8.826,900
170,8.910,800
171,8.922,800
172,8.982,800
173,9.180,800
174,9.180,800
175,9.142,800
176,9.107,800
177,9.062,800
178,8.986,800
179,8.789,900
180,8.713,900
181,8.494,900
182,8.397,800
183,8.331,800
184,8.275,700
185,8.259,700
186,8.214,700
187,8.156,700
188,8.123,700
189,7.909,700
190,7.864,700
191,7.736,700
192,7.545,700
193,7.384,700
194,7.217,700
195,7.135,600
196,7.055,600
197,6.983,600
198,6.767,600
199,6.622,600
200,6.504,600
201,6.347,600
202,6.114,600
203,5.956,600
204,5.849,600
205,6.545,200
206,6.545,200
207,7.045,200
208,8.042,100
209,8.042,100
210,8.168,200
211,8.168,200
212,8.367,200
213,9.447,100
214,9.447,100
215,9.447,100
216,9.447,100
217,9.447,100
218,10.453,100
219,9.976,100
220,9.976,100
221,9.976,100
222,9.976,100
223,9.976,100
224,10.608,100
225,10.287,100
226,10.287,100
227,10.287,100
228,10.287,100
229,10.287,100
230,10.509,100
231,10.198,100
232,10.198,100
233,10.198,100
234,10.198,100
235,10.198,100
236,10.198,100
237,9.926,100
238,9.648,100
239,9.648,100
240,9.648,100
241,9.648,100
242,9.358,100
243,9.358,100
244,9.358,100
245,9.358,100
246,9.358,100
247,8.771,100
248,8.771,100
249,8.771,100
250,8.771,100
251,8.771,100
252,8.575,100
253,8.575,100
254,8.575,100
255,8.575,100
256,8.418,100
257,8.418,100
258,8.418,100
259,8.418,100
260,8.418,100
261,8.368,100
262,8.368,100
263,8.368,100
264,8.368,100
265,8.031,100
266,8.031,100
267,8.031,100
268,8.031,100
269,8.031,100
270,8.132,100
271,8.132,100
272,8.132,100
273,8.132,100
274,8.194,100
275,8.194,100
276,8.452,100
277,8.452,100
278,8.424,100
279,8.424,100
280,8.424,100
281,8.424,100
282,8.424,100
283,8.334,100
284,8.334,100
285,8.334,100
286,8.334,100
287,8.216,100
288,8.216,100
289,8.216,100
290,8.216,100
291,8.216,100
292,8.054,100
293,8.054,100
294,8.110,100
295,8.110,100
296,8.110,100
297,7.756,100
298,7.756,100
299,7.756,100
300,7.756,100
301,7.756,100
302,7.305,100
303,7.271,100
304,7.271,100
305,7.271,100
306,7.271,100
307,6.780,100
308,6.780,100
309,6.780,100
310,6.780,100
311,6.611,100
312,6.611,100
313,6.084,100
314,6.084,100
315,6.084,100
316,6.084,100
317,5.858,100
318,5.858,100
319,5.250,100
320,5.250,100
321,5.250,100
322,5.250,100
323,4.887,100
324,4.887,100
325,4.887,100
326,3.987,100
327,3.987,100
328,3.456,100
329,3.456,100
330,3.456,100
331,3.456,100
332,3.456,100
333,2.736,100
334,2.736,100
335,1.838,100
336,1.838,100
337,1.838,100
338,0.985,100
339,0.985,100
340,0.985,100
341,0.985,100
342,0.985,100
343,-0.000,100
344,-0.000,100
345,-0.000,100
346,-0.000,100
347,-0.000,100
348,-1.044,48200
349,-0.906,47800
350,-0.796,47600
351,-1.005,46900
352,-1.100,47100
353,-1.085,47000
354,-1.040,47000
355,-1.109,46500
356,-1.087,46100
357,-0.994,45900
358,-1.092,46500
359,-1.108,46500
