# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 白駒の池 (緯度36.05147, 経度138.36229, 観測者標高2112.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.574,200
1,5.574,200
2,5.684,200
3,5.684,200
4,5.752,200
5,5.752,200
6,5.778,200
7,5.365,300
8,5.365,300
9,5.364,200
10,5.349,200
11,5.349,200
12,5.349,200
13,5.338,200
14,5.338,200
15,5.298,200
16,5.298,200
17,5.222,200
18,4.846,200
19,4.846,200
20,4.744,200
21,4.744,200
22,4.590,200
23,4.590,200
24,3.869,200
25,3.869,200
26,3.869,200
27,3.658,200
28,3.658,200
29,2.933,200
30,2.933,200
31,2.933,200
32,2.667,200
33,2.193,200
34,2.193,200
35,2.004,200
36,2.004,200
37,1.494,200
38,1.494,200
39,1.494,200
40,1.234,200
41,1.033,200
42,1.033,200
43,0.670,200
44,0.486,200
45,0.486,200
46,0.017,100
47,0.017,100
48,-0.212,100
49,-0.212,100
50,-0.212,100
51,-0.212,100
52,-0.212,100
53,-0.356,100
54,-0.356,100
55,-0.419,100
56,-0.419,100
57,-0.419,100
58,-0.419,100
59,-0.550,100
60,-0.550,100
61,-0.550,100
62,-0.550,100
63,-0.631,100
64,-0.762,100
65,-0.762,100
66,-0.762,100
67,-0.639,700
68,-0.531,700
69,-0.351,700
70,-0.071,600
71,0.090,600
72,0.401,500
73,0.671,500
74,0.956,500
75,1.632,500
76,1.958,500
77,2.125,400
78,2.534,400
79,2.534,400
80,2.652,400
81,2.795,400
82,2.995,400
83,3.217,400
84,3.451,400
85,3.809,400
86,3.921,400
87,3.948,400
88,3.983,400
89,3.983,400
90,4.020,400
91,4.055,400
92,4.088,400
93,4.118,400
94,4.144,400
95,4.174,400
96,4.165,400
97,4.222,300
98,4.372,300
99,4.372,300
100,4.615,300
101,4.854,300
102,4.854,300
103,5.071,300
104,5.219,300
105,5.136,300
106,5.240,300
107,5.323,300
108,5.323,300
109,5.401,300
110,5.412,300
111,5.412,300
112,5.494,300
113,5.573,300
114,5.488,300
115,5.560,300
116,5.560,300
117,5.624,300
118,5.575,300
119,5.575,300
120,5.655,300
121,5.549,300
122,5.615,300
123,5.643,300
124,5.581,900
125,5.648,900
126,5.747,900
127,5.732,900
128,5.677,900
129,5.683,1100
130,5.863,1100
131,6.045,1100
132,6.363,1100
133,6.603,1100
134,6.662,1100
135,6.692,1100
136,6.793,1200
137,7.191,1200
138,7.498,1200
139,7.568,1200
140,7.585,1200
141,7.510,1200
142,7.470,1200
143,7.545,1300
144,7.747,1300
145,7.831,1300
146,7.831,1300
147,7.843,1300
148,7.799,1300
149,8.046,1500
150,8.653,1500
151,9.004,1500
152,8.837,1500
153,8.581,1500
154,8.244,1500
155,8.187,1500
156,8.164,1500
157,8.336,1500
158,8.461,1500
159,8.598,1500
160,8.676,1500
161,8.818,1500
162,8.778,1500
163,8.699,1500
164,8.426,1500
165,8.052,1500
166,7.800,1500
167,7.598,1500
168,7.227,1500
169,7.438,1600
170,7.642,1600
171,8.076,1600
172,8.240,1600
173,8.567,1600
174,8.691,1600
175,8.818,1700
176,9.082,1300
177,9.502,1300
178,9.943,1300
179,10.271,1300
180,10.500,1300
181,10.790,1400
182,10.966,1300
183,11.166,1300
184,11.300,1300
185,11.339,1300
186,11.297,1300
187,11.278,1300
188,11.233,1300
189,11.091,1300
190,11.020,1300
191,10.986,1700
192,11.187,1600
193,11.319,1600
194,11.435,1700
195,11.601,1700
196,11.687,1700
197,11.683,1700
198,11.704,1700
199,11.786,1700
200,11.847,1700
201,11.850,1700
202,11.857,1700
203,11.825,1700
204,11.679,1700
205,11.501,1700
206,11.385,1700
207,11.088,1700
208,10.710,1700
209,10.614,1800
210,10.558,1800
211,10.195,1800
212,9.911,1100
213,9.739,1100
214,9.502,1100
215,9.163,1100
216,8.988,1100
217,8.741,1100
218,8.595,1100
219,8.414,1100
220,8.277,1100
221,8.066,1100
222,7.876,1100
223,7.773,1100
224,7.606,1100
225,7.477,1100
226,7.417,1100
227,7.310,1100
228,7.338,1000
229,7.516,1000
230,7.891,900
231,8.160,900
232,8.693,900
233,8.938,900
234,9.284,900
235,9.403,900
236,9.507,900
237,9.470,900
238,9.240,900
239,9.181,900
240,8.889,900
241,8.628,900
242,8.408,900
243,8.190,900
244,8.118,900
245,7.917,900
246,7.839,1200
247,8.142,1300
248,8.346,1300
249,8.602,1300
250,8.928,1300
251,9.043,1300
252,9.022,1300
253,8.773,1300
254,8.405,1300
255,7.854,1300
256,7.360,1400
257,7.138,800
258,7.056,800
259,7.035,800
260,6.979,800
261,6.953,800
262,6.896,800
263,6.889,800
264,6.821,800
265,6.751,800
266,6.718,800
267,6.627,800
268,6.527,800
269,6.414,800
270,6.319,700
271,6.275,700
272,6.139,700
273,6.055,700
274,5.868,700
275,5.759,600
276,5.706,500
277,5.728,500
278,5.713,500
279,5.676,500
280,5.591,500
281,5.445,500
282,5.340,500
283,5.190,500
284,5.034,500
285,4.805,500
286,4.471,500
287,4.244,500
288,3.914,500
289,3.690,1400
290,3.650,400
291,3.395,400
292,3.256,400
293,3.088,400
294,2.825,400
295,2.648,400
296,2.652,300
297,2.652,300
298,2.676,300
299,2.800,300
300,2.800,300
301,2.974,3000
302,3.484,3000
303,3.981,3000
304,4.503,3000
305,4.851,3000
306,4.942,3100
307,4.868,3100
308,4.713,3100
309,4.545,3100
310,4.214,3100
311,3.731,4000
312,3.929,3700
313,4.221,3700
314,4.349,3700
315,4.328,3600
316,4.453,3400
317,4.118,3400
318,3.759,3600
319,3.338,3500
320,2.973,3500
321,2.807,4900
322,2.880,5000
323,2.918,5000
324,2.921,5000
325,2.948,5000
326,2.856,5000
327,2.711,5000
328,2.292,5000
329,2.023,5200
330,1.686,4900
331,1.377,200
332,1.706,200
333,1.706,200
334,1.941,200
335,1.941,200
336,1.941,200
337,2.467,200
338,2.467,200
339,2.819,200
340,2.819,200
341,3.156,200
342,3.156,200
343,3.441,200
344,3.752,200
345,3.752,200
346,4.015,200
347,4.015,200
348,4.237,200
349,4.237,200
350,4.436,200
351,4.436,200
352,4.436,200
353,4.636,200
354,5.011,200
355,5.239,200
356,5.239,200
357,5.429,200
358,5.429,200
359,5.574,200
