# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 妙高高原 (緯度36.872201, 経度138.212196, 観測者標高508.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.243,100
1,1.151,100
2,1.151,100
3,1.151,100
4,1.151,100
5,1.151,100
6,0.996,100
7,0.996,100
8,0.996,100
9,0.996,100
10,0.944,400
11,0.945,400
12,0.945,400
13,0.945,400
14,0.945,400
15,0.945,400
16,1.385,2400
17,1.403,2500
18,1.604,2000
19,2.014,2500
20,2.524,2500
21,2.876,2500
22,3.035,2500
23,3.185,1900
24,4.181,1900
25,4.683,1900
26,4.852,1900
27,4.839,1900
28,4.829,1900
29,4.620,1900
30,4.705,1900
31,4.629,1800
32,5.149,1800
33,5.128,1800
34,4.975,1800
35,5.058,1900
36,5.262,1900
37,5.425,1900
38,5.786,1900
39,5.929,1900
40,5.866,1900
41,5.838,1900
42,6.032,1100
43,6.740,1100
44,7.329,1100
45,8.188,1000
46,8.604,1000
47,9.439,1000
48,9.837,1000
49,10.178,1000
50,10.283,1000
51,10.481,1000
52,10.387,1000
53,10.427,1000
54,10.436,1000
55,10.473,1100
56,10.733,1100
57,10.908,1100
58,10.998,1000
59,10.986,1000
60,10.971,1000
61,10.958,1000
62,10.624,1000
63,10.122,1000
64,10.348,900
65,10.924,900
66,11.383,900
67,11.549,900
68,11.591,900
69,11.577,900
70,11.546,800
71,11.682,800
72,12.104,800
73,12.242,800
74,12.504,800
75,12.496,800
76,12.612,800
77,12.412,800
78,12.450,800
79,12.288,800
80,12.217,800
81,12.368,800
82,12.295,800
83,12.197,800
84,12.086,800
85,12.006,800
86,11.881,800
87,11.656,800
88,11.406,800
89,11.061,800
90,10.653,800
91,10.380,800
92,9.895,800
93,9.503,800
94,9.129,800
95,8.814,800
96,8.662,500
97,8.518,500
98,8.359,4100
99,8.486,4100
100,8.612,4100
101,8.590,4100
102,8.439,4100
103,8.148,4000
104,7.810,4200
105,7.534,4000
106,7.263,3900
107,7.077,3900
108,6.625,3800
109,6.080,3900
110,5.784,3600
111,5.360,3600
112,5.455,5700
113,5.627,3200
114,5.606,3200
115,5.851,3300
116,5.929,3200
117,6.054,3200
118,6.257,5900
119,6.530,6000
120,6.986,6000
121,7.466,6100
122,7.345,6200
123,6.940,5900
124,7.156,6700
125,7.211,6800
126,7.127,6700
127,7.148,6600
128,6.904,6600
129,6.504,6700
130,6.088,6700
131,5.899,6600
132,5.756,6500
133,5.752,6400
134,5.428,6400
135,5.443,1100
136,5.482,1100
137,5.545,1100
138,5.603,1100
139,5.606,1000
140,5.616,1000
141,5.690,1000
142,5.669,1000
143,5.626,1000
144,5.604,1000
145,5.527,1000
146,5.476,1000
147,5.530,1000
148,5.560,1000
149,5.551,1000
150,5.558,1000
151,5.565,1000
152,5.576,1000
153,5.618,2700
154,5.785,2700
155,6.022,2700
156,6.406,2700
157,6.655,2600
158,6.642,2600
159,6.488,2600
160,6.259,2600
161,5.964,2500
162,5.847,2200
163,5.830,2200
164,5.798,2100
165,5.687,2100
166,5.638,1800
167,5.768,1800
168,5.775,1800
169,5.739,1800
170,5.535,1700
171,5.535,1700
172,5.388,1700
173,5.179,1700
174,5.029,1600
175,4.904,1600
176,4.656,1600
177,4.396,1700
178,4.216,1700
179,4.410,2200
180,4.753,2200
181,4.883,2200
182,5.046,2300
183,5.092,2400
184,5.065,2400
185,5.095,2500
186,5.176,2500
187,5.096,2500
188,4.978,2600
189,5.418,2400
190,5.630,2400
191,5.829,2400
192,5.897,2400
193,5.919,2400
194,5.935,2400
