# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 星峠の棚田 (緯度37.124235, 経度138.529651, 観測者標高413.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,2.427,1500
1,2.210,1500
2,1.918,1500
3,1.855,1500
4,1.703,1500
5,1.597,1500
6,1.656,1500
7,1.655,1500
8,1.921,1500
9,2.111,1500
10,2.289,1500
11,2.379,1500
12,2.493,1500
13,2.615,1500
14,2.650,1500
15,2.529,1500
16,2.160,1500
17,1.962,1500
18,2.015,1500
19,1.935,1500
20,1.800,1500
21,1.427,1500
22,1.365,11200
23,1.666,11400
24,1.845,11400
25,1.796,11800
26,2.122,12300
27,1.856,12600
28,1.390,13300
29,1.120,13400
30,0.649,2400
31,0.439,12500
32,0.694,3100
33,0.958,3100
34,1.434,2300
35,1.342,2400
36,1.542,2400
37,1.101,2400
38,0.597,2500
39,0.252,2400
40,0.074,2400
41,-0.087,2400
42,-0.162,2400
43,-0.155,2300
44,-0.241,2300
45,-0.216,49400
46,-0.072,49300
47,-0.027,48500
48,0.030,43100
49,0.035,48600
50,0.217,45900
51,0.166,44200
52,0.182,42400
53,-0.058,41700
54,0.005,47300
55,0.018,46500
56,-0.008,46400
57,-0.063,45800
58,-0.051,45800
59,-0.042,48800
60,-0.098,47700
61,-0.008,47300
62,0.086,46100
63,-0.120,11500
64,0.045,10500
65,-0.021,9800
66,0.303,9900
67,0.078,46500
68,0.237,46700
69,0.328,47600
70,0.362,48100
71,0.374,49800
72,0.288,50000
73,-0.017,50000
74,0.006,15800
75,0.046,15900
76,-0.042,15700
77,0.076,15800
78,0.158,44000
79,0.244,14900
80,0.115,43900
81,0.356,44300
82,0.431,44200
83,0.437,44100
84,0.497,44500
85,0.423,44300
86,0.568,44100
87,0.839,45600
88,1.029,46700
89,1.270,48800
90,1.670,48500
91,1.506,48700
92,1.519,43400
93,1.542,44000
94,1.515,49100
95,1.732,48900
96,1.373,49300
97,1.193,47400
98,0.854,41000
99,0.889,50000
100,1.173,50000
101,0.885,50000
102,0.969,46700
103,1.152,46300
104,1.115,46400
105,1.474,46800
106,1.437,46700
107,1.552,48500
108,1.570,48500
109,1.516,47600
110,1.388,46800
111,1.761,42200
112,1.887,42200
113,1.869,42300
114,1.685,42500
115,1.575,42800
116,1.598,43100
117,1.640,43500
118,1.700,44100
119,1.503,44400
120,1.394,45900
121,1.307,46600
122,1.454,47300
123,1.434,47500
124,1.627,47600
125,1.573,48000
126,1.508,47800
127,1.272,48700
128,1.282,44300
129,1.435,44500
130,1.321,45600
131,1.709,46700
132,1.621,48100
133,1.413,47700
134,1.514,47400
135,1.583,47800
136,1.615,7400
137,1.855,7500
138,1.799,7500
139,1.819,7500
140,2.020,7400
141,2.141,7400
142,2.317,7500
143,2.394,7500
144,2.259,7500
145,2.317,7600
146,2.265,7600
147,2.146,31200
148,2.128,31400
149,2.293,31300
150,2.489,31300
151,2.587,31800
152,2.681,32000
153,2.558,30700
154,2.452,30000
155,2.769,34100
156,2.709,34100
157,2.572,33900
158,2.480,33600
159,2.405,33200
160,2.315,11300
161,2.290,11400
162,2.334,12100
163,2.545,12000
164,2.980,11900
165,2.973,11900
166,2.700,11600
167,2.816,11500
168,3.107,11500
169,3.273,11500
170,3.330,11400
171,3.249,11600
172,3.175,11600
173,3.241,11500
174,3.343,11400
175,3.520,11400
176,3.419,11500
177,3.452,11500
178,3.494,11400
179,3.508,11300
180,3.456,11000
181,3.542,10900
182,3.917,10400
183,3.927,10400
184,3.841,10400
185,3.751,10400
186,3.695,10700
187,3.765,10600
188,3.625,10600
189,3.590,10900
190,3.559,10900
191,3.518,11100
192,3.582,11500
193,3.712,11300
194,3.541,11200
195,3.637,11300
196,3.588,10600
197,3.663,10700
198,3.739,10700
199,3.038,12200
200,3.069,12300
201,2.706,12200
202,2.882,12500
203,2.966,12700
204,2.848,12800
205,2.626,13000
206,2.637,13100
207,2.665,13200
208,2.655,13300
209,2.562,13300
210,2.467,14000
211,2.380,14400
212,2.327,14500
213,2.368,15300
214,2.048,15800
215,1.905,16100
216,2.155,16600
217,2.294,17000
218,2.235,17100
219,2.171,21000
220,2.149,18700
221,2.067,18500
222,1.894,18400
223,1.784,18100
224,1.655,18200
225,1.442,10100
226,1.531,49800
227,1.569,49100
228,1.341,49200
229,1.021,49400
230,0.872,49800
231,0.961,4000
232,1.293,44700
233,1.652,44800
234,2.006,45300
235,2.255,45200
236,2.248,45900
237,2.092,45300
238,1.996,46400
239,1.998,45800
240,1.982,45900
241,2.152,46200
242,2.127,46500
243,2.100,49300
244,1.577,46300
245,2.639,100
246,2.639,100
247,2.639,100
248,2.639,100
249,2.639,100
250,3.736,100
251,3.736,100
252,3.530,100
253,3.530,100
254,4.676,100
255,4.676,100
256,4.676,100
257,4.676,100
258,4.676,100
259,5.835,100
260,5.835,100
261,5.835,100
262,5.835,100
263,7.006,100
264,7.006,100
265,7.006,100
266,7.006,100
267,7.006,100
268,8.239,100
269,8.239,100
270,8.239,100
271,8.239,100
272,9.269,100
273,9.269,100
274,9.269,100
275,9.269,100
276,9.642,100
277,9.642,100
278,9.642,100
279,9.642,100
280,9.642,100
281,9.285,100
282,9.285,100
283,9.285,100
284,9.285,100
285,8.312,100
286,8.312,100
287,8.312,100
288,8.312,100
289,5.852,100
290,5.670,200
291,5.681,200
292,5.568,200
293,5.568,200
294,5.452,200
295,5.452,200
296,5.329,200
297,5.153,200
298,5.034,200
299,5.034,200
300,5.034,200
301,4.906,200
302,4.405,200
303,4.405,200
304,4.166,200
305,4.166,200
306,3.942,300
307,4.231,300
308,4.305,400
309,4.305,400
310,4.501,300
311,4.885,400
312,4.458,400
313,4.365,400
314,4.618,400
315,4.168,400
316,4.363,400
317,4.165,400
318,3.871,400
319,3.618,400
320,3.618,400
321,3.088,400
322,2.245,400
323,2.245,400
324,1.898,700
325,2.118,700
326,2.357,700
327,2.390,700
328,2.396,700
329,2.351,700
330,2.316,700
331,2.111,700
332,1.909,700
333,1.891,700
334,1.681,700
335,1.631,700
336,1.322,700
337,1.199,1000
338,1.703,1000
339,1.948,1000
340,2.052,1000
341,2.095,1700
342,2.736,1700
343,3.261,1700
344,3.266,1700
345,3.322,1500
346,3.474,1500
347,3.469,900
348,3.424,1400
349,3.879,1400
350,4.469,1400
351,4.899,1400
352,4.348,1400
353,3.416,1500
