# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 苗場スキー場 (緯度36.795024, 経度138.778756, 観測者標高1026.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.000,2800
1,0.437,2800
2,0.466,14900
3,0.575,8400
4,0.846,8400
5,1.102,6400
6,1.446,6500
7,1.904,6700
8,2.439,6800
9,2.831,6900
10,3.055,6900
11,3.432,7000
12,3.676,7000
13,3.821,7100
14,4.046,7200
15,4.077,7300
16,4.027,7300
17,3.734,7300
18,3.461,7300
19,3.509,7200
20,3.957,2900
21,4.548,2800
22,5.337,2800
23,6.038,2800
24,6.670,2800
25,7.102,2800
26,7.369,2800
27,7.656,2800
28,7.765,2800
29,7.596,2900
30,8.191,2900
31,8.417,3000
32,8.857,3100
33,9.461,3200
34,9.913,3200
35,9.772,3200
36,9.347,3500
37,8.989,3500
38,9.067,3600
39,9.256,3600
40,9.144,3600
41,9.310,4500
42,9.615,4500
43,10.054,4300
44,10.500,4300
45,11.039,4300
46,11.313,4300
47,11.130,4400
48,11.232,4400
49,11.325,4500
50,11.512,4500
51,11.458,4500
52,11.377,4500
53,11.366,4500
54,11.232,4500
55,11.252,4600
56,11.592,4600
57,11.671,4600
58,11.503,4500
59,11.347,4400
60,11.319,4400
61,11.070,4400
62,11.090,4300
63,10.771,4300
64,10.448,4300
65,10.067,4300
66,9.901,5600
67,9.732,5600
68,9.509,5500
69,9.093,4200
70,8.855,4200
71,8.554,4300
72,8.381,4300
73,8.262,4300
74,8.129,2000
75,8.120,2000
76,7.937,2000
77,8.106,2100
78,8.088,2100
79,7.686,2200
80,7.704,2200
81,7.878,2200
82,7.949,2200
83,7.894,2200
84,7.676,2100
85,7.572,4400
86,8.006,4400
87,8.187,4400
88,7.946,4400
89,8.125,4500
90,8.448,4600
91,8.633,4700
92,8.490,4700
93,8.215,4600
94,8.162,4500
95,8.291,4500
96,8.127,4500
97,8.028,4500
98,7.813,4500
99,7.512,4500
100,7.191,4500
101,7.129,4600
102,6.957,4600
103,6.552,4600
104,6.495,4600
105,6.424,4600
106,6.567,4600
107,6.732,4700
108,6.592,4700
109,6.375,4700
110,6.231,4700
111,6.101,4700
112,5.877,4700
113,5.835,4600
114,5.996,4700
115,6.338,4600
116,6.788,4600
117,7.214,4600
118,6.805,4600
119,6.722,4900
120,6.905,4900
121,6.501,4900
122,6.090,4900
123,5.717,5000
124,5.409,5000
125,5.170,5000
126,4.547,5000
127,3.971,5000
128,3.490,5000
129,3.769,2600
130,3.946,2700
131,3.639,2700
132,3.742,5100
133,4.309,5100
134,4.110,5100
135,3.950,5000
136,4.292,3000
137,4.566,3100
138,4.698,4300
139,5.047,4300
140,5.316,4300
141,5.400,4300
142,5.112,4200
143,5.236,4200
144,5.249,4200
145,5.251,4200
146,5.820,3100
147,6.524,2800
148,6.894,3100
149,7.389,2900
150,7.630,2900
151,7.666,2500
152,7.203,2500
153,6.486,2800
154,6.546,4300
155,6.335,4300
156,6.223,4200
157,5.961,4300
158,5.943,4300
159,5.682,4300
160,5.383,4300
161,5.242,4400
162,4.834,4500
163,4.713,4600
164,4.662,4800
165,4.868,4800
166,4.866,5300
167,5.013,5400
168,4.760,5500
169,4.876,5500
170,5.400,5800
171,5.097,100
172,5.119,5300
173,5.330,5600
174,5.321,200
175,6.118,100
176,6.118,100
177,6.118,100
178,6.746,200
179,7.226,100
180,7.465,200
181,7.465,200
182,8.179,200
183,8.179,200
184,8.883,200
185,8.883,200
186,9.539,200
187,9.539,200
188,9.904,100
189,10.051,200
190,10.051,200
191,10.522,200
192,11.436,100
193,11.436,100
194,11.436,100
195,11.769,2100
196,12.485,2100
197,12.918,2200
198,13.594,2200
199,13.284,100
200,13.621,2400
201,13.553,2400
202,14.585,100
203,14.585,100
204,14.585,100
205,14.585,100
206,15.828,100
207,15.828,100
208,15.828,100
209,16.008,100
210,16.008,100
211,17.296,100
212,17.296,100
213,17.296,100
214,17.296,100
215,17.296,100
216,17.296,100
217,18.340,100
218,18.340,100
219,18.340,100
220,18.340,100
221,18.340,100
222,19.524,100
223,19.524,100
224,19.259,100
225,19.259,100
226,19.259,100
227,19.259,100
228,20.440,100
229,20.440,100
230,20.562,500
231,21.195,500
232,21.359,500
233,21.845,500
234,22.255,500
235,22.315,500
236,22.752,500
237,23.141,500
238,23.469,600
