# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 弥彦山 (緯度37.708678, 経度138.821349, 観測者標高116.2m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,20.915,400
1,20.041,400
2,19.014,400
3,17.965,400
4,16.587,400
5,15.487,400
6,14.770,400
7,13.947,400
8,13.110,400
9,12.292,700
10,12.049,300
11,11.308,700
12,10.255,400
13,9.725,300
14,9.033,700
15,8.514,700
16,7.896,700
17,7.386,700
18,6.742,700
19,6.459,300
20,6.076,300
21,5.709,300
22,5.516,300
23,5.162,300
24,4.795,300
25,4.795,300
26,4.227,300
27,4.227,300
28,3.801,300
29,3.120,300
30,3.120,300
31,3.039,100
32,3.039,100
33,2.520,300
34,2.492,300
35,2.175,300
36,2.072,300
37,1.810,100
38,1.605,300
39,1.481,300
40,1.446,400
41,1.316,300
42,1.230,300
43,1.230,300
44,1.267,300
45,1.267,300
46,1.188,300
47,1.188,300
48,0.996,300
49,0.996,300
50,0.858,300
51,0.858,300
52,0.780,300
53,1.250,300
54,0.900,300
55,1.309,300
56,1.309,300
57,1.322,300
58,1.322,300
59,1.593,300
60,1.626,300
61,1.626,300
62,1.952,300
63,1.763,300
64,2.124,300
65,2.568,300
66,2.335,300
67,2.755,300
68,3.221,300
69,3.221,300
70,3.057,300
71,3.254,300
72,3.254,300
73,3.263,300
74,2.385,300
75,2.385,300
76,2.186,300
77,1.971,300
78,1.971,300
79,1.731,300
80,1.482,300
81,1.580,200
82,1.176,200
83,1.176,200
84,0.778,200
85,0.778,200
86,0.463,200
87,0.463,200
88,0.460,40000
89,0.739,40700
90,0.837,40900
91,0.953,40500
92,0.953,39700
93,0.896,39600
94,0.862,300
95,0.705,300
96,0.745,44500
97,0.668,44700
98,0.756,45000
99,0.770,47200
100,0.803,47100
101,0.913,47200
102,0.957,47200
103,0.902,47300
104,0.937,49500
105,0.794,35000
106,0.973,35000
107,1.174,34500
108,1.225,34400
109,1.107,34400
110,1.133,34100
111,1.160,33900
112,1.082,43500
113,1.185,43600
114,1.206,36200
115,1.273,36100
116,1.309,36200
117,1.604,36200
118,1.507,36500
119,1.245,44800
120,0.985,36400
121,0.907,38400
122,0.810,37900
123,0.608,47900
124,0.868,45700
125,0.820,47100
126,0.870,47200
127,0.945,47400
128,0.819,47100
129,0.822,47000
130,0.865,47900
131,0.937,45900
132,0.955,46100
133,1.112,46700
134,1.016,46900
135,1.023,46600
136,1.002,42400
137,1.183,44000
138,1.322,44500
139,1.275,44500
140,1.430,45400
141,1.634,44300
142,1.432,43900
143,1.269,44700
144,1.180,44500
145,1.002,43900
146,0.721,44300
147,0.597,39300
148,0.641,38700
149,0.609,38300
150,0.508,40200
151,0.467,39200
152,0.463,39000
153,0.393,47300
154,0.393,49600
155,0.441,100
156,0.441,100
157,0.441,100
158,2.090,100
159,2.090,100
160,2.090,100
161,2.090,100
162,2.090,100
163,3.085,100
164,3.085,100
165,3.085,100
166,3.085,100
167,3.856,100
168,3.856,100
169,3.878,100
170,3.878,100
171,3.878,100
172,4.699,100
173,4.699,100
174,4.699,100
175,4.699,100
176,5.546,100
177,5.546,100
178,5.546,100
179,5.546,100
180,6.379,100
181,6.379,100
182,6.379,100
183,6.379,100
184,6.379,100
185,7.187,100
186,7.187,100
187,7.187,100
188,7.187,100
189,8.205,100
190,8.205,100
191,8.205,100
192,7.840,100
193,9.196,100
194,9.196,100
195,9.196,100
196,9.196,100
197,9.196,100
198,10.652,100
199,10.652,100
200,10.652,100
201,10.652,100
202,12.341,100
203,12.573,200
204,12.573,200
205,15.208,200
206,15.660,200
207,17.416,200
208,17.416,200
209,17.416,200
210,19.172,200
211,19.172,200
212,20.743,200
213,20.743,200
214,20.691,200
215,22.217,200
216,22.217,200
217,22.217,200
218,23.593,200
219,23.593,200
220,24.671,200
221,24.671,200
222,24.939,300
223,26.187,300
224,26.644,300
225,27.681,300
226,28.088,300
227,28.854,300
228,28.997,300
229,28.997,300
230,29.283,300
231,29.283,300
232,29.032,300
233,28.190,300
234,28.395,300
235,27.278,300
236,27.278,300
237,26.659,300
238,26.659,300
239,26.253,300
240,26.250,400
241,26.590,400
242,26.779,400
243,26.973,400
244,27.206,400
245,27.395,400
246,27.998,400
247,27.921,400
248,28.140,400
249,28.140,400
250,27.776,400
251,27.806,400
252,27.382,400
253,26.957,400
254,26.495,400
255,26.176,400
256,25.530,400
257,25.289,500
258,24.904,500
259,24.378,500
260,24.256,500
261,23.730,500
262,23.926,600
263,24.757,600
