# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: ドンデン高原 (緯度38.138318, 経度138.390423, 観測者標高889.1m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,15.663,100
1,15.663,100
2,15.663,100
3,15.663,100
4,14.815,100
5,14.815,100
6,13.706,100
7,13.706,100
8,12.756,100
9,12.756,100
10,12.756,100
11,12.756,100
12,11.684,100
13,11.684,100
14,11.684,100
15,11.684,100
16,11.684,100
17,10.448,100
18,10.448,100
19,10.448,100
20,10.448,100
21,9.135,100
22,9.135,100
23,9.135,100
24,7.851,100
25,7.851,100
26,6.856,200
27,6.455,200
28,6.455,200
29,6.430,100
30,6.430,100
31,6.078,200
32,5.307,200
33,5.307,200
34,4.533,200
35,4.533,200
36,4.533,200
37,3.630,200
38,3.809,200
39,2.844,200
40,2.844,200
41,2.907,200
42,1.949,200
43,1.949,200
44,1.904,200
45,0.979,200
46,0.979,200
47,0.770,200
48,0.097,200
49,0.097,200
50,-0.356,200
51,-0.356,200
52,-0.943,200
53,-1.214,50000
54,-1.214,50000
55,-1.214,50000
56,-1.214,50000
57,-1.214,50000
58,-1.214,50000
59,-1.214,50000
60,-1.214,50000
61,-1.214,50000
62,-1.214,50000
63,-1.214,50000
64,-1.214,50000
65,-1.214,50000
66,-1.214,50000
67,-1.214,50000
68,-1.214,50000
69,-1.214,50000
70,-1.214,50000
71,-1.214,50000
72,-1.214,50000
73,-1.214,50000
74,-1.214,50000
75,-1.214,50000
76,-1.214,50000
77,-1.214,50000
78,-1.214,50000
79,-1.214,50000
80,-1.214,50000
81,-1.214,50000
82,-1.214,50000
83,-1.214,50000
84,-1.214,50000
85,-1.214,50000
86,-1.214,50000
87,-1.214,50000
88,-1.214,50000
89,-1.214,50000
90,-1.214,50000
91,-1.214,50000
92,-1.214,50000
93,-1.214,50000
94,-1.214,50000
95,-1.214,50000
96,-1.214,50000
97,-1.214,50000
98,-1.214,50000
99,-1.214,50000
100,-1.214,50000
101,-1.214,50000
102,-1.214,50000
103,-1.214,50000
104,-1.214,50000
105,-1.214,50000
106,-1.214,50000
107,-1.214,50000
108,-1.214,50000
109,-1.214,50000
110,-1.214,50000
111,-1.214,50000
112,-1.214,50000
113,-1.214,50000
114,-1.214,50000
115,-1.214,50000
116,-1.214,50000
117,-1.214,50000
118,-1.214,50000
119,-1.214,50000
120,-1.214,50000
121,-1.214,50000
122,-1.214,50000
123,-1.214,50000
124,-1.214,50000
125,-1.214,50000
126,-1.214,50000
127,-1.214,50000
128,-1.214,50000
129,-1.214,50000
130,-1.214,50000
131,-1.214,50000
132,-1.183,16600
133,-1.214,50000
134,-1.131,16600
135,-1.080,16800
136,-1.067,16800
137,-1.044,17100
138,-1.037,17100
139,-1.146,17200
140,-1.214,50000
141,-1.214,50000
142,-1.214,50000
143,-1.214,50000
144,-1.134,18000
145,-1.211,18200
146,-1.016,18300
147,-0.940,18100
148,-1.094,18700
149,-1.010,18600
150,-0.966,19900
151,-0.905,19900
152,-0.977,19500
153,-1.006,19400
154,-0.856,20600
155,-0.882,20500
156,-0.829,21500
157,-0.776,21200
158,-0.810,21500
159,-0.863,21900
160,-0.913,21800
161,-0.876,22200
162,-1.004,21300
163,-0.952,23000
164,-1.076,22900
165,-1.214,50000
166,-1.063,24100
167,-0.868,23900
168,-0.857,23600
169,-0.990,23300
170,-0.866,23900
171,-0.874,23700
172,-0.878,23800
173,-1.080,25800
174,-0.995,23300
175,-1.047,22700
176,-0.890,22600
177,-0.795,22700
178,-0.751,23000
179,-0.813,23200
180,-0.861,22900
181,-0.903,22900
182,-0.990,22900
183,-1.080,31000
184,-1.017,31300
185,-1.113,31700
186,-1.112,32400
187,-1.128,32000
188,-1.213,33600
189,-1.214,50000
190,-1.214,50000
191,-1.214,50000
192,-1.214,50000
193,-1.214,50000
194,-1.214,50000
195,-1.214,50000
196,-1.214,50000
197,-1.214,50000
198,-1.214,50000
199,-1.214,50000
200,-1.214,50000
201,-1.214,50000
202,-1.214,50000
203,-1.199,38300
204,-1.214,50000
205,-1.214,50000
206,-1.214,50000
207,-1.214,50000
208,-1.214,50000
209,-1.214,50000
210,-1.214,50000
211,-0.613,4300
212,-0.102,4300
213,0.162,4300
214,0.439,4300
215,0.987,4400
216,1.651,4400
217,2.011,4400
218,2.045,4500
219,2.144,4500
220,1.972,5200
221,2.602,5100
222,2.791,5100
223,3.007,5200
224,2.713,5300
225,2.374,5500
226,1.895,5500
227,1.749,5600
228,1.668,5700
229,1.392,5800
230,0.939,5800
231,0.549,5700
232,0.571,3400
233,1.017,3400
234,0.679,3300
235,0.108,5900
236,0.234,5900
237,-0.175,3000
238,-0.014,3000
239,0.219,3000
240,0.519,3000
241,0.791,3000
242,0.991,3000
243,0.737,2900
244,0.501,2900
245,0.319,2900
246,0.634,2700
247,0.592,2600
248,0.737,2600
249,0.716,2600
250,0.751,2600
251,0.976,2600
252,0.895,2600
253,0.907,2700
254,2.965,100
255,2.965,100
256,2.965,100
257,2.965,100
258,2.965,100
259,5.869,100
260,5.869,100
261,5.869,100
262,5.869,100
263,7.046,100
264,7.046,100
265,7.046,100
266,7.046,100
267,7.919,100
268,7.919,100
269,7.919,100
270,7.919,100
271,7.919,100
272,8.738,100
273,8.738,100
274,8.738,100
275,8.738,100
276,9.570,100
277,9.570,100
278,9.570,100
279,9.570,100
280,10.392,100
281,10.392,100
282,10.392,100
283,10.392,100
284,10.392,100
285,11.199,100
286,11.199,100
287,11.199,100
288,11.199,100
289,11.969,100
290,11.969,100
291,11.969,100
292,11.969,100
293,11.837,100
294,12.642,100
295,12.642,100
296,12.642,100
297,12.642,100
298,12.642,100
299,13.463,100
300,13.463,100
301,13.463,100
302,13.327,100
303,13.327,100
304,14.144,100
305,14.144,100
306,14.144,100
307,14.144,100
308,14.144,100
309,14.960,100
310,14.772,100
311,14.772,100
312,14.772,100
313,14.772,100
314,14.772,100
315,15.589,100
316,15.397,100
317,15.397,100
318,15.397,100
319,15.397,100
320,15.397,100
321,16.267,100
322,16.098,100
323,16.098,100
324,16.098,100
325,16.098,100
326,16.098,100
327,15.907,100
328,16.883,100
329,16.883,100
330,16.883,100
331,16.883,100
332,16.583,100
333,16.583,100
334,16.583,100
335,16.583,100
336,16.583,100
337,17.458,100
338,17.458,100
339,17.458,100
340,17.458,100
341,17.458,100
342,17.139,100
343,17.139,100
344,17.139,100
345,17.139,100
346,16.646,100
347,16.646,100
348,16.646,100
349,16.646,100
350,16.646,100
351,15.981,100
352,15.981,100
353,15.981,100
354,15.981,100
355,16.467,100
356,16.467,100
357,16.467,100
358,16.467,100
359,15.663,100
