# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 白雲台 (緯度38.066262, 経度138.292768, 観測者標高637.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,15.981,200
1,15.981,200
2,15.195,100
3,14.884,300
4,15.361,300
5,15.361,300
6,15.859,300
7,16.358,300
8,16.815,300
9,16.815,300
10,17.106,300
11,17.322,300
12,16.693,300
13,17.020,300
14,17.389,300
15,17.389,300
16,17.787,300
17,18.214,300
18,17.624,300
19,18.060,300
20,18.506,300
21,18.506,300
22,18.369,300
23,18.635,300
24,18.635,300
25,18.786,300
26,18.115,300
27,18.183,300
28,18.124,300
29,17.376,300
30,17.245,300
31,17.053,300
32,16.231,300
33,15.988,300
34,15.988,300
35,14.825,300
36,14.825,300
37,13.652,300
38,13.477,300
39,12.516,300
40,12.412,300
41,12.412,300
42,11.294,300
43,11.294,300
44,10.112,300
45,10.383,600
46,10.596,600
47,10.546,600
48,10.434,600
49,10.138,600
50,9.712,600
51,9.408,600
52,9.193,600
53,8.978,600
54,8.615,600
55,8.289,600
56,8.181,1400
57,8.089,1400
58,7.797,1400
59,7.709,1400
60,7.818,1400
61,7.761,1400
62,7.605,1300
63,7.693,1300
64,7.297,1300
65,7.139,1300
66,6.912,1300
67,6.773,1300
68,6.430,1300
69,6.455,1200
70,6.462,1200
71,6.388,1200
72,6.312,1200
73,6.094,1200
74,6.279,1200
75,6.375,1200
76,6.388,1200
77,6.356,1200
78,6.246,1200
79,6.167,1200
80,5.813,1200
81,5.721,1200
82,5.289,1200
83,4.966,1200
84,4.363,1200
85,3.728,1100
86,3.188,1100
87,2.523,1200
88,1.875,1300
89,1.753,1300
90,1.825,1300
91,2.027,1300
92,2.188,1300
93,2.240,1300
94,2.264,1300
95,2.253,1300
96,1.745,1300
97,1.085,1300
98,0.807,1400
99,0.487,1400
100,0.006,1400
101,-0.195,20700
102,-0.241,20800
103,-0.196,20700
104,-0.209,20600
105,-0.488,20900
106,-0.545,21000
107,-0.545,20900
108,-0.406,20300
109,-0.312,20300
110,-0.262,19900
111,-0.182,20000
112,-0.333,19900
113,-0.298,20100
114,-0.207,19700
115,-0.507,20500
116,-0.243,19400
117,-0.203,20500
118,-0.232,19700
119,-0.439,19800
120,-0.298,20600
121,-0.175,20500
122,-0.215,19900
123,-0.375,20500
124,-0.079,20500
125,-0.173,20500
126,-0.075,20300
127,-0.205,20500
128,-0.245,20300
129,-0.264,20500
130,-0.302,19900
131,-0.455,21000
132,-0.185,20800
