# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 立山室堂平 (緯度36.577192, 経度137.595794, 観測者標高2422.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.482,100
1,4.482,100
2,4.482,100
3,4.482,100
4,4.739,100
5,4.739,100
6,4.739,100
7,4.739,100
8,5.017,100
9,5.017,100
10,5.017,100
11,5.017,100
12,5.017,100
13,5.307,100
14,5.307,100
15,5.307,100
16,5.307,100
17,5.307,100
18,5.597,100
19,5.597,100
20,5.672,5400
21,5.546,100
22,5.923,3100
23,6.427,3000
24,6.532,2900
25,6.775,2900
26,6.867,2600
27,7.457,2600
28,7.985,2600
29,7.615,2500
30,7.585,2500
31,7.520,2500
32,7.543,2500
33,7.881,2500
34,8.128,2500
35,7.913,2500
36,7.803,2500
37,7.944,2500
38,8.097,2600
39,8.804,2600
40,8.589,2600
41,8.620,2700
42,8.838,2700
43,8.777,2800
44,9.036,2800
45,8.692,2800
46,8.251,2900
47,7.556,2900
48,7.408,2600
49,7.029,100
50,7.126,2500
51,7.085,2400
52,7.437,2400
53,7.489,2400
54,7.519,2400
55,7.380,2400
56,7.237,2400
57,7.307,2400
58,7.738,2500
59,8.192,2400
60,8.422,2500
61,8.831,2500
62,9.249,2500
63,9.694,2400
64,10.279,2400
65,10.113,2300
66,10.548,2300
67,10.802,2200
68,11.032,2200
69,10.835,2200
70,10.482,2200
71,10.027,2200
72,9.863,2100
73,10.078,2100
74,10.073,2100
75,9.611,2200
76,10.072,2200
77,10.393,2200
78,10.690,2200
79,10.984,2200
80,11.422,2200
81,12.155,2200
82,12.526,2200
83,12.811,2300
84,13.727,2300
85,13.464,2200
86,13.688,2200
87,13.828,2200
88,14.014,2200
89,14.126,2200
90,14.242,2100
91,14.526,2100
92,14.622,2100
93,14.917,2100
94,15.215,2100
95,15.109,2100
96,14.950,2100
97,14.807,2100
98,14.681,2100
99,14.591,2000
100,14.867,2000
101,14.954,2000
102,15.511,2000
103,15.843,2000
104,15.745,2000
105,15.802,2000
106,15.043,2000
107,14.472,1900
108,13.876,1900
109,13.536,1800
110,13.506,1800
111,12.480,1800
112,11.866,2300
113,11.046,2200
114,10.463,2200
115,9.884,2200
116,9.306,1600
117,9.214,1600
118,9.643,900
119,10.076,900
120,11.169,1000
121,12.605,1000
122,13.435,1000
123,13.839,1000
124,14.268,1000
125,15.130,1000
126,15.483,1000
127,15.836,1000
128,16.133,1000
129,16.492,1000
130,16.964,1000
131,17.368,1000
132,17.598,1000
133,18.038,1000
134,18.602,1000
135,19.023,1000
136,19.652,1000
137,19.958,1000
138,20.405,1000
