# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 立山弥陀ヶ原 (緯度36.567248, 経度137.557484, 観測者標高1938.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,9.477,3200
1,9.662,3100
2,9.615,3100
3,9.558,3100
4,9.338,3100
5,8.999,3100
6,8.324,3100
7,8.385,3200
8,8.495,3200
9,8.807,3200
10,8.968,3200
11,8.732,3200
12,8.123,3200
13,7.680,3300
14,7.464,3400
15,7.196,3400
16,7.441,3500
17,7.836,3600
18,8.367,3600
19,8.999,3700
20,9.182,3800
21,9.336,3800
22,9.312,3800
23,9.134,3800
24,9.100,3900
25,9.476,3900
26,8.937,4000
27,9.014,3900
28,8.966,4000
29,9.115,4000
30,9.349,4000
31,9.279,4000
32,9.178,4000
33,9.167,4000
34,8.679,600
35,9.210,500
36,9.674,600
37,10.162,500
38,10.298,500
39,10.847,500
40,11.573,500
41,12.045,500
42,12.361,500
43,12.709,500
44,12.948,500
45,12.817,500
46,13.024,500
47,13.240,500
48,13.586,500
49,13.599,600
50,13.862,600
51,14.169,500
52,14.531,500
53,14.514,500
54,14.849,500
55,15.090,500
56,14.939,500
57,15.202,500
58,15.255,500
59,15.715,1600
60,15.908,1600
61,15.894,1500
62,15.864,1800
63,16.059,700
64,16.443,900
65,16.879,900
66,17.163,900
67,17.430,900
68,17.866,800
69,18.183,800
70,18.176,800
71,18.186,800
72,17.895,800
73,17.781,700
74,18.143,700
75,18.145,700
76,18.416,700
77,18.311,700
78,18.030,700
79,17.729,700
80,17.408,700
81,16.744,700
82,16.290,700
83,16.025,600
84,16.042,600
85,16.077,600
86,16.201,600
87,16.299,600
88,16.362,600
89,16.445,600
90,16.491,600
91,16.537,600
92,16.466,600
93,16.299,600
94,15.635,600
95,15.165,600
96,14.667,600
97,13.926,500
98,13.885,500
99,13.854,500
100,13.509,500
101,13.637,500
102,13.735,500
103,13.809,500
104,13.671,500
105,13.764,500
106,13.856,500
107,13.946,500
108,13.865,500
109,13.925,500
110,13.955,500
111,13.849,400
112,13.866,400
113,13.421,400
114,13.421,400
115,13.504,300
116,13.224,200
117,13.224,200
118,12.866,300
119,12.491,200
120,12.491,200
121,12.394,400
122,12.261,400
123,12.387,400
124,12.387,400
125,12.303,400
126,12.008,400
127,11.739,400
128,11.787,400
129,11.452,400
130,11.133,100
131,11.348,100
132,11.348,100
133,11.348,100
134,11.348,100
135,11.348,100
136,10.475,100
137,10.564,100
138,10.564,100
139,10.700,300
140,10.928,300
141,11.245,300
142,11.575,300
143,11.575,300
144,12.570,300
145,12.570,300
146,13.538,300
147,13.538,300
148,13.785,300
149,14.120,300
150,14.120,300
151,14.152,300
152,14.218,300
153,14.364,300
154,14.618,300
155,14.084,300
156,14.448,300
157,14.448,300
158,14.675,300
159,14.326,300
160,14.326,300
161,14.707,300
162,14.970,300
163,14.150,300
164,14.550,300
165,15.012,300
166,15.012,300
167,15.251,300
168,15.309,300
169,14.902,300
170,14.996,300
171,14.916,200
172,14.916,200
173,14.916,200
174,14.916,200
175,14.916,200
176,14.780,200
177,14.780,200
178,14.547,200
179,14.547,200
180,14.243,200
181,14.243,200
182,13.887,200
183,13.887,200
184,13.887,200
185,13.484,200
186,13.484,200
187,12.898,200
188,12.898,200
189,12.226,200
190,12.226,200
191,11.499,200
192,11.499,200
193,10.702,200
194,10.476,300
195,10.495,300
196,10.495,300
197,10.523,300
198,10.679,400
199,11.071,400
200,11.303,400
201,11.460,400
202,11.348,400
203,10.785,400
204,10.312,400
205,9.265,400
206,9.265,400
207,8.531,400
208,7.947,400
209,7.457,400
210,6.714,400
211,6.714,400
212,5.866,400
213,5.223,300
214,5.223,300
215,4.415,300
216,4.311,300
217,3.758,300
218,3.642,300
219,3.642,300
220,3.071,300
221,3.071,300
222,2.461,300
223,2.461,300
224,1.729,800
225,1.666,800
226,1.566,800
227,1.333,800
228,1.141,800
229,0.959,800
230,0.573,800
231,0.401,900
232,0.296,900
233,0.172,900
234,0.078,900
235,-0.156,900
236,-0.172,7800
237,0.154,7800
238,0.305,7700
239,0.448,7700
240,0.625,7600
241,0.638,7300
242,0.759,7300
243,0.771,7400
244,0.792,7600
245,0.784,7600
246,0.842,7700
247,1.045,7700
248,0.542,7800
249,0.093,7800
250,-0.300,7800
251,-0.819,8000
252,-0.931,41700
253,-1.121,41400
254,-1.275,46000
255,-1.381,41400
256,-1.413,48100
257,-1.347,45900
258,-1.458,46100
259,-1.333,50000
260,-1.257,47200
261,-1.408,47700
262,-1.423,47900
263,-1.597,45700
264,-1.456,49400
265,-1.651,47100
266,-1.462,47000
267,-1.481,46700
268,-1.646,46600
269,-1.619,46600
270,-1.767,47300
271,-1.900,48000
272,-1.884,48500
273,-2.044,48800
274,-2.148,48900
275,-2.231,47800
276,-2.270,48700
277,-2.324,48200
278,-2.339,48100
279,-2.352,50000
280,-2.361,50000
281,-2.369,49900
282,-2.371,50000
