# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: ホテル立山 (緯度36.577567, 経度137.595254, 観測者標高2420.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.661,100
1,1.890,100
2,1.890,100
3,1.890,100
4,1.890,100
5,2.170,100
6,2.170,100
7,2.170,100
8,2.170,100
9,2.170,100
10,3.045,100
11,3.045,100
12,3.045,100
13,3.045,100
14,3.382,100
15,3.382,100
16,3.382,100
17,4.205,5400
18,4.662,5300
19,4.825,5300
20,5.433,5400
21,5.788,5400
22,5.627,3000
23,6.232,3000
24,6.593,3000
25,6.569,2900
26,6.815,2900
27,6.734,2800
28,7.232,2600
29,8.038,2600
30,7.764,2500
31,7.868,2500
32,7.670,2500
33,7.572,2400
34,7.669,2400
35,8.081,2500
36,8.061,2500
37,7.914,2500
38,7.960,2500
39,8.070,2500
40,8.660,2600
41,8.957,2600
42,8.529,2700
43,8.822,2700
44,8.641,2700
45,8.988,2800
46,8.813,2800
47,8.327,2900
48,7.800,2900
49,7.573,2600
50,7.003,2600
51,6.899,2500
52,7.093,2500
53,7.325,2400
54,7.344,2400
55,7.386,2400
56,7.300,2400
57,7.069,2400
58,7.090,2500
59,7.873,2500
60,8.305,2500
61,8.599,2500
62,8.934,2500
63,9.221,2500
64,9.563,2500
65,10.002,2400
66,10.214,2400
67,10.271,2300
68,10.647,2300
69,10.756,2200
70,10.688,2200
71,10.478,2200
72,10.444,2200
73,10.407,2200
74,10.121,2200
75,10.007,2200
76,10.076,2200
77,9.943,2200
78,9.967,2200
79,10.018,2200
80,10.151,2300
81,10.875,2300
82,11.578,2300
83,12.268,2300
84,13.010,2300
85,13.407,2300
86,13.469,2300
87,13.678,2300
88,13.477,2300
89,13.585,2300
90,13.787,2200
91,13.967,2200
92,14.327,2200
93,14.534,2200
94,14.707,2200
95,14.880,2200
96,14.245,2200
97,14.154,2200
98,14.328,2100
99,14.457,2100
100,14.628,2100
101,14.892,2100
102,14.978,2100
103,14.895,2100
104,15.156,2000
105,15.193,2000
106,14.849,2000
107,14.598,2000
108,14.013,2000
109,13.551,1900
110,13.446,1900
111,12.770,1900
112,11.962,1900
113,11.287,2300
114,10.593,2300
115,9.975,2300
116,9.407,1700
117,9.114,1700
118,9.104,1000
119,9.612,1000
120,10.229,1000
121,11.211,1100
122,12.015,1100
123,12.784,1000
124,12.729,1000
125,13.199,1000
126,13.758,1000
127,14.312,1000
128,14.828,1000
129,15.281,1000
130,15.489,1100
131,16.236,1100
132,16.685,1100
133,16.991,1100
134,17.588,1100
135,18.026,1100
136,18.544,1100
137,19.013,1100
138,19.315,1100
139,19.474,1100
140,19.180,1100
141,19.042,1100
142,18.806,1100
143,18.392,1100
144,17.850,1100
145,17.224,1200
146,16.653,1200
147,15.737,1200
148,15.086,1200
149,14.792,1300
150,14.190,800
151,14.225,800
152,14.098,900
153,14.187,900
154,14.155,900
155,14.262,600
156,14.550,600
157,14.840,600
158,15.067,600
159,15.550,600
160,15.786,600
161,15.990,600
162,15.909,500
163,15.966,500
164,15.970,500
165,16.397,500
166,16.390,500
167,16.389,500
168,16.425,500
169,16.931,500
170,16.967,500
171,17.062,500
172,16.930,500
173,16.780,500
174,16.594,500
175,16.386,500
176,16.424,500
177,16.394,500
178,16.330,500
179,16.174,500
180,15.657,500
181,15.193,500
182,14.532,500
183,14.208,500
184,13.934,500
185,13.478,500
186,13.223,500
187,12.805,300
188,12.518,500
189,12.263,500
190,12.258,400
191,12.253,400
192,12.253,400
193,11.942,400
194,11.865,400
195,11.688,400
196,11.431,400
197,10.888,400
198,10.453,400
199,10.007,800
200,10.376,800
201,10.854,800
202,11.267,800
203,11.516,800
204,11.980,800
205,12.488,800
206,12.669,800
207,12.772,800
208,12.808,800
209,12.754,800
210,12.837,800
211,12.757,800
212,12.927,800
213,12.918,800
214,13.093,800
215,13.046,800
216,13.004,800
217,12.848,800
218,12.662,800
219,12.449,800
220,11.987,800
221,11.726,800
222,11.443,800
223,10.926,800
224,10.924,700
225,10.949,700
226,10.823,700
227,10.664,700
228,10.512,700
229,10.284,700
230,10.145,700
231,10.005,700
232,9.862,700
233,9.811,600
234,9.616,600
235,9.670,600
236,9.404,600
237,9.416,600
238,9.392,600
239,9.337,600
240,8.991,600
241,8.556,600
242,8.466,600
243,7.846,600
244,7.587,600
245,6.759,600
246,5.908,600
247,5.418,600
248,5.065,600
249,4.142,600
250,3.850,700
251,4.187,1300
252,3.860,1300
253,3.093,1300
254,2.681,1300
255,2.823,1400
256,3.228,1400
257,2.725,1400
258,1.975,1400
259,2.170,1500
260,1.946,1500
261,1.680,1500
262,1.327,1500
263,0.961,1700
264,0.731,1700
265,0.282,1700
266,-0.126,1700
267,-0.545,1700
268,-0.820,1700
269,-1.430,1700
270,-2.302,1700
271,-2.604,48100
272,-2.666,49800
273,-2.806,49300
274,-2.770,50000
275,-2.819,50000
276,-2.822,49800
277,-2.819,49500
278,-2.857,48800
279,-2.860,49500
280,-2.835,49900
281,-2.853,49900
282,-2.881,50000
283,-2.906,49800
284,-2.912,50000
285,-2.911,49700
286,-2.944,50000
287,-2.955,50000
288,-2.957,50000
289,-2.959,50000
290,-2.961,50000
291,-2.801,5100
292,-2.415,5100
293,-1.984,4000
294,-1.561,4000
295,-0.795,4000
296,-0.610,4000
297,-0.117,4000
298,0.169,4100
299,0.866,4100
300,0.963,4100
301,0.872,3900
302,0.703,3800
303,0.233,3700
304,-0.022,3600
305,0.241,3500
306,0.173,3500
307,0.149,3400
308,-0.352,3400
309,-0.770,3400
310,-0.918,3300
311,-0.572,3300
312,-0.338,3300
313,-0.597,3200
314,0.059,3200
315,0.578,3200
316,1.198,3200
317,1.724,3200
318,2.292,3200
319,2.376,3200
320,2.518,3100
321,2.693,3100
322,2.754,3000
323,3.235,3000
324,2.619,3000
325,2.814,3000
326,3.333,2900
327,3.294,2800
328,3.177,2800
329,3.692,2700
330,3.831,2700
331,3.960,2600
332,3.525,2500
333,2.531,2500
334,1.786,2500
335,1.283,2500
336,0.947,2500
337,0.280,2500
338,0.796,100
339,0.796,100
340,0.796,100
341,0.796,100
342,0.796,100
343,1.357,100
344,1.357,100
345,1.357,100
346,1.357,100
347,1.357,100
348,1.752,100
349,1.752,100
350,1.752,100
351,1.294,100
352,1.472,100
353,1.472,100
354,1.472,100
355,1.472,100
356,1.472,100
357,1.661,100
358,1.661,100
359,1.661,100
