# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 立山山麓スキー場 (緯度36.568143, 経度137.430321, 観測者標高753.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.328,3400
1,3.518,3400
2,3.688,3400
3,4.214,300
4,5.855,300
5,5.855,300
6,7.813,300
7,9.059,300
8,9.059,300
9,9.613,300
10,10.136,300
11,10.207,300
12,10.773,300
13,11.312,300
14,11.312,300
15,11.764,300
16,12.056,300
17,12.406,300
18,13.511,200
19,13.511,200
20,15.530,200
21,15.530,200
22,17.593,200
23,17.593,200
24,17.593,200
25,19.808,200
26,19.796,200
27,21.442,200
28,21.442,200
29,21.442,200
30,22.826,200
31,22.650,200
32,24.227,200
33,24.227,200
34,24.227,200
35,25.854,200
36,25.854,200
37,25.854,200
38,26.574,200
39,26.654,200
40,27.411,200
41,27.411,200
42,27.582,200
43,28.337,200
44,28.337,200
45,28.552,200
46,29.294,200
47,29.294,200
48,29.481,200
49,29.481,200
50,30.205,200
51,30.383,200
52,30.383,200
53,30.923,200
54,31.175,200
55,31.175,200
56,31.175,200
57,32.030,200
58,32.030,200
59,32.284,200
60,32.284,200
61,32.747,200
62,32.939,200
63,32.939,200
64,33.047,200
65,33.047,200
66,33.594,200
67,33.762,200
68,33.762,200
69,33.772,200
70,33.772,200
71,33.758,200
72,34.570,200
73,34.570,200
74,34.613,200
75,34.613,200
76,34.891,200
77,34.891,200
78,35.248,200
79,35.248,200
80,35.519,200
81,36.315,200
82,36.315,200
83,36.429,200
84,36.429,200
85,36.377,200
86,36.377,200
87,36.230,200
88,36.230,200
89,36.045,200
90,36.045,200
91,35.819,200
92,35.819,200
93,35.819,200
94,35.568,200
95,35.568,200
96,35.256,200
97,35.256,200
98,34.698,200
99,34.698,200
100,32.761,200
101,32.761,200
102,32.458,200
103,32.458,200
104,32.458,200
105,32.200,200
106,32.200,200
107,31.986,200
108,31.986,200
109,30.944,200
110,31.595,300
111,31.595,300
112,31.985,300
113,31.985,300
114,31.782,300
115,31.970,300
116,31.970,300
117,32.070,300
118,31.260,300
119,31.260,300
120,31.218,300
121,29.848,300
122,29.764,300
123,29.764,300
124,28.443,300
125,28.522,400
126,28.617,400
127,28.668,400
128,28.668,400
129,28.698,400
130,28.883,400
131,28.741,400
132,28.848,400
133,29.097,400
134,28.753,400
135,28.973,400
136,28.739,400
137,28.199,400
138,28.422,400
139,28.023,400
140,27.461,500
141,27.533,500
142,27.402,500
143,26.942,500
144,26.500,500
145,26.128,500
146,26.248,600
147,26.507,600
148,26.728,600
149,26.824,600
150,27.113,600
151,27.409,600
152,27.505,300
153,27.505,300
154,27.480,300
155,27.670,300
156,27.670,300
157,27.302,300
158,26.805,300
159,27.126,100
160,27.126,100
161,27.126,100
162,28.718,100
163,28.718,100
164,30.604,100
165,30.604,100
166,30.604,100
167,30.604,100
168,32.493,100
169,32.493,100
170,32.493,100
171,32.493,100
172,32.493,100
173,33.814,100
174,33.814,100
175,33.814,100
176,33.814,100
177,34.582,100
178,34.582,100
179,34.582,100
180,34.582,100
181,34.582,100
182,34.984,100
183,34.984,100
184,34.984,100
185,34.984,100
186,35.176,100
187,35.176,100
188,35.176,100
189,35.176,100
190,35.176,100
191,35.180,100
192,35.180,100
193,35.180,100
194,35.180,100
195,34.907,100
196,34.907,100
197,34.907,100
198,34.907,100
199,33.747,100
200,33.245,100
201,33.245,100
202,33.245,100
203,33.245,100
204,32.566,100
205,32.566,100
206,32.566,100
207,32.566,100
208,32.566,100
209,31.778,100
210,30.447,100
211,30.447,100
212,30.447,100
213,30.447,100
214,30.447,100
215,30.019,100
216,30.019,100
217,30.019,100
218,28.253,100
219,28.253,100
220,28.169,100
221,28.169,100
222,28.169,100
223,28.169,100
224,26.248,100
225,26.248,100
226,26.468,100
227,26.468,100
228,26.468,100
229,26.468,100
230,24.437,100
231,24.437,100
232,24.437,100
233,24.384,100
234,24.384,100
235,24.384,100
236,21.727,100
237,21.727,100
238,21.727,100
239,21.727,100
240,21.727,100
241,19.427,100
242,19.427,100
243,19.427,100
244,19.427,100
245,19.427,100
246,18.283,100
247,18.283,100
248,18.283,100
249,18.283,100
