# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 相倉合掌造り集落 (緯度36.430688, 経度136.914051, 観測者標高733.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.699,2000
1,3.760,2000
2,3.633,2000
3,3.382,2000
4,3.488,2100
5,3.572,2400
6,4.112,2500
7,4.698,2500
8,5.551,2500
9,6.093,2500
10,6.129,2600
11,6.656,2700
12,6.405,2700
13,6.272,2800
14,6.621,3000
15,6.926,3000
16,7.000,3100
17,6.464,3100
18,5.983,3100
19,5.414,3100
20,4.672,3100
21,4.235,3100
22,4.047,4200
23,3.769,4200
24,4.091,5500
25,3.717,5600
26,3.967,5700
27,3.961,5700
28,3.474,5900
29,3.344,5900
30,3.929,200
31,3.929,200
32,5.594,200
33,5.594,200
34,5.803,200
35,7.192,200
36,7.192,200
37,7.192,200
38,8.695,200
39,8.695,200
40,9.561,200
41,10.098,200
42,10.098,200
43,10.444,200
44,10.940,200
45,10.940,200
46,10.647,200
47,11.298,200
48,11.298,200
49,11.508,100
50,11.799,200
51,11.799,200
52,11.799,200
53,12.764,200
54,14.617,100
55,14.617,100
56,15.621,100
57,15.621,100
58,15.621,100
59,17.630,100
60,17.630,100
61,17.630,100
62,17.630,100
63,17.630,100
64,19.448,100
65,20.591,100
66,20.591,100
67,20.591,100
68,20.591,100
69,23.132,100
70,23.132,100
71,23.132,100
72,23.132,100
73,23.132,100
74,25.314,100
75,25.314,100
76,25.314,100
77,25.314,100
78,28.231,100
79,28.231,100
80,28.231,100
81,28.231,100
82,28.231,100
83,29.868,100
84,29.868,100
85,29.868,100
86,29.868,100
87,31.429,100
88,31.429,100
89,31.429,100
90,31.429,100
91,32.830,100
92,32.830,100
93,32.830,100
94,32.830,100
95,32.830,100
96,33.948,100
97,33.948,100
98,33.948,100
99,33.948,100
100,34.683,100
101,34.683,100
102,34.683,100
103,32.631,100
104,32.631,100
105,32.038,100
106,32.038,100
107,32.038,100
108,32.038,100
109,31.270,100
110,31.270,100
111,31.270,100
112,31.270,100
113,31.270,100
114,30.617,100
115,30.617,100
116,28.621,100
117,28.621,100
118,28.621,100
119,28.872,100
120,28.872,100
121,28.872,100
122,28.872,100
123,28.872,100
124,29.488,100
125,27.623,100
126,27.623,100
127,27.623,100
128,27.623,100
129,28.876,100
130,28.876,100
131,28.876,100
132,26.844,100
133,26.844,100
134,26.844,100
135,28.106,100
136,28.106,100
137,28.106,100
138,28.106,100
139,25.873,100
140,25.873,100
141,25.873,100
142,26.743,100
143,26.743,100
144,24.137,100
145,24.137,100
146,24.137,100
147,24.137,100
148,24.137,100
149,24.137,100
150,21.450,100
151,21.450,100
152,21.450,100
153,21.450,100
154,21.450,100
155,18.670,100
156,18.670,100
157,18.670,100
158,18.670,100
159,16.182,100
160,15.891,100
161,15.891,100
162,15.891,100
163,15.891,100
164,13.023,100
165,13.023,100
166,13.023,100
167,13.023,100
168,13.023,100
169,10.934,200
170,10.143,100
171,10.370,1500
172,10.464,1500
173,10.437,1500
174,10.164,1500
175,10.082,1400
176,9.519,1500
177,9.112,1500
178,8.643,800
179,9.034,800
180,9.871,800
181,10.738,800
182,11.058,800
183,10.489,800
184,10.102,800
185,10.029,500
186,10.130,700
187,10.517,700
188,11.085,700
189,11.158,700
190,11.247,700
191,11.519,600
192,11.894,600
193,12.453,600
194,12.263,600
195,12.657,600
196,13.700,600
197,13.438,600
198,13.435,600
199,12.806,600
200,12.975,600
201,12.896,600
202,13.308,600
203,13.967,600
204,14.359,600
205,14.052,600
206,14.178,600
207,14.273,600
208,14.231,600
209,14.388,600
210,13.718,600
211,13.006,600
212,12.637,600
213,11.770,600
214,11.285,600
215,11.003,600
216,10.752,600
217,10.572,600
218,10.862,600
219,11.053,600
220,11.162,600
221,11.146,600
222,11.069,600
223,11.272,600
224,11.026,600
225,10.786,600
226,10.619,600
227,10.393,600
228,10.133,600
229,9.567,600
230,8.999,600
231,8.849,800
232,9.127,800
233,9.951,900
234,10.304,1000
235,10.745,1000
236,11.042,1100
237,11.398,1100
238,11.208,1100
239,10.873,1100
240,10.662,1100
241,10.484,1100
242,10.680,1100
243,11.173,1100
244,10.882,1100
245,10.530,1100
246,10.226,1100
247,9.975,1100
248,9.539,1100
249,9.087,1100
250,8.945,1100
251,8.623,1100
252,9.129,1000
253,9.319,1000
254,9.612,1000
255,9.523,1000
256,9.300,900
257,9.355,900
258,9.307,900
259,9.155,800
260,9.149,800
261,9.246,1800
262,9.727,1800
263,9.925,1800
264,9.880,1800
265,10.437,600
266,11.190,600
267,11.872,600
268,11.794,600
269,11.326,600
270,11.140,500
271,11.516,500
272,11.927,500
273,12.372,500
274,12.223,500
275,11.662,500
276,10.610,400
277,10.895,400
278,11.186,400
279,11.502,400
280,11.189,400
281,11.562,400
282,11.924,400
283,11.924,400
284,12.376,400
285,12.232,400
286,12.635,400
287,13.008,400
288,13.326,400
289,12.944,400
290,13.177,400
291,13.177,400
292,12.331,400
293,12.349,400
294,12.320,400
295,11.556,400
296,11.494,400
297,10.937,400
298,11.132,400
299,11.282,400
300,11.107,400
301,11.246,400
302,11.034,400
303,11.111,400
304,10.982,400
305,10.892,400
306,10.816,400
307,10.626,400
308,10.009,400
309,9.479,400
310,9.626,400
311,9.358,400
312,8.766,400
313,8.960,400
314,8.376,400
315,7.996,400
316,8.086,400
317,7.362,400
318,7.424,400
319,6.857,400
320,6.339,400
321,6.126,400
322,5.357,400
323,5.008,1000
324,5.100,1000
325,4.771,1000
326,3.895,1000
327,2.953,900
328,2.605,400
329,1.886,900
330,1.495,900
331,1.822,2100
332,2.001,2100
333,2.468,2100
334,2.375,2100
335,2.269,1900
336,1.806,1900
337,1.447,2200
338,1.655,2300
339,1.377,2200
340,0.883,2200
341,0.773,2500
342,0.414,2500
343,0.279,2500
344,0.490,2400
345,1.136,2400
346,1.427,2400
347,1.910,2400
348,2.181,2400
349,2.702,1500
350,3.136,1500
351,3.486,1400
352,3.808,1400
353,3.680,2200
354,3.746,2200
355,3.994,2100
356,3.918,2100
357,3.490,2100
358,3.670,2000
