# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 剱沢キャンプ場 (緯度36.603517, 経度137.616585, 観測者標高2496.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,12.260,2200
1,12.653,2200
2,12.532,2200
3,11.715,2200
4,10.662,2200
5,10.399,2100
6,9.914,2100
7,9.036,2500
8,8.637,2500
9,8.602,2600
10,7.909,2600
11,7.302,2600
12,7.535,2700
13,6.879,2000
14,6.735,1900
15,7.049,1900
16,7.067,1900
17,6.533,2600
18,6.053,2600
19,5.960,1800
20,6.433,1800
21,5.830,1800
22,4.920,1800
23,3.919,2500
24,3.833,2400
25,3.878,2400
26,3.625,2400
27,3.130,2400
28,3.110,2400
29,3.551,2400
30,3.009,2400
31,2.357,2400
32,2.076,2500
33,1.852,2500
34,2.448,2400
35,2.509,2400
36,3.550,2400
37,3.163,2400
38,2.529,2400
39,1.352,2300
40,1.259,300
41,2.017,300
42,2.549,300
43,3.775,300
44,4.341,300
45,5.164,300
46,5.568,300
47,5.568,300
48,6.704,300
49,7.171,400
50,7.980,300
51,8.240,400
52,9.582,300
53,9.823,400
54,11.257,300
55,11.295,400
56,11.928,400
57,12.897,300
58,13.457,300
59,13.956,300
60,15.178,300
61,15.664,300
62,15.664,300
63,17.278,300
64,17.678,300
65,17.678,300
66,19.238,300
67,19.238,300
68,19.410,300
69,19.561,300
70,20.465,300
71,20.522,300
72,20.614,300
73,20.614,300
74,20.769,300
75,22.062,300
76,22.062,300
77,22.356,300
78,22.575,300
79,22.575,300
80,22.612,300
81,22.752,300
82,22.752,300
83,22.642,300
84,22.521,300
85,22.521,300
86,22.342,300
87,21.952,300
88,21.952,300
89,21.482,300
90,20.961,300
91,20.533,300
92,20.533,300
93,20.179,300
94,19.938,300
95,19.938,300
96,19.852,300
97,19.857,300
98,19.857,300
99,19.973,300
100,21.858,300
101,21.858,300
102,22.214,300
103,22.436,300
104,22.436,300
105,22.703,300
106,24.206,300
107,24.206,300
108,24.739,300
109,25.352,300
110,25.352,300
111,26.033,300
112,26.356,300
113,26.356,300
114,26.677,300
115,26.543,300
116,26.851,300
117,27.140,300
118,26.656,300
119,26.899,300
120,26.899,300
121,26.477,300
122,26.756,300
123,26.756,300
124,26.181,300
125,26.181,300
126,26.492,300
127,25.499,300
128,25.882,300
129,25.176,300
130,25.176,300
131,24.488,300
132,24.488,300
133,24.605,400
134,24.673,400
135,25.394,400
136,25.050,400
137,25.135,400
138,25.639,400
139,24.803,400
140,25.613,500
141,26.188,500
142,26.117,500
143,26.497,500
144,27.037,500
145,27.684,600
146,28.224,600
147,27.975,600
148,27.458,600
149,27.428,700
150,27.824,700
151,27.920,700
152,27.835,700
153,27.075,700
154,26.911,700
155,26.323,700
156,25.973,700
157,25.877,700
158,25.480,700
159,25.116,700
160,24.709,700
161,24.462,800
162,24.569,800
163,24.621,800
164,24.558,800
165,24.449,800
166,23.986,800
167,23.825,800
168,23.598,800
169,23.246,800
170,22.747,800
171,22.406,800
172,22.332,900
173,22.496,900
174,22.642,900
175,22.493,900
176,22.249,900
177,22.008,900
178,21.728,900
179,21.498,900
180,21.463,900
181,21.488,900
182,21.490,900
183,21.392,900
184,21.140,900
185,20.880,900
186,20.561,900
187,20.257,900
188,20.029,900
189,19.849,900
190,19.779,900
191,19.318,900
192,19.306,900
193,19.323,900
194,18.921,900
195,18.809,900
196,18.165,900
197,17.471,900
198,17.358,900
199,17.055,900
200,16.814,900
201,16.920,900
202,16.563,900
203,16.478,100
204,16.478,100
205,16.499,100
206,16.499,100
207,16.055,100
208,16.055,100
209,16.055,100
210,15.746,1000
211,15.737,100
212,15.737,100
213,15.967,600
214,16.437,600
215,16.861,600
216,17.056,600
217,17.034,600
218,17.184,600
219,17.278,500
220,17.370,600
221,17.443,600
222,17.559,600
223,17.626,600
224,17.613,600
225,17.897,900
226,17.901,500
227,18.146,600
228,18.501,600
229,18.810,600
230,19.085,600
231,19.372,600
232,19.837,600
233,19.951,600
234,20.541,600
235,21.032,600
236,21.450,600
237,21.806,600
