# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 柳田星の観察館満天星 (緯度37.335398, 経度137.136789, 観測者標高192.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.956,7800
1,1.085,8100
2,1.014,8100
3,0.979,8000
4,1.051,8100
5,1.109,8400
6,1.195,8500
7,1.244,8400
8,1.228,10600
9,1.307,10600
10,1.360,10600
11,1.342,10600
12,1.334,10700
13,1.320,10500
14,1.419,10500
15,1.422,10500
16,1.363,10400
17,1.386,10200
18,1.197,10100
19,1.287,9800
20,1.065,10200
21,0.969,10200
22,0.901,3000
23,0.945,10400
24,0.883,3100
25,0.860,3100
26,0.834,2600
27,0.826,3700
28,0.782,3600
29,0.751,2800
30,0.765,2800
31,0.715,2900
32,0.743,4000
33,0.788,500
34,0.758,500
35,0.857,500
36,0.867,500
37,0.867,500
38,0.859,500
39,0.844,500
40,0.720,2200
41,0.745,2200
42,0.678,1300
43,0.723,1300
44,0.728,1300
45,0.639,1300
46,0.663,1300
47,0.730,1300
48,0.740,1300
49,0.732,1300
50,0.776,1800
51,0.871,1800
52,0.818,500
53,0.844,500
54,0.865,500
55,0.870,500
56,0.867,800
57,0.849,500
58,0.830,500
59,0.837,500
60,0.818,500
61,0.841,500
62,0.829,500
63,0.838,500
64,0.815,500
65,0.813,500
66,0.763,500
67,0.783,500
68,0.738,500
69,0.773,500
70,0.750,200
71,0.762,500
72,0.761,200
73,0.761,200
74,0.738,300
75,0.751,300
76,0.751,300
77,0.738,300
78,0.688,300
79,0.648,300
80,0.409,300
81,0.226,500
82,0.255,500
83,0.279,500
84,0.306,500
85,0.327,500
86,0.340,500
87,0.344,500
88,0.326,500
89,0.262,500
90,0.158,500
91,0.134,1000
92,0.063,1000
93,0.023,400
94,0.160,400
95,0.271,400
96,0.271,400
97,0.341,400
98,0.384,400
99,0.398,400
100,0.391,400
101,0.359,400
102,0.357,400
103,0.288,400
104,0.177,400
105,0.029,400
106,0.109,400
107,0.109,400
108,-0.026,400
109,-0.146,400
110,0.077,400
111,-0.039,400
112,-0.141,400
113,0.071,400
114,0.071,400
115,-0.014,400
116,0.082,400
117,0.130,600
118,0.063,600
119,0.040,600
120,0.149,400
121,0.155,600
122,0.279,400
123,0.309,400
124,0.418,400
125,0.461,400
126,0.523,400
127,0.510,400
128,0.470,400
129,0.401,400
130,0.389,400
131,0.328,400
132,0.410,400
133,0.294,400
134,0.269,400
135,0.262,400
136,0.226,400
137,0.208,400
138,0.182,400
139,0.100,400
140,0.100,400
141,0.027,300
142,-0.003,300
143,0.010,300
144,-0.020,300
145,-0.020,300
146,-0.043,300
147,-0.085,300
148,-0.062,300
149,-0.104,300
150,-0.104,300
151,-0.135,300
152,-0.179,300
153,-0.179,300
154,-0.217,300
155,-0.217,300
156,-0.276,300
157,-0.347,300
158,-0.349,300
159,-0.412,300
160,-0.417,50000
161,-0.417,50000
162,-0.417,50000
163,-0.405,400
164,-0.317,400
165,-0.317,400
166,-0.294,400
167,-0.294,400
168,-0.316,500
169,-0.327,400
170,-0.312,400
171,-0.302,400
172,-0.301,400
173,-0.327,400
174,-0.358,400
175,-0.384,400
176,-0.384,400
177,-0.417,50000
178,-0.417,50000
179,-0.417,50000
180,-0.417,50000
181,-0.417,50000
182,-0.417,50000
183,-0.417,50000
184,-0.417,50000
185,-0.417,50000
186,-0.417,50000
187,-0.417,50000
188,-0.417,50000
189,-0.417,50000
190,-0.407,41400
191,-0.332,41600
192,-0.245,41800
193,-0.176,42300
194,-0.085,42200
195,0.020,42100
196,0.086,43100
197,0.077,42700
198,0.201,43000
199,0.268,43200
200,0.254,43600
201,0.218,45200
202,0.162,45600
203,0.135,46400
204,0.096,47400
205,-0.009,50000
206,-0.086,49800
207,-0.223,50000
208,-0.347,37000
209,-0.270,27700
210,-0.183,27900
211,-0.104,28000
212,-0.128,27100
213,-0.231,43900
214,-0.174,44400
215,-0.139,44400
216,-0.160,43300
217,-0.182,42200
218,-0.134,800
219,-0.129,800
220,-0.099,900
221,0.043,1000
222,-0.074,1000
223,-0.093,1000
224,-0.029,1000
225,-0.132,1000
226,-0.144,1000
227,-0.131,1300
228,-0.100,400
229,-0.120,400
230,-0.016,400
231,0.014,400
232,0.029,400
233,0.029,400
234,-0.026,37300
235,0.126,1600
236,0.146,1600
237,0.068,1600
238,0.159,30000
239,0.103,31500
240,0.122,33000
241,0.162,31700
242,0.213,31800
243,0.205,31300
244,0.232,31200
