# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 恋路海岸 (緯度37.371792, 経度137.238098, 観測者標高8.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.724,200
1,3.587,200
2,3.587,200
3,3.330,200
4,3.330,200
5,1.798,200
6,1.798,200
7,1.798,200
8,0.779,14100
9,0.792,14000
10,0.769,14100
11,0.674,13900
12,0.547,14300
13,0.573,13900
14,0.594,14200
15,0.484,14400
16,0.627,14900
17,0.591,15300
18,0.644,15300
19,0.665,15600
20,0.582,15600
21,0.534,16500
22,0.635,16600
23,0.543,16600
24,0.470,16600
25,0.447,16400
26,0.449,17200
27,0.373,17300
28,0.412,17500
29,0.198,17600
30,0.128,15700
31,0.098,16500
32,0.088,15900
33,0.082,10400
34,0.096,9800
35,0.077,10600
36,0.077,10500
37,0.061,10700
38,0.062,10800
39,0.044,11000
40,0.020,11400
41,0.025,11700
42,0.015,11600
43,0.036,12100
44,0.025,12000
45,0.016,12000
46,0.042,13200
47,0.045,13000
48,0.048,12700
49,0.044,12600
50,0.013,12500
51,-0.053,12900
52,-0.086,11000
53,-0.086,11000
54,-0.086,11000
55,-0.086,11000
56,-0.086,11000
57,-0.086,11000
58,-0.086,11000
59,-0.086,11000
60,-0.086,11000
61,-0.086,11000
62,-0.086,11000
63,-0.086,11000
64,-0.086,11000
65,-0.086,11000
66,-0.086,11000
67,-0.086,11000
68,-0.086,11000
69,-0.086,11000
70,-0.086,11000
71,-0.086,11000
72,-0.086,11000
73,-0.086,11000
74,-0.086,11000
75,-0.086,11000
76,-0.086,11000
77,-0.086,11000
78,-0.086,11000
79,-0.086,11000
80,-0.086,11000
81,-0.086,11000
82,-0.086,11000
83,-0.086,11000
84,-0.086,11000
85,-0.086,11000
86,-0.086,11000
87,-0.086,11000
88,-0.086,11000
89,-0.086,11000
90,-0.086,11000
91,-0.086,11000
92,-0.086,11000
93,-0.086,11000
94,-0.086,11000
95,-0.086,11000
96,-0.086,11000
97,-0.086,11000
98,-0.086,11000
99,-0.086,11000
100,-0.086,11000
101,-0.086,11000
102,-0.086,11000
103,-0.086,11000
104,-0.086,11000
105,-0.086,11000
106,-0.086,11000
107,-0.086,11000
108,-0.086,11000
109,-0.086,11000
110,-0.086,11000
111,-0.086,11000
112,-0.086,11000
113,0.068,100
114,0.068,100
115,0.068,100
116,0.068,100
117,1.094,100
118,1.094,100
119,1.094,100
120,1.094,100
121,1.094,100
122,3.753,100
123,3.753,100
124,3.753,100
125,3.753,100
126,3.753,100
127,3.753,100
128,5.665,100
129,6.203,100
130,6.203,100
131,6.203,100
132,6.203,100
133,7.452,100
134,7.452,100
135,7.452,100
136,7.621,100
137,7.621,100
138,7.621,100
139,8.216,100
140,8.216,100
141,8.216,100
142,8.127,100
143,8.127,100
144,8.127,100
145,8.127,100
146,8.127,100
147,8.385,100
148,8.385,100
149,8.385,100
150,8.385,100
151,8.385,100
152,8.093,100
153,8.093,100
154,8.093,100
155,8.603,100
156,8.603,100
157,8.301,100
158,8.301,100
159,8.301,100
160,8.301,100
161,8.301,100
162,8.115,100
163,8.115,100
164,8.115,100
165,8.115,100
166,8.429,100
167,8.429,100
168,8.429,100
169,8.429,100
170,8.889,100
171,9.865,100
172,9.865,100
173,9.865,100
174,9.865,100
175,10.542,100
176,10.542,100
177,10.542,100
178,10.542,100
179,11.039,100
180,11.039,100
181,11.039,100
182,11.039,100
183,11.039,100
184,11.139,100
185,11.139,100
186,11.139,100
187,11.139,100
188,10.979,100
189,10.979,100
190,10.979,100
191,9.976,100
192,9.609,100
193,9.609,100
194,9.609,100
195,9.609,100
196,9.609,100
197,9.230,100
198,9.230,100
199,9.230,100
200,9.230,100
201,9.230,100
202,8.486,100
203,8.486,100
204,8.486,100
205,8.486,100
206,6.969,200
207,7.288,200
208,7.288,200
209,7.378,200
210,7.124,200
211,7.124,200
212,7.110,200
213,7.110,200
214,6.979,300
215,6.979,300
216,7.092,300
217,7.178,300
218,7.178,300
219,7.248,300
220,7.248,300
221,7.229,300
222,7.229,300
223,7.270,300
224,7.148,300
225,7.197,300
226,7.067,300
227,7.109,300
228,8.003,100
229,8.003,100
230,8.003,100
231,8.003,100
232,8.003,100
233,8.822,100
234,8.822,100
235,9.837,100
236,9.837,100
237,9.837,100
238,9.837,100
239,9.174,100
240,9.174,100
241,9.174,100
242,9.174,100
243,9.174,100
244,8.239,100
245,8.239,100
246,8.239,100
247,8.239,100
248,7.223,800
249,7.104,800
250,7.012,800
251,6.850,800
252,6.803,100
253,6.518,800
254,6.329,800
255,6.274,700
256,6.207,700
257,6.067,700
258,6.035,700
259,5.955,300
260,5.932,600
261,6.023,600
262,6.266,100
263,6.266,100
264,6.266,100
265,6.266,100
266,8.166,100
267,8.166,100
268,8.166,100
269,8.166,100
270,8.166,100
271,10.292,100
272,10.292,100
273,10.292,100
274,10.292,100
275,11.651,100
276,11.651,100
277,11.651,100
278,11.651,100
279,12.527,100
280,12.527,100
281,12.527,100
282,12.527,100
283,12.527,100
284,12.664,100
285,12.522,100
286,12.522,100
287,12.522,100
288,12.440,100
289,12.440,100
290,12.440,100
291,12.440,100
292,12.440,100
293,12.035,100
294,12.035,100
295,12.035,100
296,12.035,100
297,11.777,100
298,10.536,100
299,10.536,100
300,10.536,100
301,10.536,100
302,10.536,100
303,9.112,100
304,9.112,100
305,9.112,100
306,8.905,100
307,8.905,100
308,7.649,100
309,7.649,100
310,7.649,100
311,7.649,100
312,7.649,100
313,7.502,100
314,7.502,200
315,7.293,200
316,7.293,200
317,7.240,200
318,6.949,200
319,6.949,200
320,6.819,200
321,6.506,200
322,6.506,200
323,6.336,200
324,6.005,200
325,6.005,200
326,5.622,200
327,5.846,200
328,5.846,200
329,5.534,200
330,5.534,200
331,6.064,200
332,5.854,200
333,5.854,200
334,5.520,200
335,5.520,200
336,5.511,200
337,5.511,200
338,5.511,200
339,4.613,200
340,4.613,200
341,3.587,200
342,4.263,200
343,3.604,200
344,3.604,200
345,3.604,200
346,3.322,200
347,3.322,200
348,3.184,200
349,3.184,200
350,3.053,200
351,3.675,200
352,3.587,200
353,3.587,200
354,3.587,200
355,3.635,200
356,3.635,200
357,3.710,200
358,3.710,200
359,3.724,200
