# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 見附島 (緯度37.396137, 経度137.247322, 観測者標高13.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,1.284,10900
1,1.114,11000
2,1.060,11100
3,1.095,11200
4,1.002,11200
5,0.917,11400
6,0.989,11300
7,0.996,11300
8,0.962,11300
9,0.839,11100
10,0.820,10100
11,0.687,11400
12,0.703,11400
13,0.738,11400
14,0.715,11000
15,0.763,11500
16,0.723,12000
17,0.745,12400
18,0.862,12500
19,0.835,12700
20,0.734,12800
21,0.665,12800
22,0.658,14100
23,0.749,13800
24,0.657,13800
25,0.638,13800
26,0.611,13700
27,0.530,13700
28,0.561,14400
29,0.487,14600
30,0.558,14800
31,0.263,14900
32,0.181,12700
33,0.141,8500
34,0.150,8500
35,0.107,13200
36,0.096,8600
37,0.114,7900
38,0.093,7700
39,0.097,7700
40,0.113,7100
41,0.115,7100
42,0.095,7700
43,0.073,8100
44,0.069,8100
45,0.070,8200
46,0.049,8500
47,0.014,8900
48,0.025,9100
49,0.012,9100
50,0.015,9700
51,0.024,9700
52,0.020,9600
53,0.035,11000
54,0.045,10800
55,0.047,10700
56,0.050,10400
57,0.051,10300
58,0.026,10200
59,-0.008,10300
60,-0.110,14100
61,-0.110,14100
62,-0.110,14100
63,-0.110,14100
64,-0.110,14100
65,-0.110,14100
66,-0.110,14100
67,-0.110,14100
68,-0.110,14100
69,-0.110,14100
70,-0.110,14100
71,-0.110,14100
72,-0.110,14100
73,-0.110,14100
74,-0.110,14100
75,-0.110,14100
76,-0.110,14100
77,-0.110,14100
78,-0.110,14100
79,-0.110,14100
80,-0.110,14100
81,-0.110,14100
82,-0.110,14100
83,-0.110,14100
84,-0.110,14100
85,-0.110,14100
86,-0.110,14100
87,-0.110,14100
88,-0.110,14100
89,-0.110,14100
90,-0.110,14100
91,-0.110,14100
92,-0.110,14100
93,-0.110,14100
94,-0.110,14100
95,-0.110,14100
96,-0.110,14100
97,-0.110,14100
98,-0.110,14100
99,-0.110,14100
100,-0.110,14100
101,-0.110,14100
102,-0.110,14100
103,-0.110,14100
104,-0.110,14100
105,-0.110,14100
106,-0.110,14100
107,-0.110,14100
108,-0.110,14100
109,-0.110,14100
110,-0.110,14100
111,-0.110,14100
112,-0.110,14100
113,-0.110,14100
114,-0.110,14100
115,-0.110,14100
116,-0.110,14100
117,-0.110,14100
118,-0.110,14100
119,-0.110,14100
120,-0.110,14100
121,-0.110,14100
122,-0.110,14100
123,-0.110,14100
124,-0.110,14100
125,-0.110,14100
126,-0.110,14100
127,-0.110,14100
128,-0.110,14100
129,-0.110,14100
130,-0.110,14100
131,-0.110,14100
132,-0.110,14100
133,-0.110,14100
134,-0.110,14100
135,-0.110,14100
136,-0.110,14100
137,-0.110,14100
138,-0.110,14100
139,-0.110,14100
140,-0.110,14100
141,-0.110,14100
142,-0.110,14100
143,-0.110,14100
144,-0.110,14100
145,-0.110,14100
146,-0.110,14100
147,-0.110,14100
148,-0.110,14100
149,-0.110,14100
150,-0.110,14100
151,-0.110,14100
152,-0.110,14100
153,-0.110,14100
154,-0.110,14100
155,-0.110,14100
156,-0.110,14100
157,-0.110,14100
158,-0.110,14100
159,-0.062,4800
160,-0.034,4800
161,0.008,4700
162,0.017,4700
163,0.017,4700
164,0.049,4900
165,0.099,4900
166,0.110,5000
167,0.136,5100
168,0.159,5100
169,0.206,5100
170,0.164,5100
171,0.138,5100
172,0.116,5100
173,0.119,5100
174,0.120,5100
175,0.122,5200
176,0.141,5200
177,0.166,5200
178,0.147,5200
179,0.193,5200
180,0.181,5200
181,0.187,5300
182,0.229,6700
183,0.308,6800
184,0.274,6900
185,0.252,3200
186,0.248,3200
187,0.293,8600
188,0.419,8500
189,0.459,8600
190,0.484,8600
191,0.508,8600
192,0.543,8700
193,0.559,8800
194,0.594,8500
195,0.609,9000
196,0.619,9000
197,0.633,9100
198,0.652,3300
199,0.778,3300
200,0.884,3300
201,1.002,3400
202,1.233,3400
203,1.336,3400
204,1.365,3400
205,1.517,3400
206,1.609,3400
207,1.624,3400
208,1.610,3400
209,1.614,3400
210,1.554,3400
211,1.501,3500
212,1.488,3700
213,1.680,3600
214,1.768,3600
215,1.856,3700
216,1.937,3700
217,1.990,3600
218,2.028,3600
219,2.059,3700
220,2.157,2300
221,2.352,2300
222,2.481,2500
223,2.571,2500
224,2.585,2500
225,2.659,2500
226,2.637,2500
227,2.589,2500
228,2.586,2400
229,2.451,2400
230,2.539,2400
231,2.754,2400
232,2.899,2400
233,2.691,2500
234,2.642,2500
235,2.532,2600
236,2.472,2700
237,2.373,2700
238,2.298,2700
239,2.239,2600
240,2.277,3500
241,2.298,3500
242,2.239,3200
243,2.017,4300
244,2.064,4300
245,2.263,2600
246,2.465,2700
247,2.551,2900
248,2.390,2900
249,2.058,5700
250,2.056,5300
251,1.987,4900
252,2.023,5600
253,2.036,5300
254,1.993,5500
255,1.895,5500
256,1.870,5400
257,1.847,5000
258,2.037,4400
259,2.191,4500
260,2.120,4900
261,2.089,4900
262,2.057,4900
263,2.016,4800
264,1.994,4900
265,2.084,4700
266,2.101,4100
267,2.110,4100
268,2.041,4100
269,1.823,4300
270,1.686,7300
271,1.640,7600
272,1.805,9200
273,1.982,8500
274,2.091,8300
275,2.181,8400
276,2.211,8300
277,2.146,6400
278,2.326,7300
279,2.304,7400
280,2.428,7300
281,2.613,7400
282,2.406,7000
283,2.574,8400
284,2.647,6800
285,2.880,7100
286,2.898,7000
287,2.749,7000
288,2.833,7100
289,3.022,7100
290,3.145,7100
291,3.266,7100
292,3.210,7100
293,3.200,7200
294,3.324,7400
295,3.257,7500
296,3.146,7900
297,3.103,6300
298,3.188,6200
299,3.166,8000
300,3.181,7800
301,3.091,7700
302,3.008,7800
303,3.146,5800
304,3.148,5800
305,3.177,5900
306,3.135,7500
307,3.077,7500
308,3.027,7400
309,2.875,7400
310,2.979,7200
311,2.753,7200
312,2.597,4700
313,2.854,7100
314,2.721,7100
315,2.757,7000
316,2.798,6900
317,2.823,6700
318,2.989,6600
319,2.911,6500
320,2.778,6500
321,2.719,6400
322,2.689,6300
323,2.740,6300
324,2.590,6200
325,2.605,6200
326,2.224,6200
327,2.181,6700
328,2.154,6300
329,2.312,6500
330,2.288,6500
331,2.318,6300
332,2.270,6300
333,2.263,6100
334,2.120,6100
335,2.180,6300
336,2.095,6300
337,1.978,5300
338,1.923,5300
339,1.848,6200
340,1.831,5300
341,1.931,4800
342,1.861,4600
343,1.820,4600
344,1.709,4700
345,1.758,5100
346,1.530,4900
347,1.373,4900
348,1.258,4900
349,1.452,5400
350,1.536,5400
351,1.457,5500
352,1.421,5500
353,1.170,5500
354,1.296,10500
355,1.359,10900
356,1.292,10900
357,1.237,10900
358,1.208,10900
359,1.381,11000
