# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 白山 (緯度36.155046, 経度136.771467, 観測者標高2701.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-3.057,50000
1,-3.010,41500
2,-2.906,41300
3,-2.702,41200
4,-2.757,41100
5,-2.816,18400
6,-3.038,41700
7,-2.851,23500
8,-3.082,50000
9,-3.129,47900
10,-3.167,49100
11,-3.097,28100
12,-2.772,28000
13,-2.660,28300
14,-2.884,28500
15,-3.029,28700
16,-3.111,31200
17,-3.065,31300
18,-3.201,50000
19,-3.002,32700
20,-3.075,38100
21,-2.853,37500
22,-2.633,37400
23,-2.496,39300
24,-2.428,43700
25,-2.439,42900
26,-2.753,43500
27,-2.579,48300
28,-2.280,48600
29,-2.231,49000
30,-2.393,49400
31,-2.421,44900
32,-2.366,44500
33,-2.389,44100
34,-2.352,25900
35,-2.235,26300
36,-2.395,43700
37,-2.365,26300
38,-2.292,26000
39,-2.395,26200
40,-2.235,47200
41,-2.140,46800
42,-2.170,45800
43,-1.916,45100
44,-1.846,43800
45,-1.862,35200
46,-1.787,43000
47,-1.710,43200
48,-1.793,42500
49,-1.947,42200
50,-2.051,50000
51,-2.228,36000
52,-2.226,36400
53,-2.234,35200
54,-2.114,49600
55,-2.019,49900
56,-2.038,49700
57,-1.970,49800
58,-1.903,49800
59,-1.795,49800
60,-1.922,49500
61,-1.950,49100
62,-1.987,48100
63,-1.997,47600
64,-1.890,47100
65,-1.771,49500
66,-1.871,45300
67,-2.179,44800
68,-2.484,44000
69,-2.355,44200
70,-2.334,41700
71,-2.304,47500
72,-2.107,47600
73,-2.265,47300
74,-2.139,48400
75,-2.026,47500
76,-1.876,49000
77,-1.826,48600
78,-1.872,49600
79,-1.913,49200
80,-2.080,47300
81,-2.104,47800
82,-2.385,48900
83,-2.385,30800
84,-2.376,31900
85,-2.283,49400
86,-2.398,31600
87,-2.462,50000
88,-2.538,50000
89,-2.451,49900
90,-2.369,49400
91,-2.429,50000
92,-2.443,49900
93,-2.449,50000
94,-2.235,48700
95,-2.219,48600
96,-2.182,48600
97,-2.249,46100
98,-2.252,46200
99,-2.162,49300
100,-2.049,50000
101,-2.094,49600
102,-2.112,49700
103,-1.898,50000
104,-2.059,49900
105,-2.058,49900
106,-2.160,41000
107,-1.986,40600
108,-1.843,40400
109,-1.762,44500
110,-1.814,44300
111,-2.022,44400
112,-2.059,41400
113,-1.948,44700
114,-1.970,37800
115,-1.840,37800
116,-1.824,37900
117,-1.870,37400
118,-2.084,37200
119,-2.108,40200
120,-2.049,40900
121,-2.022,41100
122,-1.838,41600
123,-2.042,42100
124,-2.215,43300
125,-2.109,43800
126,-2.274,43900
127,-2.181,46100
128,-2.273,47100
129,-2.287,48500
130,-2.265,39300
131,-2.211,50000
132,-2.162,46900
133,-2.152,48700
134,-2.176,50000
135,-2.218,50000
136,-2.147,30500
137,-2.183,47300
138,-1.988,47500
139,-2.058,46700
140,-2.096,31800
141,-2.202,32400
142,-2.230,47000
143,-2.174,45700
144,-2.049,31000
145,-2.129,31400
146,-2.112,31600
147,-2.296,45800
148,-2.254,46200
149,-2.261,47400
150,-2.288,48800
151,-2.419,49300
152,-2.511,49400
153,-2.538,50000
154,-2.501,49500
155,-2.548,49300
156,-2.490,49000
157,-2.606,49600
158,-2.625,49600
159,-2.757,50000
160,-2.770,50000
161,-3.013,49400
162,-2.767,50000
163,-2.673,47000
164,-2.494,46300
165,-2.544,48800
166,-2.448,48900
167,-2.418,48800
168,-2.201,46000
169,-2.234,46000
170,-2.153,46100
171,-2.223,45700
172,-2.250,45100
173,-2.345,45200
174,-2.455,46700
175,-2.454,41200
176,-2.528,41400
177,-2.263,46500
178,-2.390,46300
179,-2.190,39500
180,-2.048,39700
181,-2.306,38400
182,-2.364,48700
183,-2.191,38800
184,-1.970,40200
185,-2.083,47100
186,-2.101,47700
187,-2.026,38600
188,-1.998,46800
189,-2.004,46300
190,-2.023,46800
191,-2.238,43300
192,-2.195,42300
193,-2.213,42200
194,-2.289,48600
195,-2.247,50000
196,-2.286,49900
197,-2.064,50000
198,-2.153,41900
199,-2.254,42000
200,-2.420,46600
201,-2.225,44700
202,-2.137,49200
203,-2.053,50000
204,-1.828,49800
205,-1.716,49600
206,-1.570,49900
207,-1.651,49900
208,-1.507,49400
209,-1.638,48500
210,-1.894,49800
211,-1.871,46000
212,-1.769,45300
213,-1.842,45100
214,-2.023,45300
215,-2.010,49400
216,-2.091,48800
217,-2.237,46200
218,-2.177,50000
219,-2.284,49300
220,-2.131,48100
221,-2.127,47800
222,-2.069,47200
223,-1.938,40700
224,-1.929,43400
225,-1.883,42400
226,-1.913,42600
227,-2.155,41900
228,-2.350,42100
229,-2.603,44100
230,-2.574,50000
231,-2.712,49900
232,-2.823,42900
233,-2.924,45200
234,-2.805,45100
235,-2.758,48200
236,-2.568,49400
237,-2.594,49100
238,-2.646,49200
239,-2.878,49800
240,-2.918,45100
241,-2.903,46300
242,-2.859,45400
243,-2.758,45700
244,-2.785,44200
245,-2.771,44300
246,-2.931,49100
247,-2.965,49600
248,-3.147,49700
249,-3.182,38800
250,-3.022,38900
251,-3.127,40100
252,-3.103,37300
253,-3.055,43100
254,-3.160,42500
255,-3.184,42400
256,-3.276,50000
257,-3.277,50000
258,-3.279,50000
259,-3.277,50000
260,-3.278,50000
261,-3.278,50000
262,-3.279,50000
263,-2.990,34500
264,-2.982,34400
265,-3.004,34100
266,-2.998,34200
267,-3.066,34100
268,-3.221,34700
269,-3.282,50000
270,-3.281,50000
271,-3.252,36300
272,-2.972,36600
273,-3.078,36400
274,-3.244,36500
275,-3.003,36600
276,-2.933,36900
277,-3.139,36800
278,-3.169,40200
279,-3.175,40300
280,-3.241,50000
281,-3.240,50000
282,-3.217,40400
283,-3.285,49700
284,-3.286,49800
285,-3.245,50000
286,-3.239,49800
287,-3.252,50000
288,-3.262,49900
289,-3.287,50000
290,-3.287,50000
291,-3.287,50000
292,-3.287,50000
293,-3.287,50000
294,-3.287,50000
295,-3.287,50000
296,-3.287,50000
297,-3.287,50000
298,-3.287,50000
299,-3.287,50000
300,-3.287,50000
301,-3.287,50000
302,-3.287,50000
303,-3.287,50000
304,-3.287,50000
305,-3.287,50000
306,-3.287,50000
307,-3.287,50000
308,-3.287,50000
309,-3.287,50000
310,-3.287,50000
311,-3.287,50000
312,-3.287,50000
313,-3.287,50000
314,-3.287,50000
315,-3.287,50000
316,-3.287,50000
317,-3.287,50000
318,-3.287,50000
319,-3.287,50000
320,-3.287,50000
321,-3.287,50000
322,-3.287,50000
323,-3.011,900
324,-2.535,900
325,-2.077,900
326,-1.850,900
327,-1.439,900
328,-1.292,900
329,-1.387,900
330,-1.463,900
331,-1.687,900
332,-1.874,900
333,-2.047,900
334,-2.480,900
335,-2.446,1000
336,-2.360,1000
337,-2.438,1000
338,-2.909,1000
339,-3.277,50000
340,-3.278,50000
341,-3.282,50000
342,-3.284,50000
343,-3.284,50000
344,-3.283,50000
345,-3.282,50000
346,-3.282,50000
347,-3.282,50000
348,-3.282,50000
349,-3.282,50000
350,-3.279,50000
351,-3.227,49200
352,-3.164,50000
353,-3.187,49100
354,-3.249,49700
355,-3.229,48700
356,-3.194,50000
357,-3.114,41800
358,-3.135,49600
359,-3.140,49700
